;ENSCAFT00000027630_90_90;ENST00000258962_90_90;ENST00000581979_90_90;ENST00000582730_90_90;ENST00000583741_90_90;ENST00000584668_90_90;ENST00000584773_90_90;ENST00000585096_90_90;ENSMUST00000079866_90_90;ENSMUST00000107920_90_90;ENSMUST00000134824_90_90;ENSMUST00000139129_90_90;ENSMUST00000172186_90_90
ENSCAFT00000027630_90_90;;0.714;0.542;0.542;0.157;0.375;0.807;0.242;0.588;0.863;0.393;0.761;0.243
ENST00000258962_90_90;0.714;;;;;;;;0.667;0.816;0.347;0.921;0.153
ENST00000581979_90_90;0.542;;;;;;;;0.915;0.639;0.398;0.667;0.178
ENST00000582730_90_90;0.542;;;;;;;;0.915;0.639;0.398;0.667;0.178
ENST00000583741_90_90;0.157;;;;;;;;0.236;0.194;0.0;0.201;0.0
ENST00000584668_90_90;0.375;;;;;;;;0.264;0.42;0.382;0.496;0.172
ENST00000584773_90_90;0.807;;;;;;;;0.639;0.927;0.444;0.816;0.243
ENST00000585096_90_90;0.242;;;;;;;;0.288;0.286;0.048;0.247;0.065
ENSMUST00000079866_90_90;0.588;0.667;0.915;0.915;0.236;0.264;0.639;0.288;;;;;
ENSMUST00000107920_90_90;0.863;0.816;0.639;0.639;0.194;0.42;0.927;0.286;;;;;
ENSMUST00000134824_90_90;0.393;0.347;0.398;0.398;0.0;0.382;0.444;0.048;;;;;
ENSMUST00000139129_90_90;0.761;0.921;0.667;0.667;0.201;0.496;0.816;0.247;;;;;
ENSMUST00000172186_90_90;0.243;0.153;0.178;0.178;0.0;0.172;0.243;0.065;;;;;
