;ENSCAFT00000038801_90_90;ENST00000313899_90_90;ENST00000352301_90_90;ENST00000353341_90_90;ENST00000503822_90_90;ENST00000507010_90_90;ENST00000509107_90_90;ENST00000509263_90_90;ENST00000513584_90_90;ENST00000514671_90_90;ENST00000515432_90_90;ENSMUST00000019128_90_90;ENSMUST00000072750_90_90;ENSMUST00000112939_90_90;ENSMUST00000164833_90_90;ENSMUST00000168396_90_90;ENSMUST00000170912_90_90;ENSMUST00000171106_90_90;ENSMUST00000171640_90_90;ENSMUST00000171786_90_90;ENSMUST00000172361_90_90
ENSCAFT00000038801_90_90;1.0;0.92;0.875;0.84;0.542;0.72;0.28;0.615;0.333;0.542;0.333;0.84;0.72;0.8;0.167;0.28;0.042;0.583;0.333;0.292;0.92
ENST00000313899_90_90;0.92;1.0;0.875;0.917;0.542;0.792;0.333;0.615;0.333;0.542;0.333;0.769;0.72;0.8;0.167;0.28;0.042;0.583;0.333;0.292;0.846
ENST00000352301_90_90;0.875;0.875;1.0;0.792;0.619;0.667;0.208;0.5;0.381;0.619;0.381;0.72;0.818;0.909;0.19;0.318;0.048;0.591;0.381;0.333;0.8
ENST00000353341_90_90;0.84;0.917;0.792;1.0;0.591;0.864;0.364;0.6;0.364;0.591;0.364;0.833;0.783;0.72;0.083;0.304;0.045;0.636;0.364;0.318;0.769
ENST00000503822_90_90;0.542;0.542;0.619;0.591;1.0;0.684;0.312;0.292;0.615;0.368;0.4;0.522;0.6;0.545;0.0;0.5;0.077;0.35;0.105;0.429;0.48
ENST00000507010_90_90;0.72;0.792;0.667;0.864;0.684;1.0;0.421;0.542;0.421;0.455;0.421;0.708;0.652;0.6;0.0;0.35;0.053;0.5;0.227;0.368;0.654
ENST00000509107_90_90;0.28;0.333;0.208;0.364;0.312;0.421;1.0;0.3;0.143;0.167;0.143;0.304;0.227;0.208;0.0;0.143;0.125;0.222;0.0;0.154;0.28
ENST00000509263_90_90;0.615;0.615;0.5;0.6;0.292;0.542;0.3;1.0;0.083;0.632;0.444;0.6;0.48;0.5;0.1;0.083;0.056;0.684;0.368;0.389;0.615
ENST00000513584_90_90;0.333;0.333;0.381;0.364;0.615;0.421;0.143;0.083;1.0;0.105;0.143;0.304;0.35;0.318;0.0;0.778;0.0;0.1;0.067;0.154;0.28
ENST00000514671_90_90;0.542;0.542;0.619;0.591;0.368;0.455;0.167;0.632;0.105;1.0;0.615;0.591;0.684;0.619;0.133;0.105;0.077;0.929;0.615;0.538;0.542
ENST00000515432_90_90;0.333;0.333;0.381;0.364;0.4;0.421;0.143;0.444;0.143;0.615;1.0;0.364;0.421;0.381;0.0;0.143;0.125;0.571;0.333;0.875;0.333
ENSMUST00000019128_90_90;0.84;0.769;0.72;0.833;0.522;0.708;0.304;0.6;0.304;0.591;0.364;1.0;0.864;0.792;0.083;0.364;0.045;0.636;0.364;0.318;0.917
ENSMUST00000072750_90_90;0.72;0.72;0.818;0.783;0.6;0.652;0.227;0.48;0.35;0.684;0.421;0.864;1.0;0.905;0.095;0.421;0.053;0.65;0.421;0.368;0.792
ENSMUST00000112939_90_90;0.8;0.8;0.909;0.72;0.545;0.6;0.208;0.5;0.318;0.619;0.381;0.792;0.905;1.0;0.19;0.381;0.048;0.591;0.381;0.333;0.875
ENSMUST00000164833_90_90;0.167;0.167;0.19;0.083;0.0;0.0;0.0;0.1;0.0;0.133;0.0;0.083;0.095;0.19;1.0;0.0;0.0;0.125;0.2;0.0;0.167
ENSMUST00000168396_90_90;0.28;0.28;0.318;0.304;0.5;0.35;0.143;0.083;0.778;0.105;0.143;0.364;0.421;0.381;0.0;1.0;0.0;0.1;0.067;0.154;0.333
ENSMUST00000170912_90_90;0.042;0.042;0.048;0.045;0.077;0.053;0.125;0.056;0.0;0.077;0.125;0.045;0.053;0.048;0.0;0.0;1.0;0.071;0.0;0.143;0.042
ENSMUST00000171106_90_90;0.583;0.583;0.591;0.636;0.35;0.5;0.222;0.684;0.1;0.929;0.571;0.636;0.65;0.591;0.125;0.1;0.071;1.0;0.571;0.5;0.583
ENSMUST00000171640_90_90;0.333;0.333;0.381;0.364;0.105;0.227;0.0;0.368;0.067;0.615;0.333;0.364;0.421;0.381;0.2;0.067;0.0;0.571;1.0;0.25;0.333
ENSMUST00000171786_90_90;0.292;0.292;0.333;0.318;0.429;0.368;0.154;0.389;0.154;0.538;0.875;0.318;0.368;0.333;0.0;0.154;0.143;0.5;0.25;1.0;0.292
ENSMUST00000172361_90_90;0.92;0.846;0.8;0.769;0.48;0.654;0.28;0.615;0.28;0.542;0.333;0.917;0.792;0.875;0.167;0.333;0.042;0.583;0.333;0.292;1.0
