;transcript19_ENSAPOG00000016134;transcript22_ENSAPOG00000016134;transcript27_ENSAPOG00000016134;transcript28_ENSAPOG00000016134;transcript19_ENSAPOG00000023408;transcript22_ENSAPOG00000023408;transcript32_ENSAPOG00000023408;transcript33_ENSAPOG00000023408;transcript12_ENSAOCG00000015695;transcript19_ENSAOCG00000015695;transcript26_ENSAOCG00000015695;transcript27_ENSAOCG00000015695;transcript28_ENSAOCG00000015695;transcript29_ENSAOCG00000015695;transcript12_ENSPNYG00000024266;transcript14_ENSPNYG00000024266;transcript21_ENSPNYG00000024266;transcript22_ENSPNYG00000024266;transcript3_ENSXMAG00000026005;transcript10_ENSXMAG00000026005;transcript11_ENSXMAG00000026005;transcript12_ENSXMAG00000026005;transcript16_ENSXMAG00000026005;transcript17_ENSXMAG00000026005
transcript19_ENSAPOG00000016134;1.0;0.949;0.793;0.772;1.0;0.949;0.843;0.823;1.0;1.0;0.71;0.659;0.553;0.668;1.0;0.843;0.802;0.998;0.559;0.556;1.0;1.0;0.53;0.559
transcript22_ENSAPOG00000016134;0.949;1.0;0.835;0.813;0.949;1.0;0.793;0.772;0.949;0.949;0.659;0.694;0.502;0.618;0.949;0.793;0.751;0.952;0.53;0.516;0.949;0.949;0.546;0.53
transcript27_ENSAPOG00000016134;0.793;0.835;1.0;0.648;0.793;0.835;0.94;0.615;0.793;0.793;0.502;0.529;0.596;0.524;0.793;0.94;0.594;0.794;0.443;0.394;0.793;0.793;0.456;0.443
transcript28_ENSAPOG00000016134;0.772;0.813;0.648;1.0;0.772;0.813;0.615;0.938;0.772;0.772;0.482;0.507;0.325;0.44;0.772;0.615;0.574;0.774;0.431;0.377;0.772;0.772;0.444;0.431
transcript19_ENSAPOG00000023408;1.0;0.949;0.793;0.772;1.0;0.949;0.843;0.823;1.0;1.0;0.71;0.659;0.553;0.668;1.0;0.843;0.802;0.998;0.559;0.556;1.0;1.0;0.53;0.559
transcript22_ENSAPOG00000023408;0.949;1.0;0.835;0.813;0.949;1.0;0.793;0.772;0.949;0.949;0.659;0.694;0.502;0.618;0.949;0.793;0.751;0.952;0.53;0.516;0.949;0.949;0.546;0.53
transcript32_ENSAPOG00000023408;0.843;0.793;0.94;0.615;0.843;0.793;1.0;0.666;0.843;0.843;0.553;0.502;0.656;0.577;0.843;1.0;0.645;0.841;0.471;0.433;0.843;0.843;0.443;0.471
transcript33_ENSAPOG00000023408;0.823;0.772;0.615;0.938;0.823;0.772;0.666;1.0;0.823;0.823;0.532;0.482;0.376;0.491;0.823;0.666;0.624;0.82;0.459;0.417;0.823;0.823;0.431;0.459
transcript12_ENSAOCG00000015695;1.0;0.949;0.793;0.772;1.0;0.949;0.843;0.823;1.0;1.0;0.71;0.659;0.553;0.668;1.0;0.843;0.802;0.998;0.559;0.556;1.0;1.0;0.53;0.559
transcript19_ENSAOCG00000015695;1.0;0.949;0.793;0.772;1.0;0.949;0.843;0.823;1.0;1.0;0.71;0.659;0.553;0.668;1.0;0.843;0.802;0.998;0.559;0.556;1.0;1.0;0.53;0.559
