;transcript7_ENSMPUG00000020072;transcript7_ENSMLUG00000027828;transcript7_ENSSTOG00000019743;transcript7_ENSCCNG00000000226;transcript25_ENSMPUG00000020072;transcript25_ENSMLUG00000027828;transcript28_ENSMPUG00000020072;transcript12_ENSECAG00000007947;transcript12_ENSMLUG00000027828;transcript23_ENSECAG00000007947;transcript31_ENSECAG00000007947;transcript32_ENSECAG00000007947;transcript33_ENSECAG00000007947;transcript15_ENSMLUG00000027828;transcript16_ENSMLUG00000027828;transcript26_ENSMLUG00000027828;transcript27_ENSMLUG00000027828
transcript7_ENSMPUG00000020072;1.0;0.691;0.748;0.873;0.071;0.06;0.059;0.053;0.046;0.053;0.053;0.056;0.053;0.048;0.059;0.062;0.066
transcript7_ENSMLUG00000027828;0.691;1.0;0.691;0.818;0.055;0.068;0.045;0.05;0.053;0.05;0.05;0.052;0.051;0.054;0.067;0.07;0.075
transcript7_ENSSTOG00000019743;0.748;0.691;1.0;0.873;0.059;0.06;0.05;0.053;0.046;0.053;0.053;0.056;0.053;0.048;0.059;0.062;0.066
transcript7_ENSCCNG00000000226;0.873;0.818;0.873;1.0;0.071;0.071;0.058;0.061;0.055;0.061;0.061;0.064;0.062;0.056;0.07;0.073;0.078
transcript25_ENSMPUG00000020072;0.071;0.055;0.059;0.071;1.0;0.706;0.756;0.575;0.561;0.575;0.575;0.599;0.581;0.546;0.658;0.687;0.589
transcript25_ENSMLUG00000027828;0.06;0.068;0.06;0.071;0.706;1.0;0.549;0.569;0.77;0.569;0.569;0.592;0.574;0.749;0.926;0.972;0.823
transcript28_ENSMPUG00000020072;0.059;0.045;0.05;0.058;0.756;0.549;1.0;0.68;0.654;0.68;0.68;0.709;0.688;0.639;0.515;0.533;0.457
transcript12_ENSECAG00000007947;0.053;0.05;0.053;0.061;0.575;0.569;0.68;1.0;0.725;1.0;1.0;0.957;0.989;0.711;0.582;0.553;0.528
transcript12_ENSMLUG00000027828;0.046;0.053;0.046;0.055;0.561;0.77;0.654;0.725;1.0;0.725;0.725;0.702;0.719;0.978;0.787;0.749;0.704
transcript23_ENSECAG00000007947;0.053;0.05;0.053;0.061;0.575;0.569;0.68;1.0;0.725;1.0;1.0;0.957;0.989;0.711;0.582;0.553;0.528
transcript31_ENSECAG00000007947;0.053;0.05;0.053;0.061;0.575;0.569;0.68;1.0;0.725;1.0;1.0;0.957;0.989;0.711;0.582;0.553;0.528
transcript32_ENSECAG00000007947;0.056;0.052;0.056;0.064;0.599;0.592;0.709;0.957;0.702;0.957;0.957;1.0;0.968;0.688;0.556;0.577;0.503
transcript33_ENSECAG00000007947;0.053;0.051;0.053;0.062;0.581;0.574;0.688;0.989;0.719;0.989;0.989;0.968;1.0;0.705;0.575;0.559;0.521
transcript15_ENSMLUG00000027828;0.048;0.054;0.048;0.056;0.546;0.749;0.639;0.711;0.978;0.711;0.711;0.688;0.705;1.0;0.804;0.766;0.718
transcript16_ENSMLUG00000027828;0.059;0.067;0.059;0.07;0.658;0.926;0.515;0.582;0.787;0.582;0.582;0.556;0.575;0.804;1.0;0.952;0.894
transcript26_ENSMLUG00000027828;0.062;0.07;0.062;0.073;0.687;0.972;0.533;0.553;0.749;0.553;0.553;0.577;0.559;0.766;0.952;1.0;0.846
transcript27_ENSMLUG00000027828;0.066;0.075;0.066;0.078;0.589;0.823;0.457;0.528;0.704;0.528;0.528;0.503;0.521;0.718;0.894;0.846;1.0
