;ENSCAFT00000015963_90_90;ENST00000285737_90_90;ENST00000416006_90_90;ENST00000535754_90_90;ENST00000565867_90_90;ENST00000566755_90_90;ENST00000570174_90_90;ENSMUST00000034141_90_90;ENSMUST00000121673_90_90;ENSMUST00000122188_90_90;ENSMUST00000155433_90_90;ENSMUST00000163987_90_90
ENSCAFT00000015963_90_90;1.0;0.895;0.737;0.789;0.105;0.263;0.474;0.944;0.389;0.722;0.889;0.389
ENST00000285737_90_90;0.895;1.0;0.636;0.895;0.15;0.263;0.429;0.944;0.471;0.824;0.7;0.471
ENST00000416006_90_90;0.737;0.636;1.0;0.7;0.05;0.158;0.474;0.6;0.294;0.556;0.824;0.294
ENST00000535754_90_90;0.789;0.895;0.7;1.0;0.167;0.158;0.474;0.833;0.533;0.812;0.6;0.533
ENST00000565867_90_90;0.105;0.15;0.05;0.167;1.0;0.0;0.0;0.167;0.375;0.214;0.053;0.375
ENST00000566755_90_90;0.263;0.263;0.158;0.158;0.0;1.0;0.067;0.278;0.0;0.188;0.294;0.0
ENST00000570174_90_90;0.474;0.429;0.474;0.474;0.0;0.067;1.0;0.444;0.143;0.375;0.471;0.143
ENSMUST00000034141_90_90;0.944;0.944;0.6;0.833;0.167;0.278;0.444;1.0;0.421;0.789;0.727;0.421
ENSMUST00000121673_90_90;0.389;0.471;0.294;0.533;0.375;0.0;0.143;0.421;1.0;0.533;0.227;1.0
ENSMUST00000122188_90_90;0.722;0.824;0.556;0.812;0.214;0.188;0.375;0.789;0.533;1.0;0.545;0.533
ENSMUST00000155433_90_90;0.889;0.7;0.824;0.6;0.053;0.294;0.471;0.727;0.227;0.545;1.0;0.227
ENSMUST00000163987_90_90;0.389;0.471;0.294;0.533;0.375;0.0;0.143;0.421;1.0;0.533;0.227;1.0
