;ENSCAFT00000032340_90_90;ENST00000342203_90_90;ENST00000422026_90_90;ENST00000437941_90_90;ENST00000476905_90_90;ENST00000481102_90_90;ENST00000603677_90_90;ENST00000605755_90_90;ENSMUST00000039021_90_90;ENSMUST00000106149_90_90;ENSMUST00000106151_90_90;ENSMUST00000106153_90_90;ENSMUST00000129978_90_90;ENSMUST00000149262_90_90
ENSCAFT00000032340_90_90;1.0;0.821;0.366;0.708;0.689;0.857;0.165;0.708;0.972;0.972;0.972;1.0;0.249;0.147
ENST00000342203_90_90;0.821;1.0;0.312;0.89;0.714;0.895;0.087;0.89;0.807;0.807;0.807;0.863;0.285;0.173
ENST00000422026_90_90;0.366;0.312;1.0;0.207;0.328;0.326;0.0;0.207;0.366;0.366;0.366;0.342;0.731;0.409
ENST00000437941_90_90;0.708;0.89;0.207;1.0;0.661;0.79;0.094;1.0;0.703;0.703;0.703;0.758;0.162;0.049
ENST00000476905_90_90;0.689;0.714;0.328;0.661;1.0;0.746;0.0;0.661;0.654;0.654;0.654;0.711;0.294;0.159
ENST00000481102_90_90;0.857;0.895;0.326;0.79;0.746;1.0;0.092;0.79;0.814;0.814;0.814;0.87;0.287;0.174
ENST00000603677_90_90;0.165;0.087;0.0;0.094;0.0;0.092;1.0;0.094;0.165;0.165;0.165;0.154;0.0;0.0
ENST00000605755_90_90;0.708;0.89;0.207;1.0;0.661;0.79;0.094;1.0;0.703;0.703;0.703;0.758;0.162;0.049
ENSMUST00000039021_90_90;0.972;0.807;0.366;0.703;0.654;0.814;0.165;0.703;1.0;1.0;1.0;0.952;0.241;0.142
ENSMUST00000106149_90_90;0.972;0.807;0.366;0.703;0.654;0.814;0.165;0.703;1.0;1.0;1.0;0.952;0.241;0.142
ENSMUST00000106151_90_90;0.972;0.807;0.366;0.703;0.654;0.814;0.165;0.703;1.0;1.0;1.0;0.952;0.241;0.142
ENSMUST00000106153_90_90;1.0;0.863;0.342;0.758;0.711;0.87;0.154;0.758;0.952;0.952;0.952;1.0;0.228;0.132
ENSMUST00000129978_90_90;0.249;0.285;0.731;0.162;0.294;0.287;0.0;0.162;0.241;0.241;0.241;0.228;1.0;0.566
ENSMUST00000149262_90_90;0.147;0.173;0.409;0.049;0.159;0.174;0.0;0.049;0.142;0.142;0.142;0.132;0.566;1.0
