;ENSCAFT00000012325_90_90;ENSCAFT00000012333_90_90;ENST00000295951_90_90;ENST00000295952_90_90;ENST00000383718_90_90;ENST00000416658_90_90;ENST00000417128_90_90;ENST00000428312_90_90;ENST00000438794_90_90;ENST00000449503_90_90;ENST00000460223_90_90;ENST00000461354_90_90;ENST00000465203_90_90;ENST00000466255_90_90;ENST00000494088_90_90;ENST00000495364_90_90;ENSMUST00000038522_90_90;ENSMUST00000090359_90_90;ENSMUST00000102956_90_90;ENSMUST00000112330_90_90;ENSMUST00000112331_90_90;ENSMUST00000139075_90_90;ENSMUST00000142679_90_90;ENSMUST00000145738_90_90;ENSMUST00000146438_90_90
ENSCAFT00000012325_90_90;1.0;0.895;0.86;0.86;0.602;0.506;0.538;0.892;0.354;0.827;0.084;0.129;0.305;0.133;0.348;0.343;0.966;0.895;0.966;0.832;0.774;0.925;0.495;0.59;0.261
ENSCAFT00000012333_90_90;0.895;1.0;0.899;0.899;0.624;0.466;0.497;0.931;0.366;0.931;0.044;0.133;0.27;0.138;0.307;0.41;0.923;0.933;0.923;0.933;0.809;0.966;0.456;0.675;0.227
ENST00000295951_90_90;0.86;0.899;1.0;1.0;0.536;0.46;0.51;0.968;0.369;0.964;0.044;0.131;0.288;0.136;0.304;0.405;0.832;0.967;0.832;0.963;0.877;0.936;0.47;0.619;0.237
ENST00000295952_90_90;0.86;0.899;1.0;1.0;0.536;0.46;0.51;0.968;0.369;0.964;0.044;0.131;0.288;0.136;0.304;0.405;0.832;0.967;0.832;0.963;0.877;0.936;0.47;0.619;0.237
ENST00000383718_90_90;0.602;0.624;0.536;0.536;1.0;0.137;0.185;0.565;0.154;0.553;0.0;0.041;0.391;0.041;0.032;0.031;0.633;0.578;0.633;0.566;0.43;0.609;0.146;0.284;0.35
ENST00000416658_90_90;0.506;0.466;0.46;0.46;0.137;1.0;0.763;0.446;0.542;0.476;0.166;0.254;0.119;0.263;0.686;0.65;0.514;0.455;0.514;0.486;0.532;0.441;1.0;0.697;0.068
ENST00000417128_90_90;0.538;0.497;0.51;0.51;0.185;0.763;1.0;0.494;0.635;0.529;0.15;0.231;0.175;0.241;0.639;0.612;0.544;0.484;0.544;0.519;0.566;0.469;0.787;0.732;0.029
ENST00000428312_90_90;0.892;0.931;0.968;0.968;0.565;0.446;0.494;1.0;0.358;0.933;0.043;0.127;0.278;0.131;0.295;0.392;0.862;1.0;0.862;0.931;0.849;0.968;0.455;0.651;0.229
ENST00000438794_90_90;0.354;0.366;0.369;0.369;0.154;0.542;0.635;0.358;1.0;0.382;0.101;0.176;0.135;0.324;0.526;0.477;0.358;0.357;0.358;0.384;0.42;0.346;0.6;0.554;0.0
ENST00000449503_90_90;0.827;0.931;0.964;0.964;0.553;0.476;0.529;0.933;0.382;1.0;0.045;0.136;0.254;0.141;0.315;0.419;0.859;0.931;0.859;1.0;0.841;0.903;0.486;0.641;0.202
ENST00000460223_90_90;0.084;0.044;0.044;0.044;0.0;0.166;0.15;0.043;0.101;0.045;1.0;0.0;0.0;0.0;0.244;0.104;0.085;0.043;0.085;0.047;0.052;0.042;0.166;0.067;0.0
ENST00000461354_90_90;0.129;0.133;0.131;0.131;0.041;0.254;0.231;0.127;0.176;0.136;0.0;1.0;0.0;0.452;0.21;0.328;0.13;0.13;0.13;0.14;0.152;0.125;0.254;0.201;0.0
ENST00000465203_90_90;0.305;0.27;0.288;0.288;0.391;0.119;0.175;0.278;0.135;0.254;0.0;0.0;1.0;0.0;0.0;0.0;0.262;0.264;0.262;0.238;0.308;0.296;0.122;0.243;0.58
ENST00000466255_90_90;0.133;0.138;0.136;0.136;0.041;0.263;0.241;0.131;0.324;0.141;0.0;0.452;0.0;1.0;0.386;0.339;0.135;0.134;0.135;0.144;0.158;0.13;0.263;0.209;0.0
ENST00000494088_90_90;0.348;0.307;0.304;0.304;0.032;0.686;0.639;0.295;0.526;0.315;0.244;0.21;0.0;0.386;1.0;0.708;0.353;0.3;0.353;0.321;0.353;0.292;0.686;0.465;0.0
ENST00000495364_90_90;0.343;0.41;0.405;0.405;0.031;0.65;0.612;0.392;0.477;0.419;0.104;0.328;0.0;0.339;0.708;1.0;0.347;0.4;0.347;0.429;0.473;0.388;0.65;0.629;0.0
ENSMUST00000038522_90_90;0.966;0.923;0.832;0.832;0.633;0.514;0.544;0.862;0.358;0.859;0.085;0.13;0.262;0.135;0.353;0.347;1.0;0.865;1.0;0.863;0.726;0.895;0.502;0.596;0.222
ENSMUST00000090359_90_90;0.895;0.933;0.967;0.967;0.578;0.455;0.484;1.0;0.357;0.931;0.043;0.13;0.264;0.134;0.3;0.4;0.865;1.0;0.865;0.933;0.851;0.969;0.446;0.657;0.224
ENSMUST00000102956_90_90;0.966;0.923;0.832;0.832;0.633;0.514;0.544;0.862;0.358;0.859;0.085;0.13;0.262;0.135;0.353;0.347;1.0;0.865;1.0;0.863;0.726;0.895;0.502;0.596;0.222
ENSMUST00000112330_90_90;0.832;0.933;0.963;0.963;0.566;0.486;0.519;0.931;0.384;1.0;0.047;0.14;0.238;0.144;0.321;0.429;0.863;0.933;0.863;1.0;0.845;0.905;0.476;0.648;0.197
ENSMUST00000112331_90_90;0.774;0.809;0.877;0.877;0.43;0.532;0.566;0.849;0.42;0.841;0.052;0.152;0.308;0.158;0.353;0.473;0.726;0.851;0.726;0.845;1.0;0.825;0.52;0.706;0.261
ENSMUST00000139075_90_90;0.925;0.966;0.936;0.936;0.609;0.441;0.469;0.968;0.346;0.903;0.042;0.125;0.296;0.13;0.292;0.388;0.895;0.969;0.895;0.905;0.825;1.0;0.432;0.636;0.255
ENSMUST00000142679_90_90;0.495;0.456;0.47;0.47;0.146;1.0;0.787;0.455;0.6;0.486;0.166;0.254;0.122;0.263;0.686;0.65;0.502;0.446;0.502;0.476;0.52;0.432;1.0;0.681;0.068
