id_transcript;block_sequence
ENSCAFT00000039734_90_90;0.2.3.4.8.9.10.12.13.15.16.17.20.21
ENST00000360057_90_90;0.1.3.4.5.9.10.12.13.15.16.17.18.21
ENST00000378098_90_90;0.1.3.4.5.9.10.12.13.14
ENST00000378099_90_90;0.1.3.4.5.9.10.12.13.17.18.21
ENST00000482940_90_90;4.5.6.7.8.9
ENST00000489798_90_90;4.5.9.10.11
ENST00000538212_90_90;4.5.7.8.9.10.12.13.17.18.21
ENST00000552881_90_90;0.1.3.4.5.9.10.12.13.15
ENST00000639328_90_90;13.15.16.17.18.19.20
ENSMUST00000067888_90_90;0.2.3.4.8.9.10.12.13.15.16.17.20.21
ENSMUST00000114644_90_90;0.2.3.4.8.9.10.12.13.17.20.21
