;transcript7_ENSCGRG00015005362;transcript7_ENSCGRG00000018457;transcript33_ENSCGRG00015005362;transcript33_ENSCGRG00000018457;transcript33_ENSCGRG00001010245;transcript41_ENSCGRG00015005362;transcript42_ENSCGRG00015005362;transcript43_ENSCGRG00015005362;transcript46_ENSCGRG00000018457;transcript47_ENSCGRG00000018457;transcript40_ENSCGRG00001010245
transcript7_ENSCGRG00015005362;1.0;0.973;0.605;0.605;0.605;0.613;0.898;0.898;0.605;0.636;0.605
transcript7_ENSCGRG00000018457;0.973;1.0;0.617;0.617;0.617;0.626;0.922;0.922;0.617;0.649;0.617
transcript33_ENSCGRG00015005362;0.605;0.617;1.0;1.0;1.0;0.984;0.661;0.661;1.0;0.951;1.0
transcript33_ENSCGRG00000018457;0.605;0.617;1.0;1.0;1.0;0.984;0.661;0.661;1.0;0.951;1.0
transcript33_ENSCGRG00001010245;0.605;0.617;1.0;1.0;1.0;0.984;0.661;0.661;1.0;0.951;1.0
transcript41_ENSCGRG00015005362;0.613;0.626;0.984;0.984;0.984;1.0;0.671;0.671;0.984;0.966;0.984
transcript42_ENSCGRG00015005362;0.898;0.922;0.661;0.661;0.661;0.671;1.0;1.0;0.661;0.695;0.661
transcript43_ENSCGRG00015005362;0.898;0.922;0.661;0.661;0.661;0.671;1.0;1.0;0.661;0.695;0.661
transcript46_ENSCGRG00000018457;0.605;0.617;1.0;1.0;1.0;0.984;0.661;0.661;1.0;0.951;1.0
transcript47_ENSCGRG00000018457;0.636;0.649;0.951;0.951;0.951;0.966;0.695;0.695;0.951;1.0;0.951
transcript40_ENSCGRG00001010245;0.605;0.617;1.0;1.0;1.0;0.984;0.661;0.661;1.0;0.951;1.0
