;transcript28_ENSMPUG00000020072;transcript27_ENSMLUG00000027828;transcript16_ENSMLUG00000027828;transcript15_ENSMLUG00000027828;transcript12_ENSMLUG00000027828;transcript25_ENSMPUG00000020072;transcript7_ENSMPUG00000020072;transcript7_ENSCCNG00000000226;transcript12_ENSECAG00000007947;transcript23_ENSECAG00000007947;transcript31_ENSECAG00000007947;transcript33_ENSECAG00000007947;transcript32_ENSECAG00000007947;transcript7_ENSMLUG00000027828;transcript26_ENSMLUG00000027828;transcript25_ENSMLUG00000027828;transcript7_ENSSTOG00000019743
transcript28_ENSMPUG00000020072;1.0;0.702;0.774;0.944;0.944;0.783;0.089;1.0;0.963;0.963;0.963;0.963;0.956;0.084;0.774;0.778;1.0
transcript27_ENSMLUG00000027828;0.702;1.0;0.916;0.759;0.736;0.868;0.12;1.0;0.739;0.739;0.739;0.732;0.71;0.108;0.885;0.853;1.0
transcript16_ENSMLUG00000027828;0.774;0.916;1.0;0.829;0.804;0.953;0.109;1.0;0.812;0.812;0.812;0.804;0.783;0.099;0.969;0.934;1.0
transcript15_ENSMLUG00000027828;0.944;0.759;0.829;1.0;0.969;0.81;0.09;1.0;0.971;0.971;0.971;0.964;0.942;0.082;0.804;0.779;1.0
transcript12_ENSMLUG00000027828;0.944;0.736;0.804;0.969;1.0;0.841;0.087;1.0;1.0;1.0;1.0;0.993;0.971;0.08;0.779;0.81;1.0
transcript25_ENSMPUG00000020072;0.783;0.868;0.953;0.81;0.841;1.0;0.101;1.0;0.83;0.83;0.83;0.83;0.822;0.094;0.953;0.991;1.0
transcript7_ENSMPUG00000020072;0.089;0.12;0.109;0.09;0.087;0.101;1.0;1.0;0.104;0.104;0.104;0.104;0.104;0.909;0.109;0.105;1.0
transcript7_ENSCCNG00000000226;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.929;1.0;1.0;1.0
transcript12_ENSECAG00000007947;0.963;0.739;0.812;0.971;1.0;0.83;0.104;1.0;1.0;1.0;1.0;0.989;0.966;0.094;0.79;0.819;1.0
transcript23_ENSECAG00000007947;0.963;0.739;0.812;0.971;1.0;0.83;0.104;1.0;1.0;1.0;1.0;0.989;0.966;0.094;0.79;0.819;1.0
transcript31_ENSECAG00000007947;0.963;0.739;0.812;0.971;1.0;0.83;0.104;1.0;1.0;1.0;1.0;0.989;0.966;0.094;0.79;0.819;1.0
transcript33_ENSECAG00000007947;0.963;0.732;0.804;0.964;0.993;0.83;0.104;1.0;0.989;0.989;0.989;1.0;0.977;0.095;0.796;0.825;1.0
transcript32_ENSECAG00000007947;0.956;0.71;0.783;0.942;0.971;0.822;0.104;1.0;0.966;0.966;0.966;0.977;1.0;0.097;0.8;0.83;1.0
transcript7_ENSMLUG00000027828;0.084;0.108;0.099;0.082;0.08;0.094;0.909;0.929;0.094;0.094;0.094;0.095;0.097;1.0;0.102;0.098;0.909
transcript26_ENSMLUG00000027828;0.774;0.885;0.969;0.804;0.779;0.953;0.109;1.0;0.79;0.79;0.79;0.796;0.8;0.102;1.0;0.962;1.0
transcript25_ENSMLUG00000027828;0.778;0.853;0.934;0.779;0.81;0.991;0.105;1.0;0.819;0.819;0.819;0.825;0.83;0.098;0.962;1.0;1.0
transcript7_ENSSTOG00000019743;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.909;1.0;1.0;1.0
