;ENSCAFT00000008902_90_90;ENSCAFT00000008903_90_90;ENST00000343600_90_90;ENST00000345429_90_90;ENST00000376673_90_90;ENST00000397601_90_90;ENST00000449284_90_90;ENST00000469707_90_90;ENSMUST00000088419_90_90;ENSMUST00000167459_90_90
ENSCAFT00000008902_90_90;1.0;0.643;0.667;0.945;0.773;0.667;0.263;0.462;0.932;0.932
ENSCAFT00000008903_90_90;0.643;1.0;1.0;0.718;0.884;1.0;0.237;0.478;0.786;0.786
ENST00000343600_90_90;0.667;1.0;1.0;0.718;0.884;1.0;0.217;0.478;0.727;0.786
ENST00000345429_90_90;0.945;0.718;0.718;1.0;0.823;0.718;0.295;0.448;0.92;1.0
ENST00000376673_90_90;0.773;0.884;0.884;0.823;1.0;0.884;0.191;0.442;0.782;0.849
ENST00000397601_90_90;0.667;1.0;1.0;0.718;0.884;1.0;0.217;0.478;0.727;0.786
ENST00000449284_90_90;0.263;0.237;0.217;0.295;0.191;0.217;1.0;0.0;0.363;0.283
ENST00000469707_90_90;0.462;0.478;0.478;0.448;0.442;0.478;0.0;1.0;0.453;0.484
ENSMUST00000088419_90_90;0.932;0.786;0.727;0.92;0.782;0.727;0.363;0.453;1.0;0.92
ENSMUST00000167459_90_90;0.932;0.786;0.786;1.0;0.849;0.786;0.283;0.484;0.92;1.0
