;transcript40_ENSRNOG00000031503;transcript47_ENSRNOG00000031503;transcript20_ENSMUGG00000013649;transcript47_ENSMUGG00000013649;transcript20_ENSMUGG00000013592;transcript19_ENSPEMG00000024651;transcript38_ENSPEMG00000024651;transcript47_ENSPEMG00000024651;transcript27_ENSNGAG00000018584;transcript7_ENSSTOG00000019743;transcript24_ENSSTOG00000019743;transcript25_ENSSTOG00000019743;transcript32_ENSSTOG00000019743
transcript40_ENSRNOG00000031503;1.0;0.925;0.978;0.87;0.976;0.958;0.958;0.852;0.982;0.978;0.87;0.978;0.978
transcript47_ENSRNOG00000031503;0.925;1.0;0.904;0.787;0.892;0.879;0.879;0.764;0.881;0.904;0.787;0.904;0.904
transcript20_ENSMUGG00000013649;0.978;0.904;1.0;0.888;1.0;0.972;0.972;0.872;1.0;1.0;0.888;1.0;1.0
transcript47_ENSMUGG00000013649;0.87;0.787;0.888;1.0;0.972;0.876;0.876;0.973;1.0;0.888;1.0;0.888;0.888
transcript20_ENSMUGG00000013592;0.976;0.892;1.0;0.972;1.0;0.974;0.974;0.944;1.0;1.0;0.972;1.0;1.0
transcript19_ENSPEMG00000024651;0.958;0.879;0.972;0.876;0.974;1.0;1.0;0.896;0.97;0.972;0.876;0.972;0.972
transcript38_ENSPEMG00000024651;0.958;0.879;0.972;0.876;0.974;1.0;1.0;0.896;0.97;0.972;0.876;0.972;0.972
transcript47_ENSPEMG00000024651;0.852;0.764;0.872;0.973;0.944;0.896;0.896;1.0;0.97;0.872;0.973;0.872;0.872
transcript27_ENSNGAG00000018584;0.982;0.881;1.0;1.0;1.0;0.97;0.97;0.97;1.0;1.0;1.0;1.0;1.0
transcript7_ENSSTOG00000019743;0.978;0.904;1.0;0.888;1.0;0.972;0.972;0.872;1.0;1.0;0.888;1.0;1.0
transcript24_ENSSTOG00000019743;0.87;0.787;0.888;1.0;0.972;0.876;0.876;0.973;1.0;0.888;1.0;0.888;0.888
transcript25_ENSSTOG00000019743;0.978;0.904;1.0;0.888;1.0;0.972;0.972;0.872;1.0;1.0;0.888;1.0;1.0
transcript32_ENSSTOG00000019743;0.978;0.904;1.0;0.888;1.0;0.972;0.972;0.872;1.0;1.0;0.888;1.0;1.0
