;ENSCAFT00000039701_90_90;ENST00000314845_90_90;ENST00000458649_90_90;ENST00000526545_90_90;ENST00000526606_90_90;ENST00000528950_90_90;ENST00000533727_90_90;ENST00000534300_90_90;ENSMUST00000045699_90_90;ENSMUST00000045705_90_90;ENSMUST00000099712_90_90;ENSMUST00000111316_90_90;ENSMUST00000111317_90_90
ENSCAFT00000039701_90_90;1.0;1.0;1.0;0.212;0.02;0.976;0.976;0.951;0.976;1.0;1.0;0.951;0.976
ENST00000314845_90_90;1.0;1.0;0.931;0.212;0.02;0.908;0.976;0.884;0.976;0.931;1.0;0.884;0.976
ENST00000458649_90_90;1.0;0.931;1.0;0.197;0.018;0.978;0.908;0.954;0.908;1.0;0.931;0.954;0.908
ENST00000526545_90_90;0.212;0.212;0.197;1.0;0.0;0.202;0.217;0.207;0.217;0.197;0.212;0.207;0.217
ENST00000526606_90_90;0.02;0.02;0.018;0.0;1.0;0.019;0.02;0.019;0.02;0.018;0.02;0.019;0.02
ENST00000528950_90_90;0.976;0.908;0.978;0.202;0.019;1.0;0.929;0.931;0.929;0.978;0.908;0.931;0.929
ENST00000533727_90_90;0.976;0.976;0.908;0.217;0.02;0.929;1.0;0.862;1.0;0.908;0.976;0.862;1.0
ENST00000534300_90_90;0.951;0.884;0.954;0.207;0.019;0.931;0.862;1.0;0.862;0.954;0.884;1.0;0.862
ENSMUST00000045699_90_90;0.976;0.976;0.908;0.217;0.02;0.929;1.0;0.862;1.0;0.908;0.976;0.862;1.0
ENSMUST00000045705_90_90;1.0;0.931;1.0;0.197;0.018;0.978;0.908;0.954;0.908;1.0;0.93;0.954;0.908
ENSMUST00000099712_90_90;1.0;1.0;0.931;0.212;0.02;0.908;0.976;0.884;0.976;0.93;1.0;0.884;0.976
ENSMUST00000111316_90_90;0.951;0.884;0.954;0.207;0.019;0.931;0.862;1.0;0.862;0.954;0.884;1.0;0.862
ENSMUST00000111317_90_90;0.976;0.976;0.908;0.217;0.02;0.929;1.0;0.862;1.0;0.908;0.976;0.862;1.0
