;ENSCAFT00000006410_90_90;ENSCAFT00000006413_90_90;ENSCAFT00000011282_90_90;ENST00000229471_90_90;ENST00000354650_90_90;ENST00000368667_90_90;ENST00000368678_90_90;ENST00000368682_90_90;ENST00000462598_90_90;ENST00000462856_90_90;ENST00000484067_90_90;ENST00000487824_90_90;ENST00000517419_90_90;ENST00000518295_90_90;ENST00000518630_90_90;ENST00000520518_90_90;ENST00000521062_90_90;ENST00000523238_90_90;ENST00000523570_90_90;ENST00000523574_90_90;ENST00000524310_90_90;ENST00000538466_90_90;ENST00000519728_90_90;ENST00000520050_90_90;ENST00000520220_90_90;ENSMUST00000063091_90_90;ENSMUST00000099967_90_90;ENSMUST00000126486_90_90;ENSMUST00000135242_90_90;ENSMUST00000136659_90_90;ENSMUST00000146287_90_90;ENSMUST00000148152_90_90;ENSMUST00000157009_90_90;ENSMUST00000041377_90_90;ENSMUST00000103010_90_90
ENSCAFT00000006410_90_90;1.0;0.326;0.612;0.844;0.913;0.913;0.848;0.848;0.341;0.733;0.455;0.273;0.689;0.644;0.556;0.711;0.432;0.622;0.533;0.578;0.6;0.848;0.612;0.435;0.562;0.848;0.913;0.848;0.848;0.844;0.848;0.5;0.136;0.612;0.562
ENSCAFT00000006413_90_90;0.326;1.0;0.333;0.366;0.326;0.326;0.349;0.349;0.0;0.275;0.0;0.0;0.225;0.175;0.075;0.25;0.0;0.15;0.05;0.1;0.125;0.349;0.333;0.219;0.371;0.349;0.326;0.349;0.349;0.366;0.349;0.0;0.0;0.333;0.371
ENSCAFT00000011282_90_90;0.612;0.333;1.0;0.542;0.58;0.58;0.551;0.551;0.22;0.5;0.279;0.205;0.457;0.413;0.326;0.478;0.256;0.391;0.304;0.348;0.37;0.551;1.0;0.629;0.886;0.551;0.58;0.551;0.551;0.542;0.551;0.295;0.139;1.0;0.886
ENST00000229471_90_90;0.844;0.366;0.542;1.0;0.886;0.886;0.951;0.951;0.385;0.872;0.513;0.308;0.821;0.769;0.667;0.846;0.487;0.744;0.641;0.692;0.718;0.951;0.542;0.488;0.489;0.951;0.886;0.951;0.951;1.0;0.951;0.564;0.154;0.542;0.489
ENST00000354650_90_90;0.913;0.326;0.58;0.886;1.0;1.0;0.848;0.848;0.341;0.773;0.455;0.273;0.727;0.682;0.591;0.75;0.432;0.659;0.568;0.614;0.636;0.848;0.58;0.435;0.531;0.848;1.0;0.848;0.848;0.886;0.848;0.5;0.136;0.58;0.531
ENST00000368667_90_90;0.913;0.326;0.58;0.886;1.0;1.0;0.848;0.848;0.341;0.773;0.455;0.273;0.727;0.682;0.591;0.75;0.432;0.659;0.568;0.614;0.636;0.848;0.58;0.435;0.531;0.848;1.0;0.848;0.848;0.886;0.848;0.5;0.136;0.58;0.531
ENST00000368678_90_90;0.848;0.349;0.551;0.951;0.848;0.848;1.0;1.0;0.366;0.829;0.488;0.293;0.78;0.732;0.634;0.805;0.463;0.707;0.61;0.659;0.683;1.0;0.551;0.465;0.5;1.0;0.848;1.0;1.0;0.951;1.0;0.537;0.146;0.551;0.5
ENST00000368682_90_90;0.848;0.349;0.551;0.951;0.848;0.848;1.0;1.0;0.366;0.829;0.488;0.293;0.78;0.732;0.634;0.805;0.463;0.707;0.61;0.659;0.683;1.0;0.551;0.465;0.5;1.0;0.848;1.0;1.0;0.951;1.0;0.537;0.146;0.551;0.5
ENST00000462598_90_90;0.341;0.0;0.22;0.385;0.341;0.341;0.366;0.366;1.0;0.441;0.75;0.8;0.469;0.5;0.577;0.455;0.789;0.517;0.6;0.556;0.536;0.366;0.22;0.321;0.15;0.366;0.341;0.366;0.366;0.385;0.366;0.682;0.4;0.22;0.15
ENST00000462856_90_90;0.733;0.275;0.5;0.872;0.773;0.773;0.829;0.829;0.441;1.0;0.588;0.353;0.941;0.882;0.765;0.971;0.559;0.853;0.735;0.794;0.824;0.829;0.5;0.556;0.444;0.829;0.773;0.829;0.829;0.872;0.829;0.647;0.176;0.5;0.444
ENST00000484067_90_90;0.455;0.0;0.279;0.513;0.455;0.455;0.488;0.488;0.75;0.588;1.0;0.6;0.625;0.667;0.769;0.606;0.95;0.69;0.8;0.741;0.714;0.488;0.279;0.4;0.214;0.488;0.455;0.488;0.488;0.513;0.488;0.909;0.3;0.279;0.214
ENST00000487824_90_90;0.273;0.0;0.205;0.308;0.273;0.273;0.293;0.293;0.8;0.353;0.6;1.0;0.375;0.4;0.462;0.364;0.632;0.414;0.48;0.444;0.429;0.293;0.205;0.308;0.132;0.293;0.273;0.293;0.293;0.308;0.293;0.545;0.5;0.205;0.132
ENST00000517419_90_90;0.689;0.225;0.457;0.821;0.727;0.727;0.78;0.78;0.469;0.941;0.625;0.375;1.0;0.938;0.812;0.97;0.594;0.906;0.781;0.844;0.875;0.78;0.457;0.588;0.4;0.78;0.727;0.78;0.78;0.821;0.78;0.688;0.188;0.457;0.4
ENST00000518295_90_90;0.644;0.175;0.413;0.769;0.682;0.682;0.732;0.732;0.5;0.882;0.667;0.4;0.938;1.0;0.867;0.909;0.633;0.967;0.833;0.9;0.933;0.732;0.413;0.576;0.356;0.732;0.682;0.732;0.732;0.769;0.732;0.733;0.2;0.413;0.356
ENST00000518630_90_90;0.556;0.075;0.326;0.667;0.591;0.591;0.634;0.634;0.577;0.765;0.769;0.462;0.812;0.867;1.0;0.788;0.731;0.897;0.962;0.963;0.929;0.634;0.326;0.455;0.267;0.634;0.591;0.634;0.634;0.667;0.634;0.846;0.231;0.326;0.267
ENST00000520518_90_90;0.711;0.25;0.478;0.846;0.75;0.75;0.805;0.805;0.455;0.971;0.606;0.364;0.97;0.909;0.788;1.0;0.576;0.879;0.758;0.818;0.848;0.805;0.478;0.571;0.422;0.805;0.75;0.805;0.805;0.846;0.805;0.667;0.182;0.478;0.422
ENST00000521062_90_90;0.432;0.0;0.256;0.487;0.432;0.432;0.463;0.463;0.789;0.559;0.95;0.632;0.594;0.633;0.731;0.576;1.0;0.655;0.76;0.704;0.679;0.463;0.256;0.367;0.19;0.463;0.432;0.463;0.463;0.487;0.463;0.864;0.316;0.256;0.19
ENST00000523238_90_90;0.622;0.15;0.391;0.744;0.659;0.659;0.707;0.707;0.517;0.853;0.69;0.414;0.906;0.967;0.897;0.879;0.655;1.0;0.862;0.931;0.966;0.707;0.391;0.545;0.333;0.707;0.659;0.707;0.707;0.744;0.707;0.759;0.207;0.391;0.333
ENST00000523570_90_90;0.533;0.05;0.304;0.641;0.568;0.568;0.61;0.61;0.6;0.735;0.8;0.48;0.781;0.833;0.962;0.758;0.76;0.862;1.0;0.926;0.893;0.61;0.304;0.424;0.244;0.61;0.568;0.61;0.61;0.641;0.61;0.88;0.24;0.304;0.244
ENST00000523574_90_90;0.578;0.1;0.348;0.692;0.614;0.614;0.659;0.659;0.556;0.794;0.741;0.444;0.844;0.9;0.963;0.818;0.704;0.931;0.926;1.0;0.964;0.659;0.348;0.485;0.289;0.659;0.614;0.659;0.659;0.692;0.659;0.815;0.222;0.348;0.289
ENST00000524310_90_90;0.6;0.125;0.37;0.718;0.636;0.636;0.683;0.683;0.536;0.824;0.714;0.429;0.875;0.933;0.929;0.848;0.679;0.966;0.893;0.964;1.0;0.683;0.37;0.515;0.311;0.683;0.636;0.683;0.683;0.718;0.683;0.786;0.214;0.37;0.311
ENST00000538466_90_90;0.848;0.349;0.551;0.951;0.848;0.848;1.0;1.0;0.366;0.829;0.488;0.293;0.78;0.732;0.634;0.805;0.463;0.707;0.61;0.659;0.683;1.0;0.551;0.465;0.5;1.0;0.848;1.0;1.0;0.951;1.0;0.537;0.146;0.551;0.5
ENST00000519728_90_90;0.612;0.333;1.0;0.542;0.58;0.58;0.551;0.551;0.22;0.5;0.279;0.205;0.457;0.413;0.326;0.478;0.256;0.391;0.304;0.348;0.37;0.551;1.0;0.629;0.886;0.551;0.58;0.551;0.551;0.542;0.551;0.295;0.139;1.0;0.886
ENST00000520050_90_90;0.435;0.219;0.629;0.488;0.435;0.435;0.465;0.465;0.321;0.556;0.4;0.308;0.588;0.576;0.455;0.571;0.367;0.545;0.424;0.485;0.515;0.465;0.629;1.0;0.514;0.465;0.435;0.465;0.465;0.488;0.465;0.419;0.217;0.629;0.514
ENST00000520220_90_90;0.562;0.371;0.886;0.489;0.531;0.531;0.5;0.5;0.15;0.444;0.214;0.132;0.4;0.356;0.267;0.422;0.19;0.333;0.244;0.289;0.311;0.5;0.886;0.514;1.0;0.5;0.531;0.5;0.5;0.489;0.5;0.233;0.088;0.886;1.0
ENSMUST00000063091_90_90;0.848;0.349;0.551;0.951;0.848;0.848;1.0;1.0;0.366;0.829;0.488;0.293;0.78;0.732;0.634;0.805;0.463;0.707;0.61;0.659;0.683;1.0;0.551;0.465;0.5;1.0;0.848;1.0;1.0;0.951;1.0;0.537;0.146;0.551;0.5
ENSMUST00000099967_90_90;0.913;0.326;0.58;0.886;1.0;1.0;0.848;0.848;0.341;0.773;0.455;0.273;0.727;0.682;0.591;0.75;0.432;0.659;0.568;0.614;0.636;0.848;0.58;0.435;0.531;0.848;1.0;0.848;0.848;0.886;0.848;0.5;0.136;0.58;0.531
ENSMUST00000126486_90_90;0.848;0.349;0.551;0.951;0.848;0.848;1.0;1.0;0.366;0.829;0.488;0.293;0.78;0.732;0.634;0.805;0.463;0.707;0.61;0.659;0.683;1.0;0.551;0.465;0.5;1.0;0.848;1.0;1.0;0.951;1.0;0.537;0.146;0.551;0.5
ENSMUST00000135242_90_90;0.848;0.349;0.551;0.951;0.848;0.848;1.0;1.0;0.366;0.829;0.488;0.293;0.78;0.732;0.634;0.805;0.463;0.707;0.61;0.659;0.683;1.0;0.551;0.465;0.5;1.0;0.848;1.0;1.0;0.951;1.0;0.537;0.146;0.551;0.5
ENSMUST00000136659_90_90;0.844;0.366;0.542;1.0;0.886;0.886;0.951;0.951;0.385;0.872;0.513;0.308;0.821;0.769;0.667;0.846;0.487;0.744;0.641;0.692;0.718;0.951;0.542;0.488;0.489;0.951;0.886;0.951;0.951;1.0;0.951;0.564;0.154;0.542;0.489
ENSMUST00000146287_90_90;0.848;0.349;0.551;0.951;0.848;0.848;1.0;1.0;0.366;0.829;0.488;0.293;0.78;0.732;0.634;0.805;0.463;0.707;0.61;0.659;0.683;1.0;0.551;0.465;0.5;1.0;0.848;1.0;1.0;0.951;1.0;0.537;0.146;0.551;0.5
ENSMUST00000148152_90_90;0.5;0.0;0.295;0.564;0.5;0.5;0.537;0.537;0.682;0.647;0.909;0.545;0.688;0.733;0.846;0.667;0.864;0.759;0.88;0.815;0.786;0.537;0.295;0.419;0.233;0.537;0.5;0.537;0.537;0.564;0.537;1.0;0.273;0.295;0.233
ENSMUST00000157009_90_90;0.136;0.0;0.139;0.154;0.136;0.136;0.146;0.146;0.4;0.176;0.3;0.5;0.188;0.2;0.231;0.182;0.316;0.207;0.24;0.222;0.214;0.146;0.139;0.217;0.088;0.146;0.136;0.146;0.146;0.154;0.146;0.273;1.0;0.139;0.088
ENSMUST00000041377_90_90;0.612;0.333;1.0;0.542;0.58;0.58;0.551;0.551;0.22;0.5;0.279;0.205;0.457;0.413;0.326;0.478;0.256;0.391;0.304;0.348;0.37;0.551;1.0;0.629;0.886;0.551;0.58;0.551;0.551;0.542;0.551;0.295;0.139;1.0;0.886
ENSMUST00000103010_90_90;0.562;0.371;0.886;0.489;0.531;0.531;0.5;0.5;0.15;0.444;0.214;0.132;0.4;0.356;0.267;0.422;0.19;0.333;0.244;0.289;0.311;0.5;0.886;0.514;1.0;0.5;0.531;0.5;0.5;0.489;0.5;0.233;0.088;0.886;1.0
