;transcript42_ENSMUGG00000013649;transcript37_ENSCGRG00000018457;transcript37_ENSCGRG00001010245;transcript31_ENSCGRG00001010245;transcript49_ENSCGRG00001010245;transcript51_ENSCGRG00001010245;transcript50_ENSCGRG00001010245;transcript42_ENSPEMG00000024651;transcript43_ENSPEMG00000024651;transcript31_ENSPEMG00000024651;transcript7_ENSPEMG00000024651
transcript42_ENSMUGG00000013649;1.0;0.86;0.86;0.96;0.821;0.92;0.894;0.922;0.96;0.96;0.883
transcript37_ENSCGRG00000018457;0.86;1.0;1.0;0.899;0.956;0.859;0.834;0.862;0.899;0.899;0.898
transcript37_ENSCGRG00001010245;0.86;1.0;1.0;0.899;0.956;0.859;0.834;0.862;0.899;0.899;0.898
transcript31_ENSCGRG00001010245;0.96;0.899;0.899;1.0;0.861;0.96;0.934;0.963;1.0;1.0;0.923
transcript49_ENSCGRG00001010245;0.821;0.956;0.956;0.861;1.0;0.821;0.795;0.824;0.861;0.861;0.857
transcript51_ENSCGRG00001010245;0.92;0.859;0.859;0.96;0.821;1.0;0.894;0.922;0.96;0.96;0.883
transcript50_ENSCGRG00001010245;0.894;0.834;0.834;0.934;0.795;0.894;1.0;0.897;0.934;0.934;0.858
transcript42_ENSPEMG00000024651;0.922;0.862;0.862;0.963;0.824;0.922;0.897;1.0;0.963;0.963;0.886
transcript43_ENSPEMG00000024651;0.96;0.899;0.899;1.0;0.861;0.96;0.934;0.963;1.0;1.0;0.923
transcript31_ENSPEMG00000024651;0.96;0.899;0.899;1.0;0.861;0.96;0.934;0.963;1.0;1.0;0.923
transcript7_ENSPEMG00000024651;0.883;0.898;0.898;0.923;0.857;0.883;0.858;0.886;0.923;0.923;1.0
