;transcript7_ENSMPUG00000020072;transcript10_ENSMPUG00000020072;transcript17_ENSMPUG00000020072;transcript20_ENSMPUG00000020072;transcript22_ENSMPUG00000020072;transcript23_ENSMPUG00000020072;transcript24_ENSMPUG00000020072;transcript25_ENSMPUG00000020072;transcript10_ENSECAG00000007947;transcript12_ENSECAG00000007947;transcript17_ENSECAG00000007947;transcript9_ENSMLUG00000027828;transcript13_ENSMLUG00000027828;transcript14_ENSMLUG00000027828;transcript22_ENSMLUG00000027828;transcript7_ENSSTOG00000019743;transcript9_ENSSTOG00000019743;transcript17_ENSSTOG00000019743;transcript26_ENSSTOG00000019743;transcript7_ENSCCNG00000000226;transcript9_ENSCCNG00000000226;transcript18_ENSCCNG00000000226;transcript24_ENSCCNG00000000226;transcript26_ENSCCNG00000000226;transcript7_ENSCPOG00000024843;transcript9_ENSCPOG00000024843;transcript17_ENSCPOG00000024843;transcript18_ENSCPOG00000024843;transcript24_ENSCPOG00000024843;transcript32_ENSCPOG00000024843;transcript33_ENSCPOG00000024843
transcript7_ENSMPUG00000020072;1.0;0.859;0.861;0.861;0.794;0.915;0.735;0.847;0.671;0.672;0.672;0.047;0.653;0.684;0.653;0.554;0.611;0.611;0.567;0.695;0.659;0.481;0.659;0.617;0.547;0.518;0.748;0.547;0.748;0.71;0.748
transcript10_ENSMPUG00000020072;0.859;1.0;0.998;0.998;0.788;0.938;0.872;0.984;0.758;0.756;0.756;0.043;0.754;0.72;0.754;0.651;0.706;0.706;0.664;0.711;0.747;0.575;0.747;0.707;0.674;0.645;0.871;0.674;0.871;0.714;0.871
transcript17_ENSMPUG00000020072;0.861;0.998;1.0;1.0;0.79;0.941;0.874;0.986;0.756;0.758;0.758;0.041;0.756;0.718;0.756;0.649;0.704;0.704;0.662;0.709;0.745;0.573;0.745;0.705;0.672;0.643;0.869;0.672;0.869;0.712;0.869
transcript20_ENSMPUG00000020072;0.861;0.998;1.0;1.0;0.79;0.941;0.874;0.986;0.756;0.758;0.758;0.041;0.756;0.718;0.756;0.649;0.704;0.704;0.662;0.709;0.745;0.573;0.745;0.705;0.672;0.643;0.869;0.672;0.869;0.712;0.869
transcript22_ENSMPUG00000020072;0.794;0.788;0.79;0.79;1.0;0.731;0.664;0.776;0.621;0.622;0.622;0.052;0.571;0.533;0.571;0.518;0.577;0.577;0.532;0.656;0.622;0.44;0.622;0.578;0.484;0.455;0.687;0.484;0.687;0.878;0.687
transcript23_ENSMPUG00000020072;0.915;0.938;0.941;0.941;0.731;1.0;0.815;0.927;0.714;0.716;0.716;0.043;0.724;0.758;0.724;0.613;0.669;0.669;0.626;0.666;0.703;0.529;0.703;0.662;0.619;0.59;0.817;0.619;0.817;0.658;0.817
transcript24_ENSMPUG00000020072;0.735;0.872;0.874;0.874;0.664;0.815;1.0;0.861;0.68;0.681;0.681;0.047;0.682;0.644;0.682;0.566;0.623;0.623;0.579;0.634;0.671;0.494;0.671;0.629;0.559;0.531;0.76;0.559;0.76;0.599;0.76
transcript25_ENSMPUG00000020072;0.847;0.984;0.986;0.986;0.776;0.927;0.861;1.0;0.744;0.745;0.745;0.041;0.747;0.71;0.747;0.637;0.692;0.692;0.65;0.7;0.736;0.58;0.736;0.696;0.68;0.651;0.857;0.68;0.857;0.7;0.857
transcript10_ENSECAG00000007947;0.671;0.758;0.756;0.756;0.621;0.714;0.68;0.744;1.0;0.998;0.998;0.043;0.767;0.733;0.767;0.65;0.708;0.708;0.666;0.723;0.756;0.6;0.756;0.709;0.687;0.658;0.873;0.687;0.873;0.709;0.873
transcript12_ENSECAG00000007947;0.672;0.756;0.758;0.758;0.622;0.716;0.681;0.745;0.998;1.0;1.0;0.041;0.768;0.731;0.768;0.648;0.706;0.706;0.664;0.721;0.754;0.598;0.754;0.707;0.685;0.656;0.871;0.685;0.871;0.707;0.871
transcript17_ENSECAG00000007947;0.672;0.756;0.758;0.758;0.622;0.716;0.681;0.745;0.998;1.0;1.0;0.041;0.768;0.731;0.768;0.648;0.706;0.706;0.664;0.721;0.754;0.598;0.754;0.707;0.685;0.656;0.871;0.685;0.871;0.707;0.871
transcript9_ENSMLUG00000027828;0.047;0.043;0.041;0.041;0.052;0.043;0.047;0.041;0.043;0.041;0.041;1.0;0.046;0.05;0.046;0.039;0.036;0.036;0.039;0.041;0.039;0.052;0.039;0.042;0.056;0.058;0.042;0.056;0.042;0.053;0.042
transcript13_ENSMLUG00000027828;0.653;0.754;0.756;0.756;0.571;0.724;0.682;0.747;0.767;0.768;0.768;0.046;1.0;0.945;1.0;0.639;0.718;0.718;0.655;0.698;0.748;0.593;0.748;0.684;0.689;0.674;0.869;0.689;0.869;0.651;0.869
transcript14_ENSMLUG00000027828;0.684;0.72;0.718;0.718;0.533;0.758;0.644;0.71;0.733;0.731;0.731;0.05;0.945;1.0;0.945;0.611;0.69;0.69;0.627;0.661;0.711;0.553;0.711;0.646;0.644;0.628;0.825;0.644;0.825;0.607;0.825
transcript22_ENSMLUG00000027828;0.653;0.754;0.756;0.756;0.571;0.724;0.682;0.747;0.767;0.768;0.768;0.046;1.0;0.945;1.0;0.639;0.718;0.718;0.655;0.698;0.748;0.593;0.748;0.684;0.689;0.674;0.869;0.689;0.869;0.651;0.869
transcript7_ENSSTOG00000019743;0.554;0.651;0.649;0.649;0.518;0.613;0.566;0.637;0.65;0.648;0.648;0.039;0.639;0.611;0.639;1.0;0.906;0.906;0.979;0.614;0.658;0.496;0.658;0.705;0.556;0.54;0.744;0.556;0.744;0.582;0.744
transcript9_ENSSTOG00000019743;0.611;0.706;0.704;0.704;0.577;0.669;0.623;0.692;0.708;0.706;0.706;0.036;0.718;0.69;0.718;0.906;1.0;1.0;0.925;0.663;0.707;0.549;0.707;0.666;0.636;0.621;0.821;0.636;0.821;0.663;0.821
transcript17_ENSSTOG00000019743;0.611;0.706;0.704;0.704;0.577;0.669;0.623;0.692;0.708;0.706;0.706;0.036;0.718;0.69;0.718;0.906;1.0;1.0;0.925;0.663;0.707;0.549;0.707;0.666;0.636;0.621;0.821;0.636;0.821;0.663;0.821
transcript26_ENSSTOG00000019743;0.567;0.664;0.662;0.662;0.532;0.626;0.579;0.65;0.666;0.664;0.664;0.039;0.655;0.627;0.655;0.979;0.925;0.925;1.0;0.62;0.665;0.503;0.665;0.711;0.572;0.556;0.76;0.572;0.76;0.599;0.76
transcript7_ENSCCNG00000000226;0.695;0.711;0.709;0.709;0.656;0.666;0.634;0.7;0.723;0.721;0.721;0.041;0.698;0.661;0.698;0.614;0.663;0.663;0.62;1.0;0.942;0.696;0.942;0.868;0.62;0.591;0.806;0.62;0.806;0.743;0.806
transcript9_ENSCCNG00000000226;0.659;0.747;0.745;0.745;0.622;0.703;0.671;0.736;0.756;0.754;0.754;0.039;0.748;0.711;0.748;0.658;0.707;0.707;0.665;0.942;1.0;0.754;1.0;0.926;0.671;0.643;0.855;0.671;0.855;0.705;0.855
