;ENSCAFT00000017839_90_90;ENSCAFT00000046942_90_90;ENST00000229395_90_90;ENST00000327214_90_90;ENST00000544111_90_90;ENST00000546072_90_90;ENSMUST00000037836_90_90;ENSMUST00000058245_90_90;ENSMUST00000067404_90_90;ENSMUST00000111663_90_90
ENSCAFT00000017839_90_90;1.0;0.833;0.429;0.5;0.2;0.429;0.429;0.429;0.5;0.429
ENSCAFT00000046942_90_90;0.833;1.0;0.571;0.429;0.167;0.571;0.571;0.571;0.429;0.571
ENST00000229395_90_90;0.429;0.571;1.0;0.8;0.2;0.429;0.429;0.429;0.5;0.667
ENST00000327214_90_90;0.5;0.429;0.8;1.0;0.25;0.286;0.286;0.286;0.6;0.5
ENST00000544111_90_90;0.2;0.167;0.2;0.25;1.0;0.2;0.2;0.2;0.25;0.2
ENST00000546072_90_90;0.429;0.571;0.429;0.286;0.2;1.0;1.0;1.0;0.286;0.429
ENSMUST00000037836_90_90;0.429;0.571;0.429;0.286;0.2;1.0;1.0;1.0;0.286;0.429
ENSMUST00000058245_90_90;0.429;0.571;0.429;0.286;0.2;1.0;1.0;1.0;0.286;0.429
ENSMUST00000067404_90_90;0.5;0.429;0.5;0.6;0.25;0.286;0.286;0.286;1.0;0.8
ENSMUST00000111663_90_90;0.429;0.571;0.667;0.5;0.2;0.429;0.429;0.429;0.8;1.0
