;transcript2_ENSHGLG00100006079;transcript8_ENSHGLG00100006079;transcript6_ENSPCIG00000036398;transcript7_ENSPCIG00000036398;transcript7_ENSMUNG00000007775;transcript16_ENSMUNG00000007775;transcript23_ENSMUNG00000007775;transcript16_ENSMUNG00000002377;transcript10_ENSMUNG00000002391;transcript2_ENSXMAG00000026005;transcript7_ENSXMAG00000026005;transcript8_ENSXMAG00000026005;transcript9_ENSXMAG00000026005;transcript10_ENSXMAG00000026005
transcript2_ENSHGLG00100006079;1.0;0.559;0.888;0.07;0.29;0.78;0.78;1.0;1.0;1.0;0.053;0.711;1.0;0.992
transcript8_ENSHGLG00100006079;0.559;1.0;0.367;0.027;0.165;0.045;0.045;0.053;0.552;0.559;0.047;0.998;0.559;0.547
transcript6_ENSPCIG00000036398;0.888;0.367;1.0;0.089;0.346;0.824;0.824;1.0;0.901;0.89;0.066;0.492;0.89;0.899
transcript7_ENSPCIG00000036398;0.07;0.027;0.089;1.0;0.846;0.211;0.211;0.211;0.071;0.07;0.393;0.028;0.07;0.071
transcript7_ENSMUNG00000007775;0.29;0.165;0.346;0.846;1.0;0.882;0.882;0.882;0.29;0.29;0.418;0.165;0.29;0.29
transcript16_ENSMUNG00000007775;0.78;0.045;0.824;0.211;0.882;1.0;1.0;1.0;0.78;0.78;0.106;0.077;0.78;0.78
transcript23_ENSMUNG00000007775;0.78;0.045;0.824;0.211;0.882;1.0;1.0;1.0;0.78;0.78;0.106;0.077;0.78;0.78
transcript16_ENSMUNG00000002377;1.0;0.053;1.0;0.211;0.882;1.0;1.0;1.0;1.0;1.0;0.117;0.1;1.0;1.0
transcript10_ENSMUNG00000002391;1.0;0.552;0.901;0.071;0.29;0.78;0.78;1.0;1.0;1.0;0.054;0.705;1.0;1.0
transcript2_ENSXMAG00000026005;1.0;0.559;0.89;0.07;0.29;0.78;0.78;1.0;1.0;1.0;0.053;0.711;1.0;0.992
transcript7_ENSXMAG00000026005;0.053;0.047;0.066;0.393;0.418;0.106;0.106;0.117;0.054;0.053;1.0;0.047;0.053;0.054
transcript8_ENSXMAG00000026005;0.711;0.998;0.492;0.028;0.165;0.077;0.077;0.1;0.705;0.711;0.047;1.0;0.711;0.697
transcript9_ENSXMAG00000026005;1.0;0.559;0.89;0.07;0.29;0.78;0.78;1.0;1.0;1.0;0.053;0.711;1.0;0.992
transcript10_ENSXMAG00000026005;0.992;0.547;0.899;0.071;0.29;0.78;0.78;1.0;1.0;0.992;0.054;0.697;0.992;1.0
