;transcript7_MGP-CAROLIEiJ-G0020234;transcript57_MGP-CAROLIEiJ-G0020234;transcript58_MGP-CAROLIEiJ-G0020234;transcript59_MGP-CAROLIEiJ-G0020234;transcript7_ENSMUGG00000013649;transcript28_ENSMUGG00000013649;transcript42_ENSMUGG00000013649;transcript7_ENSMUGG00000013592;transcript42_ENSMUGG00000013592;transcript52_ENSMUGG00000013592;transcript7_ENSCGRG00015005362;transcript52_ENSCGRG00015005362;transcript53_ENSCGRG00015005362;transcript54_ENSCGRG00015005362;transcript55_ENSCGRG00015005362;transcript7_ENSCGRG00000018457;transcript7_ENSPEMG00000024651
transcript7_MGP-CAROLIEiJ-G0020234;1.0;0.929;1.0;0.929;0.237;0.233;0.237;0.268;0.268;0.154;0.217;0.217;0.245;0.217;0.22;0.217;0.233
transcript57_MGP-CAROLIEiJ-G0020234;0.929;1.0;0.929;1.0;0.22;0.217;0.22;0.244;0.244;0.128;0.2;0.2;0.226;0.2;0.203;0.2;0.217
transcript58_MGP-CAROLIEiJ-G0020234;1.0;0.929;1.0;0.929;0.237;0.233;0.237;0.268;0.268;0.154;0.217;0.217;0.245;0.217;0.22;0.217;0.233
transcript59_MGP-CAROLIEiJ-G0020234;0.929;1.0;0.929;1.0;0.22;0.217;0.22;0.244;0.244;0.128;0.2;0.2;0.226;0.2;0.203;0.2;0.217
transcript7_ENSMUGG00000013649;0.237;0.22;0.237;0.22;1.0;0.983;1.0;0.644;0.644;0.525;0.967;0.967;0.85;0.967;0.95;0.967;0.983
transcript28_ENSMUGG00000013649;0.233;0.217;0.233;0.217;0.983;1.0;0.983;0.633;0.633;0.517;0.983;0.983;0.867;0.983;0.967;0.983;1.0
transcript42_ENSMUGG00000013649;0.237;0.22;0.237;0.22;1.0;0.983;1.0;0.644;0.644;0.525;0.967;0.967;0.85;0.967;0.95;0.967;0.983
transcript7_ENSMUGG00000013592;0.268;0.244;0.268;0.244;0.644;0.633;0.644;1.0;1.0;0.816;0.617;0.617;0.579;0.617;0.6;0.617;0.633
transcript42_ENSMUGG00000013592;0.268;0.244;0.268;0.244;0.644;0.633;0.644;1.0;1.0;0.816;0.617;0.617;0.579;0.617;0.6;0.617;0.633
transcript52_ENSMUGG00000013592;0.154;0.128;0.154;0.128;0.525;0.517;0.525;0.816;0.816;1.0;0.5;0.5;0.456;0.5;0.483;0.5;0.517
transcript7_ENSCGRG00015005362;0.217;0.2;0.217;0.2;0.967;0.983;0.967;0.617;0.617;0.5;1.0;1.0;0.881;1.0;0.983;1.0;0.983
transcript52_ENSCGRG00015005362;0.217;0.2;0.217;0.2;0.967;0.983;0.967;0.617;0.617;0.5;1.0;1.0;0.881;1.0;0.983;1.0;0.983
transcript53_ENSCGRG00015005362;0.245;0.226;0.245;0.226;0.85;0.867;0.85;0.579;0.579;0.456;0.881;0.881;1.0;0.881;0.864;0.881;0.867
transcript54_ENSCGRG00015005362;0.217;0.2;0.217;0.2;0.967;0.983;0.967;0.617;0.617;0.5;1.0;1.0;0.881;1.0;0.983;1.0;0.983
transcript55_ENSCGRG00015005362;0.22;0.203;0.22;0.203;0.95;0.967;0.95;0.6;0.6;0.483;0.983;0.983;0.864;0.983;1.0;0.983;0.967
transcript7_ENSCGRG00000018457;0.217;0.2;0.217;0.2;0.967;0.983;0.967;0.617;0.617;0.5;1.0;1.0;0.881;1.0;0.983;1.0;0.983
transcript7_ENSPEMG00000024651;0.233;0.217;0.233;0.217;0.983;1.0;0.983;0.633;0.633;0.517;0.983;0.983;0.867;0.983;0.967;0.983;1.0
