;ENSCAFT00000023420_90_90;ENST00000319770_90_90;ENST00000355772_90_90;ENST00000361959_90_90;ENST00000396801_90_90;ENST00000417772_90_90;ENST00000436774_90_90;ENST00000535485_90_90;ENST00000538829_90_90;ENST00000540915_90_90;ENST00000542351_90_90;ENST00000544482_90_90;ENST00000545946_90_90;ENSMUST00000046064_90_90;ENSMUST00000054553_90_90;ENSMUST00000084275_90_90;ENSMUST00000088308_90_90;ENSMUST00000112424_90_90;ENSMUST00000112425_90_90;ENSMUST00000112427_90_90;ENSMUST00000112428_90_90;ENSMUST00000152752_90_90
ENSCAFT00000023420_90_90;1.0;0.782;0.663;0.867;0.867;0.553;0.424;0.261;0.187;0.369;0.179;0.142;0.239;0.777;0.649;0.877;0.877;0.832;0.793;0.877;0.777;0.169
ENST00000319770_90_90;0.782;1.0;0.836;0.913;0.913;0.508;0.491;0.292;0.215;0.401;0.165;0.15;0.339;0.827;0.756;0.803;0.803;0.76;0.878;0.803;0.827;0.177
ENST00000355772_90_90;0.663;0.836;1.0;0.762;0.762;0.36;0.398;0.189;0.124;0.237;0.126;0.129;0.409;0.712;0.887;0.69;0.69;0.721;0.756;0.69;0.712;0.172
ENST00000361959_90_90;0.867;0.913;0.762;1.0;1.0;0.543;0.447;0.266;0.196;0.366;0.15;0.136;0.309;0.76;0.69;0.885;0.885;0.841;0.803;0.885;0.76;0.16
ENST00000396801_90_90;0.867;0.913;0.762;1.0;1.0;0.543;0.447;0.266;0.196;0.366;0.15;0.136;0.309;0.76;0.69;0.885;0.885;0.841;0.803;0.885;0.76;0.16
ENST00000417772_90_90;0.553;0.508;0.36;0.543;0.543;1.0;0.7;0.417;0.307;0.576;0.23;0.21;0.0;0.53;0.353;0.509;0.509;0.466;0.473;0.509;0.53;0.249
ENST00000436774_90_90;0.424;0.491;0.398;0.447;0.447;0.7;1.0;0.595;0.296;0.643;0.203;0.212;0.0;0.427;0.388;0.414;0.414;0.433;0.454;0.414;0.427;0.351
ENST00000535485_90_90;0.261;0.292;0.189;0.266;0.266;0.417;0.595;1.0;0.468;0.73;0.32;0.339;0.0;0.248;0.184;0.24;0.24;0.251;0.264;0.24;0.248;0.588
ENST00000538829_90_90;0.187;0.215;0.124;0.196;0.196;0.307;0.296;0.468;1.0;0.539;0.674;0.659;0.0;0.179;0.121;0.173;0.173;0.127;0.19;0.173;0.179;0.407
ENST00000540915_90_90;0.369;0.401;0.237;0.366;0.366;0.576;0.643;0.73;0.539;1.0;0.402;0.377;0.0;0.345;0.232;0.336;0.336;0.289;0.367;0.336;0.345;0.444
ENST00000542351_90_90;0.179;0.165;0.126;0.15;0.15;0.23;0.203;0.32;0.674;0.402;1.0;0.695;0.0;0.17;0.123;0.165;0.165;0.119;0.181;0.165;0.17;0.428
ENST00000544482_90_90;0.142;0.15;0.129;0.136;0.136;0.21;0.212;0.339;0.659;0.377;0.695;1.0;0.0;0.139;0.127;0.134;0.134;0.104;0.147;0.134;0.139;0.485
ENST00000545946_90_90;0.239;0.339;0.409;0.309;0.309;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.266;0.334;0.26;0.26;0.272;0.283;0.26;0.266;0.0
ENSMUST00000046064_90_90;0.777;0.827;0.712;0.76;0.76;0.53;0.427;0.248;0.179;0.345;0.17;0.139;0.266;1.0;0.789;0.863;0.863;0.818;0.939;0.863;1.0;0.163
ENSMUST00000054553_90_90;0.649;0.756;0.887;0.69;0.69;0.353;0.388;0.184;0.121;0.232;0.123;0.127;0.334;0.789;1.0;0.767;0.767;0.805;0.841;0.767;0.789;0.168
ENSMUST00000084275_90_90;0.877;0.803;0.69;0.885;0.885;0.509;0.414;0.24;0.173;0.336;0.165;0.134;0.26;0.863;0.767;1.0;1.0;0.953;0.915;1.0;0.863;0.158
ENSMUST00000088308_90_90;0.877;0.803;0.69;0.885;0.885;0.509;0.414;0.24;0.173;0.336;0.165;0.134;0.26;0.863;0.767;1.0;1.0;0.953;0.915;1.0;0.863;0.158
ENSMUST00000112424_90_90;0.832;0.76;0.721;0.841;0.841;0.466;0.433;0.251;0.127;0.289;0.119;0.104;0.272;0.818;0.805;0.953;0.953;1.0;0.867;0.953;0.818;0.164
ENSMUST00000112425_90_90;0.793;0.878;0.756;0.803;0.803;0.473;0.454;0.264;0.19;0.367;0.181;0.147;0.283;0.939;0.841;0.915;0.915;0.867;1.0;0.915;0.939;0.173
ENSMUST00000112427_90_90;0.877;0.803;0.69;0.885;0.885;0.509;0.414;0.24;0.173;0.336;0.165;0.134;0.26;0.863;0.767;1.0;1.0;0.953;0.915;1.0;0.863;0.158
ENSMUST00000112428_90_90;0.777;0.827;0.712;0.76;0.76;0.53;0.427;0.248;0.179;0.345;0.17;0.139;0.266;1.0;0.789;0.863;0.863;0.818;0.939;0.863;1.0;0.163
ENSMUST00000152752_90_90;0.169;0.177;0.172;0.16;0.16;0.249;0.351;0.588;0.407;0.444;0.428;0.485;0.0;0.163;0.168;0.158;0.158;0.164;0.173;0.158;0.163;1.0
