;ENSCAFT00000020758_90_90;ENST00000379697_90_90;ENST00000379698_90_90;ENST00000379716_90_90;ENST00000379726_90_90;ENST00000397821_90_90;ENST00000431164_90_90;ENST00000432234_90_90;ENSMUST00000073094_90_90;ENSMUST00000080394_90_90;ENSMUST00000112451_90_90;ENSMUST00000112453_90_90;ENSMUST00000112456_90_90;ENSMUST00000123433_90_90;ENSMUST00000141354_90_90;ENSMUST00000152426_90_90
ENSCAFT00000020758_90_90;1.0;0.674;0.883;0.593;0.851;0.948;0.16;0.354;0.974;0.887;0.58;0.58;0.951;0.37;0.662;0.3
ENST00000379697_90_90;0.674;1.0;0.494;0.228;0.522;0.572;0.227;0.473;0.728;0.574;0.28;0.28;0.653;0.496;0.718;0.06
ENST00000379698_90_90;0.883;0.494;1.0;0.595;0.812;0.888;0.196;0.405;0.8;0.953;0.574;0.574;0.861;0.403;0.724;0.28
ENST00000379716_90_90;0.593;0.228;0.595;1.0;0.621;0.587;0.0;0.079;0.516;0.573;0.927;0.927;0.554;0.127;0.348;0.422
ENST00000379726_90_90;0.851;0.522;0.812;0.621;1.0;0.804;0.204;0.331;0.829;0.78;0.588;0.588;0.756;0.381;0.567;0.286
ENST00000397821_90_90;0.948;0.572;0.888;0.587;0.804;1.0;0.193;0.406;0.885;0.859;0.554;0.554;0.953;0.394;0.646;0.27
ENST00000431164_90_90;0.16;0.227;0.196;0.0;0.204;0.193;1.0;0.488;0.168;0.188;0.0;0.0;0.181;0.499;0.255;0.0
ENST00000432234_90_90;0.354;0.473;0.405;0.079;0.331;0.406;0.488;1.0;0.385;0.426;0.087;0.087;0.417;0.846;0.548;0.0
ENSMUST00000073094_90_90;0.974;0.728;0.8;0.516;0.829;0.885;0.168;0.385;1.0;0.829;0.546;0.522;0.929;0.367;0.565;0.287
ENSMUST00000080394_90_90;0.887;0.574;0.953;0.573;0.78;0.859;0.188;0.426;0.829;1.0;0.595;0.566;0.888;0.395;0.692;0.312
ENSMUST00000112451_90_90;0.58;0.28;0.574;0.927;0.588;0.554;0.0;0.087;0.546;0.595;1.0;0.927;0.587;0.116;0.316;0.494
ENSMUST00000112453_90_90;0.58;0.28;0.574;0.927;0.588;0.554;0.0;0.087;0.522;0.566;0.927;1.0;0.559;0.111;0.301;0.459
ENSMUST00000112456_90_90;0.951;0.653;0.861;0.554;0.756;0.953;0.181;0.417;0.929;0.888;0.587;0.559;1.0;0.395;0.604;0.309
ENSMUST00000123433_90_90;0.37;0.496;0.403;0.127;0.381;0.394;0.499;0.846;0.367;0.395;0.116;0.111;0.395;1.0;0.495;0.0
ENSMUST00000141354_90_90;0.662;0.718;0.724;0.348;0.567;0.646;0.255;0.548;0.565;0.692;0.316;0.301;0.604;0.495;1.0;0.1
ENSMUST00000152426_90_90;0.3;0.06;0.28;0.422;0.286;0.27;0.0;0.0;0.287;0.312;0.494;0.459;0.309;0.0;0.1;1.0
