;ENSCAFT00000027630_90_90;ENST00000258962_90_90;ENST00000581979_90_90;ENST00000582730_90_90;ENST00000583741_90_90;ENST00000584668_90_90;ENST00000584773_90_90;ENST00000585096_90_90;ENSMUST00000079866_90_90;ENSMUST00000107920_90_90;ENSMUST00000134824_90_90;ENSMUST00000139129_90_90;ENSMUST00000172186_90_90
ENSCAFT00000027630_90_90;1.0;0.884;0.711;0.711;0.176;0.427;0.998;0.293;0.725;0.998;0.469;0.894;0.284
ENST00000258962_90_90;0.884;1.0;0.732;0.732;0.245;0.496;0.877;0.295;0.722;0.867;0.373;1.0;0.164
ENST00000581979_90_90;0.711;0.732;1.0;1.0;0.285;0.264;0.698;0.341;0.999;0.686;0.428;0.722;0.19
ENST00000582730_90_90;0.711;0.732;1.0;1.0;0.285;0.264;0.698;0.341;0.999;0.686;0.428;0.722;0.19
ENST00000583741_90_90;0.176;0.245;0.285;0.285;1.0;0.0;0.234;0.691;0.26;0.211;0.0;0.221;0.0
ENST00000584668_90_90;0.427;0.496;0.264;0.264;0.0;1.0;0.42;0.0;0.273;0.431;0.399;0.515;0.178
ENST00000584773_90_90;0.998;0.877;0.698;0.698;0.234;0.42;1.0;0.337;0.686;1.0;0.486;0.867;0.268
ENST00000585096_90_90;0.293;0.295;0.341;0.341;0.691;0.0;0.337;1.0;0.309;0.31;0.057;0.266;0.08
ENSMUST00000079866_90_90;0.725;0.722;0.999;0.999;0.26;0.273;0.686;0.309;1.0;0.698;0.398;0.732;0.178
ENSMUST00000107920_90_90;0.998;0.867;0.686;0.686;0.211;0.431;1.0;0.31;0.698;1.0;0.444;0.877;0.243
ENSMUST00000134824_90_90;0.469;0.373;0.428;0.428;0.0;0.399;0.486;0.057;0.398;0.444;1.0;0.347;0.584
ENSMUST00000139129_90_90;0.894;1.0;0.722;0.722;0.221;0.515;0.867;0.266;0.732;0.877;0.347;1.0;0.153
ENSMUST00000172186_90_90;0.284;0.164;0.19;0.19;0.0;0.178;0.268;0.08;0.178;0.243;0.584;0.153;1.0
