;ENSCAFT00000027787_90_90;ENSCAFT00000048830_90_90;ENST00000368686_90_90;ENST00000368687_90_90;ENST00000368690_90_90;ENST00000368694_90_90;ENST00000403433_90_90;ENST00000614256_90_90;ENSMUST00000001043_90_90;ENSMUST00000049937_90_90;ENSMUST00000076639_90_90;ENSMUST00000107342_90_90;ENSMUST00000107343_90_90;ENSMUST00000107344_90_90;ENSMUST00000107346_90_90;ENSMUST00000131868_90_90;ENSMUST00000146740_90_90
ENSCAFT00000027787_90_90;1.0;0.741;0.614;0.439;0.595;0.554;0.581;0.432;0.0;0.53;0.532;0.0;0.0;0.0;0.532;0.542;0.534
ENSCAFT00000048830_90_90;0.741;1.0;0.524;0.542;0.737;0.685;0.721;0.546;0.0;0.532;0.534;0.0;0.0;0.0;0.534;0.546;0.536
ENST00000368686_90_90;0.614;0.524;1.0;0.393;0.371;0.343;0.393;0.232;0.0;0.326;0.378;0.0;0.0;0.0;0.378;0.566;0.45
ENST00000368687_90_90;0.439;0.542;0.393;1.0;0.815;0.843;0.714;0.353;0.363;0.573;0.505;0.283;0.283;0.363;0.505;0.251;0.32
ENST00000368690_90_90;0.595;0.737;0.371;0.815;1.0;0.965;0.839;0.486;0.321;0.637;0.57;0.252;0.252;0.321;0.57;0.321;0.391
ENST00000368694_90_90;0.554;0.685;0.343;0.843;0.965;1.0;0.872;0.51;0.357;0.565;0.496;0.276;0.276;0.357;0.496;0.248;0.319
ENST00000403433_90_90;0.581;0.721;0.393;0.714;0.839;0.872;1.0;0.573;0.371;0.583;0.516;0.29;0.29;0.371;0.516;0.253;0.322
ENST00000614256_90_90;0.432;0.546;0.232;0.353;0.486;0.51;0.573;1.0;0.206;0.32;0.246;0.101;0.101;0.206;0.246;0.212;0.291
ENSMUST00000001043_90_90;0.0;0.0;0.0;0.363;0.321;0.357;0.371;0.206;1.0;0.774;0.532;0.667;0.716;1.0;0.564;0.286;0.452
ENSMUST00000049937_90_90;0.53;0.532;0.326;0.573;0.637;0.565;0.583;0.32;0.774;1.0;0.758;0.532;0.564;0.774;0.79;0.513;0.663
ENSMUST00000076639_90_90;0.532;0.534;0.378;0.505;0.57;0.496;0.516;0.246;0.532;0.758;1.0;0.688;0.667;0.532;0.959;0.609;0.52
ENSMUST00000107342_90_90;0.0;0.0;0.0;0.283;0.252;0.276;0.29;0.101;0.667;0.532;0.688;1.0;0.925;0.667;0.667;0.318;0.296
ENSMUST00000107343_90_90;0.0;0.0;0.0;0.283;0.252;0.276;0.29;0.101;0.716;0.564;0.667;0.925;1.0;0.716;0.708;0.358;0.328
ENSMUST00000107344_90_90;0.0;0.0;0.0;0.363;0.321;0.357;0.371;0.206;1.0;0.774;0.532;0.667;0.716;1.0;0.564;0.286;0.452
ENSMUST00000107346_90_90;0.532;0.534;0.378;0.505;0.57;0.496;0.516;0.246;0.564;0.79;0.959;0.667;0.708;0.564;1.0;0.65;0.551
ENSMUST00000131868_90_90;0.542;0.546;0.566;0.251;0.321;0.248;0.253;0.212;0.286;0.513;0.609;0.318;0.358;0.286;0.65;1.0;0.638
ENSMUST00000146740_90_90;0.534;0.536;0.45;0.32;0.391;0.319;0.322;0.291;0.452;0.663;0.52;0.296;0.328;0.452;0.551;0.638;1.0
