;transcript7_ENSMSIG00000000513;transcript7_ENSMUSG00000054036;transcript26_ENSMSIG00000000513;transcript26_MGP-PahariEiJ-G0020237;transcript41_ENSMSIG00000000513;transcript41_MGP-SPRETEiJ-G0021131;transcript43_ENSMSIG00000000513;transcript43_MGP-CAROLIEiJ-G0020234;transcript46_ENSMSIG00000000513;transcript47_ENSMSIG00000000513;transcript48_ENSMSIG00000000513;transcript49_ENSMSIG00000000513;transcript22_MGP-SPRETEiJ-G0021131;transcript22_MGP-CAROLIEiJ-G0020234;transcript36_ENSMUSG00000054036;transcript8_MGP-CAROLIEiJ-G0020234;transcript32_MGP-CAROLIEiJ-G0020234;transcript32_ENSRNOG00000031503;transcript32_ENSMUGG00000013592;transcript33_MGP-CAROLIEiJ-G0020234;transcript33_ENSRNOG00000031503;transcript33_ENSMUGG00000013592;transcript42_MGP-CAROLIEiJ-G0020234;transcript9_ENSRNOG00000031503;transcript18_ENSRNOG00000031503;transcript18_ENSMUGG00000013592;transcript19_ENSRNOG00000031503;transcript21_ENSRNOG00000031503;transcript23_ENSRNOG00000031503;transcript34_ENSMUGG00000013592;transcript35_ENSMUGG00000013592
transcript7_ENSMSIG00000000513;1.0;0.658;0.445;0.439;0.907;0.809;0.907;0.514;0.594;0.445;0.594;0.448;0.407;0.404;0.412;0.394;0.325;0.413;0.309;0.353;0.356;0.336;0.325;0.431;0.285;0.284;0.339;0.393;0.393;0.288;0.288
transcript7_ENSMUSG00000054036;0.658;1.0;0.368;0.363;0.666;0.736;0.666;0.491;0.456;0.368;0.456;0.371;0.402;0.398;0.412;0.397;0.377;0.359;0.367;0.35;0.34;0.339;0.377;0.387;0.281;0.281;0.334;0.388;0.388;0.285;0.285
transcript26_ENSMSIG00000000513;0.445;0.368;1.0;0.991;0.49;0.43;0.49;0.404;0.748;1.0;0.748;0.993;0.648;0.649;0.656;0.644;0.555;0.67;0.539;0.541;0.602;0.525;0.555;0.696;0.659;0.644;0.782;0.643;0.643;0.648;0.648
transcript26_MGP-PahariEiJ-G0020237;0.439;0.363;0.991;1.0;0.485;0.425;0.485;0.396;0.743;0.991;0.743;0.985;0.642;0.642;0.649;0.637;0.548;0.662;0.532;0.534;0.594;0.518;0.548;0.689;0.653;0.639;0.775;0.636;0.636;0.643;0.643
transcript41_ENSMSIG00000000513;0.907;0.666;0.49;0.485;1.0;0.843;1.0;0.493;0.655;0.49;0.655;0.493;0.449;0.446;0.454;0.437;0.332;0.441;0.315;0.348;0.36;0.33;0.332;0.478;0.316;0.314;0.375;0.435;0.435;0.318;0.318
transcript41_MGP-SPRETEiJ-G0021131;0.809;0.736;0.43;0.425;0.843;1.0;0.843;0.467;0.567;0.43;0.567;0.433;0.45;0.444;0.452;0.435;0.319;0.379;0.302;0.346;0.302;0.328;0.319;0.429;0.314;0.312;0.373;0.433;0.433;0.316;0.316
transcript43_ENSMSIG00000000513;0.907;0.666;0.49;0.485;1.0;0.843;1.0;0.493;0.655;0.49;0.655;0.493;0.449;0.446;0.454;0.437;0.332;0.441;0.315;0.348;0.36;0.33;0.332;0.478;0.316;0.314;0.375;0.435;0.435;0.318;0.318
transcript43_MGP-CAROLIEiJ-G0020234;0.514;0.491;0.404;0.396;0.493;0.467;0.493;1.0;0.38;0.404;0.38;0.407;0.438;0.447;0.446;0.462;0.524;0.474;0.502;0.577;0.514;0.552;0.524;0.436;0.3;0.308;0.356;0.412;0.412;0.312;0.312
transcript46_ENSMSIG00000000513;0.594;0.456;0.748;0.743;0.655;0.567;0.655;0.38;1.0;0.748;1.0;0.742;0.454;0.452;0.458;0.444;0.354;0.448;0.339;0.369;0.38;0.353;0.354;0.479;0.49;0.481;0.582;0.443;0.443;0.485;0.485
transcript47_ENSMSIG00000000513;0.445;0.368;1.0;0.991;0.49;0.43;0.49;0.404;0.748;1.0;0.748;0.993;0.648;0.649;0.656;0.644;0.555;0.67;0.539;0.541;0.602;0.525;0.555;0.696;0.659;0.644;0.782;0.643;0.643;0.648;0.648
