;ENSCAFT00000029427_90_90;ENST00000361219_90_90;ENST00000370990_90_90;ENST00000370994_90_90;ENST00000370995_90_90;ENSMUST00000042990_90_90;ENSMUST00000203077_90_90;ENSMUST00000203233_90_90;ENSMUST00000203436_90_90;ENSMUST00000204034_90_90;ENSMUST00000204135_90_90;ENSMUST00000204293_90_90;ENSMUST00000204294_90_90;ENSMUST00000205091_90_90;ENSMUST00000205106_90_90
ENSCAFT00000029427_90_90;1.0;0.765;0.882;0.706;0.941;0.882;0.812;0.312;0.824;0.5;0.125;0.75;0.375;0.25;0.625
ENST00000361219_90_90;0.765;1.0;0.765;0.929;0.824;0.765;0.929;0.357;0.706;0.389;0.143;0.857;0.429;0.286;0.714
ENST00000370990_90_90;0.882;0.765;1.0;0.812;0.941;0.778;0.706;0.312;0.824;0.5;0.125;0.75;0.375;0.25;0.625
ENST00000370994_90_90;0.706;0.929;0.812;1.0;0.765;0.706;0.857;0.385;0.75;0.412;0.154;0.923;0.462;0.308;0.769
ENST00000370995_90_90;0.941;0.824;0.941;0.765;1.0;0.833;0.765;0.294;0.778;0.474;0.118;0.706;0.353;0.235;0.588
ENSMUST00000042990_90_90;0.882;0.765;0.778;0.706;0.833;1.0;0.812;0.312;0.938;0.5;0.125;0.75;0.375;0.25;0.625
ENSMUST00000203077_90_90;0.812;0.929;0.706;0.857;0.765;0.812;1.0;0.385;0.75;0.412;0.154;0.923;0.462;0.308;0.769
ENSMUST00000203233_90_90;0.312;0.357;0.312;0.385;0.294;0.312;0.385;1.0;0.333;0.231;0.4;0.417;0.571;0.5;0.5
ENSMUST00000203436_90_90;0.824;0.706;0.824;0.75;0.778;0.938;0.75;0.333;1.0;0.529;0.133;0.8;0.4;0.267;0.667
ENSMUST00000204034_90_90;0.5;0.389;0.5;0.412;0.474;0.5;0.412;0.231;0.529;1.0;0.083;0.438;0.308;0.25;0.312
ENSMUST00000204135_90_90;0.125;0.143;0.125;0.154;0.118;0.125;0.154;0.4;0.133;0.083;1.0;0.167;0.143;0.2;0.2
ENSMUST00000204293_90_90;0.75;0.857;0.75;0.923;0.706;0.75;0.923;0.417;0.8;0.438;0.167;1.0;0.5;0.333;0.833
ENSMUST00000204294_90_90;0.375;0.429;0.375;0.462;0.353;0.375;0.462;0.571;0.4;0.308;0.143;0.5;1.0;0.429;0.6
ENSMUST00000205091_90_90;0.25;0.286;0.25;0.308;0.235;0.25;0.308;0.5;0.267;0.25;0.2;0.333;0.429;1.0;0.273
ENSMUST00000205106_90_90;0.625;0.714;0.625;0.769;0.588;0.625;0.769;0.5;0.667;0.312;0.2;0.833;0.6;0.273;1.0
