;ENSCAFT00000018602_90_90;ENST00000248933_90_90;ENST00000343706_90_90;ENST00000360929_90_90;ENST00000402979_90_90;ENST00000403121_90_90;ENST00000404234_90_90;ENST00000529632_90_90;ENST00000629590_90_90;ENSMUST00000075387_90_90;ENSMUST00000079491_90_90;ENSMUST00000197425_90_90;ENSMUST00000200575_90_90;ENSMUST00000212480_90_90;ENSMUST00000212758_90_90
ENSCAFT00000018602_90_90;1.0;0.949;0.875;0.876;0.792;0.717;0.948;0.936;0.938;0.988;0.989;0.921;0.748;0.99;0.91
ENST00000248933_90_90;0.949;1.0;0.926;0.927;0.777;0.703;0.999;0.987;0.989;0.94;0.941;0.874;0.744;0.942;0.864
ENST00000343706_90_90;0.875;0.926;1.0;0.873;0.703;0.759;0.925;0.934;0.936;0.863;0.864;0.924;0.665;0.865;0.936
ENST00000360929_90_90;0.876;0.927;0.873;1.0;0.704;0.648;0.926;0.935;0.937;0.864;0.865;0.798;0.785;0.866;0.808
ENST00000402979_90_90;0.792;0.777;0.703;0.704;1.0;0.905;0.778;0.766;0.767;0.825;0.826;0.757;0.9;0.825;0.747
ENST00000403121_90_90;0.717;0.703;0.759;0.648;0.905;1.0;0.704;0.71;0.711;0.746;0.747;0.8;0.804;0.746;0.811
ENST00000404234_90_90;0.948;0.999;0.925;0.926;0.778;0.704;1.0;0.988;0.988;0.941;0.942;0.875;0.745;0.941;0.865
ENST00000529632_90_90;0.936;0.987;0.934;0.935;0.766;0.71;0.988;1.0;0.998;0.931;0.93;0.865;0.732;0.929;0.874
ENST00000629590_90_90;0.938;0.989;0.936;0.937;0.767;0.711;0.988;0.998;1.0;0.929;0.93;0.863;0.732;0.931;0.874
ENSMUST00000075387_90_90;0.988;0.94;0.863;0.864;0.825;0.746;0.941;0.931;0.929;1.0;0.999;0.932;0.74;0.998;0.92
ENSMUST00000079491_90_90;0.989;0.941;0.864;0.865;0.826;0.747;0.942;0.93;0.93;0.999;1.0;0.931;0.741;0.999;0.921
ENSMUST00000197425_90_90;0.921;0.874;0.924;0.798;0.757;0.8;0.875;0.865;0.863;0.932;0.931;1.0;0.673;0.93;0.987
ENSMUST00000200575_90_90;0.748;0.744;0.665;0.785;0.9;0.804;0.745;0.732;0.732;0.74;0.741;0.673;1.0;0.74;0.662
ENSMUST00000212480_90_90;0.99;0.942;0.865;0.866;0.825;0.746;0.941;0.929;0.931;0.998;0.999;0.93;0.74;1.0;0.92
ENSMUST00000212758_90_90;0.91;0.864;0.936;0.808;0.747;0.811;0.865;0.874;0.874;0.92;0.921;0.987;0.662;0.92;1.0
