;transcript7_ENSMPUG00000020072;transcript7_ENSMLUG00000027828;transcript7_ENSSTOG00000019743;transcript7_ENSCCNG00000000226;transcript25_ENSMPUG00000020072;transcript25_ENSMLUG00000027828;transcript28_ENSMPUG00000020072;transcript12_ENSECAG00000007947;transcript12_ENSMLUG00000027828;transcript23_ENSECAG00000007947;transcript31_ENSECAG00000007947;transcript32_ENSECAG00000007947;transcript33_ENSECAG00000007947;transcript15_ENSMLUG00000027828;transcript16_ENSMLUG00000027828;transcript26_ENSMLUG00000027828;transcript27_ENSMLUG00000027828
transcript7_ENSMPUG00000020072;1.0;0.917;1.0;1.0;0.074;0.079;0.061;0.074;0.064;0.074;0.074;0.074;0.074;0.065;0.082;0.082;0.093
transcript7_ENSMLUG00000027828;0.917;1.0;0.917;0.933;0.073;0.071;0.061;0.07;0.056;0.07;0.07;0.072;0.07;0.057;0.071;0.073;0.08
transcript7_ENSSTOG00000019743;1.0;0.917;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
transcript7_ENSCCNG00000000226;1.0;0.933;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
transcript25_ENSMPUG00000020072;0.074;0.073;1.0;1.0;1.0;1.0;0.761;0.793;0.803;0.793;0.793;0.793;0.793;0.782;0.974;0.974;0.854
transcript25_ENSMLUG00000027828;0.079;0.071;1.0;1.0;1.0;1.0;0.766;0.781;0.784;0.781;0.781;0.805;0.789;0.764;0.941;0.974;0.833
transcript28_ENSMPUG00000020072;0.061;0.061;1.0;1.0;0.761;0.766;1.0;0.961;0.963;0.961;0.961;0.961;0.961;0.941;0.745;0.745;0.649
transcript12_ENSECAG00000007947;0.074;0.07;1.0;1.0;0.793;0.781;0.961;1.0;1.0;1.0;1.0;0.963;0.989;0.98;0.791;0.761;0.706
transcript12_ENSMLUG00000027828;0.064;0.056;1.0;1.0;0.803;0.784;0.963;1.0;1.0;1.0;1.0;0.97;0.99;0.98;0.792;0.764;0.704
transcript23_ENSECAG00000007947;0.074;0.07;1.0;1.0;0.793;0.781;0.961;1.0;1.0;1.0;1.0;0.963;0.989;0.98;0.791;0.761;0.706
transcript31_ENSECAG00000007947;0.074;0.07;1.0;1.0;0.793;0.781;0.961;1.0;1.0;1.0;1.0;0.963;0.989;0.98;0.791;0.761;0.706
transcript32_ENSECAG00000007947;0.074;0.072;1.0;1.0;0.793;0.805;0.961;0.963;0.97;0.963;0.963;1.0;0.974;0.95;0.761;0.785;0.677
transcript33_ENSECAG00000007947;0.074;0.07;1.0;1.0;0.793;0.789;0.961;0.989;0.99;0.989;0.989;0.974;1.0;0.97;0.781;0.769;0.697
transcript15_ENSMLUG00000027828;0.065;0.057;1.0;1.0;0.782;0.764;0.941;0.98;0.98;0.98;0.98;0.95;0.97;1.0;0.808;0.78;0.718
transcript16_ENSMLUG00000027828;0.082;0.071;1.0;1.0;0.974;0.941;0.745;0.791;0.792;0.791;0.791;0.761;0.781;0.808;1.0;0.965;0.889
transcript26_ENSMLUG00000027828;0.082;0.073;1.0;1.0;0.974;0.974;0.745;0.761;0.764;0.761;0.761;0.785;0.769;0.78;0.965;1.0;0.854
transcript27_ENSMLUG00000027828;0.093;0.08;1.0;1.0;0.854;0.833;0.649;0.706;0.704;0.706;0.706;0.677;0.697;0.718;0.889;0.854;1.0
