;ENSCAFT00000013778_90_90;ENST00000320672_90_90;ENST00000504985_90_90;ENST00000505980_90_90;ENST00000509013_90_90;ENST00000509053_90_90;ENST00000512923_90_90;ENST00000514493_90_90;ENST00000515395_90_90;ENST00000615665_90_90;ENSMUST00000004094_90_90;ENSMUST00000042122_90_90;ENSMUST00000138488_90_90
ENSCAFT00000013778_90_90;1.0;0.998;0.722;0.943;0.508;0.824;0.701;0.915;0.895;0.977;0.798;0.723;0.018
ENST00000320672_90_90;0.998;1.0;0.724;0.945;0.508;0.825;0.7;0.917;0.897;0.978;0.796;0.721;0.018
ENST00000504985_90_90;0.722;0.724;1.0;0.669;0.325;0.553;0.914;0.642;0.664;0.745;0.722;0.641;0.0
ENST00000505980_90_90;0.943;0.945;0.669;1.0;0.455;0.77;0.646;0.861;0.843;0.924;0.746;0.672;0.019
ENST00000509013_90_90;0.508;0.508;0.325;0.455;1.0;0.47;0.335;0.429;0.42;0.498;0.417;0.342;0.0
ENST00000509053_90_90;0.824;0.825;0.553;0.77;0.47;1.0;0.529;0.9;0.879;0.808;0.639;0.691;0.022
ENST00000512923_90_90;0.701;0.7;0.914;0.646;0.335;0.529;1.0;0.618;0.605;0.685;0.701;0.62;0.0
ENST00000514493_90_90;0.915;0.917;0.642;0.861;0.429;0.9;0.618;1.0;0.976;0.897;0.721;0.78;0.02
ENST00000515395_90_90;0.895;0.897;0.664;0.843;0.42;0.879;0.605;0.976;1.0;0.919;0.707;0.763;0.019
ENST00000615665_90_90;0.977;0.978;0.745;0.924;0.498;0.808;0.685;0.897;0.919;1.0;0.78;0.707;0.018
ENSMUST00000004094_90_90;0.798;0.796;0.722;0.746;0.417;0.639;0.701;0.721;0.707;0.78;1.0;0.917;0.123
ENSMUST00000042122_90_90;0.723;0.721;0.641;0.672;0.342;0.691;0.62;0.78;0.763;0.707;0.917;1.0;0.134
ENSMUST00000138488_90_90;0.018;0.018;0.0;0.019;0.0;0.022;0.0;0.02;0.019;0.018;0.123;0.134;1.0
