;ENSCAFT00000022782_90_90;ENSCAFT00000047054_90_90;ENST00000265459_90_90;ENST00000301894_90_90;ENST00000377551_90_90;ENST00000377559_90_90;ENST00000409571_90_90;ENST00000417749_90_90;ENST00000423049_90_90;ENST00000437746_90_90;ENST00000442300_90_90;ENSMUST00000077182_90_90;ENSMUST00000113458_90_90;ENSMUST00000113459_90_90;ENSMUST00000113461_90_90;ENSMUST00000113462_90_90;ENSMUST00000137166_90_90;ENSMUST00000137821_90_90;ENSMUST00000155158_90_90
ENSCAFT00000022782_90_90;1.0;0.869;0.956;0.338;0.956;0.877;0.956;0.177;0.109;0.188;0.219;0.877;0.323;0.14;0.894;0.975;0.975;0.238;0.203
ENSCAFT00000047054_90_90;0.869;1.0;0.862;0.213;0.862;0.783;0.862;0.227;0.121;0.208;0.274;0.999;0.217;0.152;0.82;0.901;0.901;0.254;0.251
ENST00000265459_90_90;0.956;0.862;1.0;0.289;1.0;0.905;0.98;0.208;0.1;0.192;0.201;0.844;0.285;0.124;0.883;0.96;0.981;0.198;0.195
ENST00000301894_90_90;0.338;0.213;0.289;1.0;0.289;0.28;0.294;0.0;0.332;0.0;0.0;0.201;1.0;0.555;0.271;0.286;0.281;0.0;0.0
ENST00000377551_90_90;0.956;0.862;1.0;0.289;1.0;0.905;0.98;0.208;0.1;0.192;0.201;0.844;0.285;0.124;0.883;0.96;0.981;0.198;0.195
ENST00000377559_90_90;0.877;0.783;0.905;0.28;0.905;1.0;0.924;0.2;0.109;0.182;0.191;0.782;0.275;0.136;0.978;0.901;0.883;0.188;0.185
ENST00000409571_90_90;0.956;0.862;0.98;0.294;0.98;0.924;1.0;0.214;0.102;0.198;0.206;0.861;0.29;0.127;0.901;0.98;0.96;0.203;0.201
ENST00000417749_90_90;0.177;0.227;0.208;0.0;0.208;0.2;0.214;1.0;0.0;0.693;0.613;0.228;0.0;0.0;0.185;0.201;0.195;0.605;0.936
ENST00000423049_90_90;0.109;0.121;0.1;0.332;0.1;0.109;0.102;0.0;1.0;0.0;0.0;0.116;0.359;0.659;0.111;0.103;0.102;0.0;0.0
ENST00000437746_90_90;0.188;0.208;0.192;0.0;0.192;0.182;0.198;0.693;0.0;1.0;0.422;0.208;0.0;0.0;0.166;0.182;0.178;0.869;0.635
ENST00000442300_90_90;0.219;0.274;0.201;0.0;0.201;0.191;0.206;0.613;0.0;0.422;1.0;0.275;0.0;0.0;0.228;0.242;0.235;0.495;0.748
ENSMUST00000077182_90_90;0.877;0.999;0.844;0.201;0.844;0.782;0.861;0.228;0.116;0.208;0.275;1.0;0.201;0.137;0.803;0.881;0.863;0.254;0.251
ENSMUST00000113458_90_90;0.323;0.217;0.285;1.0;0.285;0.275;0.29;0.0;0.359;0.0;0.0;0.201;1.0;0.522;0.271;0.286;0.281;0.0;0.0
ENSMUST00000113459_90_90;0.14;0.152;0.124;0.555;0.124;0.136;0.127;0.0;0.659;0.0;0.0;0.137;0.522;1.0;0.13;0.121;0.12;0.0;0.0
ENSMUST00000113461_90_90;0.894;0.82;0.883;0.271;0.883;0.978;0.901;0.185;0.111;0.166;0.228;0.803;0.271;0.13;1.0;0.921;0.902;0.209;0.206
ENSMUST00000113462_90_90;0.975;0.901;0.96;0.286;0.96;0.901;0.98;0.201;0.103;0.182;0.242;0.881;0.286;0.121;0.921;1.0;0.979;0.224;0.221
ENSMUST00000137166_90_90;0.975;0.901;0.981;0.281;0.981;0.883;0.96;0.195;0.102;0.178;0.235;0.863;0.281;0.12;0.902;0.979;1.0;0.217;0.214
ENSMUST00000137821_90_90;0.238;0.254;0.198;0.0;0.198;0.188;0.203;0.605;0.0;0.869;0.495;0.254;0.0;0.0;0.209;0.224;0.217;1.0;0.656
ENSMUST00000155158_90_90;0.203;0.251;0.195;0.0;0.195;0.185;0.201;0.936;0.0;0.635;0.748;0.251;0.0;0.0;0.206;0.221;0.214;0.656;1.0
