;ENSCAFT00000023420_90_90;ENST00000319770_90_90;ENST00000355772_90_90;ENST00000361959_90_90;ENST00000396801_90_90;ENST00000417772_90_90;ENST00000436774_90_90;ENST00000535485_90_90;ENST00000538829_90_90;ENST00000540915_90_90;ENST00000542351_90_90;ENST00000544482_90_90;ENST00000545946_90_90;ENSMUST00000046064_90_90;ENSMUST00000054553_90_90;ENSMUST00000084275_90_90;ENSMUST00000088308_90_90;ENSMUST00000112424_90_90;ENSMUST00000112425_90_90;ENSMUST00000112427_90_90;ENSMUST00000112428_90_90;ENSMUST00000152752_90_90
ENSCAFT00000023420_90_90;1.0;0.892;0.797;0.998;0.998;0.603;0.481;0.292;0.22;0.354;0.206;0.203;0.271;0.894;0.798;0.999;0.999;0.972;0.893;0.999;0.894;0.218
ENST00000319770_90_90;0.892;1.0;0.893;0.894;0.894;0.515;0.537;0.326;0.246;0.395;0.227;0.226;0.307;0.942;0.895;0.893;0.893;0.865;0.999;0.893;0.942;0.243
ENST00000355772_90_90;0.797;0.893;1.0;0.799;0.799;0.421;0.476;0.258;0.208;0.289;0.212;0.213;0.343;0.843;1.0;0.799;0.799;0.822;0.893;0.799;0.843;0.253
ENST00000361959_90_90;0.998;0.894;0.799;1.0;1.0;0.57;0.48;0.291;0.22;0.354;0.203;0.202;0.274;0.848;0.8;0.999;0.999;0.971;0.893;0.999;0.848;0.217
ENST00000396801_90_90;0.998;0.894;0.799;1.0;1.0;0.57;0.48;0.291;0.22;0.354;0.203;0.202;0.274;0.848;0.8;0.999;0.999;0.971;0.893;0.999;0.848;0.217
ENST00000417772_90_90;0.603;0.515;0.421;0.57;0.57;1.0;0.733;0.445;0.336;0.54;0.31;0.309;0.0;0.566;0.422;0.569;0.569;0.543;0.514;0.569;0.566;0.332
ENST00000436774_90_90;0.481;0.537;0.476;0.48;0.48;0.733;1.0;0.606;0.379;0.642;0.345;0.347;0.0;0.505;0.477;0.479;0.479;0.493;0.536;0.479;0.505;0.454
ENST00000535485_90_90;0.292;0.326;0.258;0.291;0.291;0.445;0.606;1.0;0.603;0.824;0.549;0.553;0.0;0.306;0.258;0.29;0.29;0.298;0.324;0.29;0.306;0.749
ENST00000538829_90_90;0.22;0.246;0.208;0.22;0.22;0.336;0.379;0.603;1.0;0.623;0.919;0.919;0.0;0.231;0.209;0.219;0.219;0.191;0.245;0.219;0.231;0.674
ENST00000540915_90_90;0.354;0.395;0.289;0.354;0.354;0.54;0.642;0.824;0.623;1.0;0.573;0.572;0.0;0.372;0.289;0.352;0.352;0.325;0.394;0.352;0.372;0.616
ENST00000542351_90_90;0.206;0.227;0.212;0.203;0.203;0.31;0.345;0.549;0.919;0.573;1.0;0.989;0.0;0.216;0.212;0.205;0.205;0.177;0.229;0.205;0.216;0.714
ENST00000544482_90_90;0.203;0.226;0.213;0.202;0.202;0.309;0.347;0.553;0.919;0.572;0.989;1.0;0.0;0.213;0.213;0.202;0.202;0.176;0.226;0.202;0.213;0.72
ENST00000545946_90_90;0.271;0.307;0.343;0.274;0.274;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.289;0.343;0.274;0.274;0.282;0.307;0.274;0.289;0.0
ENSMUST00000046064_90_90;0.894;0.942;0.843;0.848;0.848;0.566;0.505;0.306;0.231;0.372;0.216;0.213;0.289;1.0;0.845;0.85;0.85;0.824;0.944;0.85;1.0;0.226
ENSMUST00000054553_90_90;0.798;0.895;1.0;0.8;0.8;0.422;0.477;0.258;0.209;0.289;0.212;0.213;0.343;0.845;1.0;0.801;0.801;0.824;0.895;0.801;0.845;0.249
ENSMUST00000084275_90_90;0.999;0.893;0.799;0.999;0.999;0.569;0.479;0.29;0.219;0.352;0.205;0.202;0.274;0.85;0.801;1.0;1.0;0.973;0.896;1.0;0.85;0.215
ENSMUST00000088308_90_90;0.999;0.893;0.799;0.999;0.999;0.569;0.479;0.29;0.219;0.352;0.205;0.202;0.274;0.85;0.801;1.0;1.0;0.973;0.896;1.0;0.85;0.215
ENSMUST00000112424_90_90;0.972;0.865;0.822;0.971;0.971;0.543;0.493;0.298;0.191;0.325;0.177;0.176;0.282;0.824;0.824;0.973;0.973;1.0;0.868;0.973;0.824;0.221
ENSMUST00000112425_90_90;0.893;0.999;0.893;0.893;0.893;0.514;0.536;0.324;0.245;0.394;0.229;0.226;0.307;0.944;0.895;0.896;0.896;0.868;1.0;0.896;0.944;0.24
ENSMUST00000112427_90_90;0.999;0.893;0.799;0.999;0.999;0.569;0.479;0.29;0.219;0.352;0.205;0.202;0.274;0.85;0.801;1.0;1.0;0.973;0.896;1.0;0.85;0.215
ENSMUST00000112428_90_90;0.894;0.942;0.843;0.848;0.848;0.566;0.505;0.306;0.231;0.372;0.216;0.213;0.289;1.0;0.845;0.85;0.85;0.824;0.944;0.85;1.0;0.226
ENSMUST00000152752_90_90;0.218;0.243;0.253;0.217;0.217;0.332;0.454;0.749;0.674;0.616;0.714;0.72;0.0;0.226;0.249;0.215;0.215;0.221;0.24;0.215;0.226;1.0
