;ENSCAFT00000015963_90_90;ENST00000285737_90_90;ENST00000416006_90_90;ENST00000535754_90_90;ENST00000565867_90_90;ENST00000566755_90_90;ENST00000570174_90_90;ENSMUST00000034141_90_90;ENSMUST00000121673_90_90;ENSMUST00000122188_90_90;ENSMUST00000155433_90_90;ENSMUST00000163987_90_90
ENSCAFT00000015963_90_90;;0.679;0.51;0.641;0.203;0.238;0.196;0.472;0.168;0.369;0.594;0.168
ENST00000285737_90_90;0.679;;;;;;;0.423;0.15;0.331;0.494;0.15
ENST00000416006_90_90;0.51;;;;;;;0.685;0.306;0.584;0.715;0.306
ENST00000535754_90_90;0.641;;;;;;;0.386;0.156;0.319;0.452;0.156
ENST00000565867_90_90;0.203;;;;;;;0.018;0.025;0.019;0.028;0.025
ENST00000566755_90_90;0.238;;;;;;;0.332;0.0;0.21;0.347;0.0
ENST00000570174_90_90;0.196;;;;;;;0.293;0.116;0.286;0.279;0.116
ENSMUST00000034141_90_90;0.472;0.423;0.685;0.386;0.018;0.332;0.293;;;;;
ENSMUST00000121673_90_90;0.168;0.15;0.306;0.156;0.025;0.0;0.116;;;;;
ENSMUST00000122188_90_90;0.369;0.331;0.584;0.319;0.019;0.21;0.286;;;;;
ENSMUST00000155433_90_90;0.594;0.494;0.715;0.452;0.028;0.347;0.279;;;;;
ENSMUST00000163987_90_90;0.168;0.15;0.306;0.156;0.025;0.0;0.116;;;;;
