;ENSCAFT00000031997_90_90;ENSCAFT00000046265_90_90;ENST00000223836_90_90;ENST00000373156_90_90;ENST00000373176_90_90;ENST00000413016_90_90;ENST00000550143_90_90;ENST00000550992_90_90;ENSMUST00000068271_90_90;ENSMUST00000113277_90_90;ENSMUST00000113278_90_90;ENSMUST00000156578_90_90;ENSMUST00000195721_90_90
ENSCAFT00000031997_90_90;1.0;0.733;0.857;0.733;0.733;0.538;0.385;0.0;1.0;0.786;0.786;0.429;0.429
ENSCAFT00000046265_90_90;0.733;1.0;0.733;0.857;0.857;0.538;0.385;0.067;0.733;0.786;0.786;0.429;0.429
ENST00000223836_90_90;0.857;0.733;1.0;0.733;0.733;0.538;0.385;0.0;0.857;0.786;0.786;0.429;0.429
ENST00000373156_90_90;0.733;0.857;0.733;1.0;1.0;0.538;0.385;0.143;0.733;0.786;0.786;0.429;0.429
ENST00000373176_90_90;0.733;0.857;0.733;1.0;1.0;0.538;0.385;0.143;0.733;0.786;0.786;0.429;0.429
ENST00000413016_90_90;0.538;0.538;0.538;0.538;0.538;1.0;0.5;0.0;0.538;0.583;0.583;0.167;0.273
ENST00000550143_90_90;0.385;0.385;0.385;0.385;0.385;0.5;1.0;0.0;0.385;0.417;0.417;0.2;0.333
ENST00000550992_90_90;0.0;0.067;0.0;0.143;0.143;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
ENSMUST00000068271_90_90;1.0;0.733;0.857;0.733;0.733;0.538;0.385;0.0;1.0;0.786;0.786;0.429;0.429
ENSMUST00000113277_90_90;0.786;0.786;0.786;0.786;0.786;0.583;0.417;0.0;0.786;1.0;1.0;0.583;0.583
ENSMUST00000113278_90_90;0.786;0.786;0.786;0.786;0.786;0.583;0.417;0.0;0.786;1.0;1.0;0.583;0.583
ENSMUST00000156578_90_90;0.429;0.429;0.429;0.429;0.429;0.167;0.2;0.0;0.429;0.583;0.583;1.0;0.75
ENSMUST00000195721_90_90;0.429;0.429;0.429;0.429;0.429;0.273;0.333;0.0;0.429;0.583;0.583;0.75;1.0
