;transcript2_ENSHGLG00100006079;transcript8_ENSHGLG00100006079;transcript6_ENSPCIG00000036398;transcript7_ENSPCIG00000036398;transcript7_ENSMUNG00000007775;transcript16_ENSMUNG00000007775;transcript23_ENSMUNG00000007775;transcript16_ENSMUNG00000002377;transcript10_ENSMUNG00000002391;transcript2_ENSXMAG00000026005;transcript7_ENSXMAG00000026005;transcript8_ENSXMAG00000026005;transcript9_ENSXMAG00000026005;transcript10_ENSXMAG00000026005
transcript2_ENSHGLG00100006079;1.0;0.606;0.75;0.182;0.273;0.424;0.424;0.424;0.939;1.0;0.182;0.606;1.0;0.939
transcript8_ENSHGLG00100006079;0.606;1.0;0.429;0.13;0.16;0.172;0.172;0.172;0.594;0.606;0.13;0.905;0.606;0.594
transcript6_ENSPCIG00000036398;0.75;0.429;1.0;0.2;0.3;0.467;0.467;0.467;0.794;0.75;0.161;0.429;0.75;0.794
transcript7_ENSPCIG00000036398;0.182;0.13;0.2;1.0;0.364;0.429;0.429;0.429;0.194;0.182;0.2;0.13;0.182;0.194
transcript7_ENSMUNG00000007775;0.273;0.16;0.3;0.364;1.0;0.643;0.643;0.643;0.29;0.273;0.25;0.16;0.273;0.29
transcript16_ENSMUNG00000007775;0.424;0.172;0.467;0.429;0.643;1.0;1.0;1.0;0.452;0.424;0.176;0.214;0.424;0.452
transcript23_ENSMUNG00000007775;0.424;0.172;0.467;0.429;0.643;1.0;1.0;1.0;0.452;0.424;0.176;0.214;0.424;0.452
transcript16_ENSMUNG00000002377;0.424;0.172;0.467;0.429;0.643;1.0;1.0;1.0;0.452;0.424;0.176;0.214;0.424;0.452
transcript10_ENSMUNG00000002391;0.939;0.594;0.794;0.194;0.29;0.452;0.452;0.452;1.0;0.939;0.194;0.594;0.939;1.0
transcript2_ENSXMAG00000026005;1.0;0.606;0.75;0.182;0.273;0.424;0.424;0.424;0.939;1.0;0.182;0.606;1.0;0.939
transcript7_ENSXMAG00000026005;0.182;0.13;0.161;0.2;0.25;0.176;0.176;0.176;0.194;0.182;1.0;0.13;0.182;0.194
transcript8_ENSXMAG00000026005;0.606;0.905;0.429;0.13;0.16;0.214;0.214;0.214;0.594;0.606;0.13;1.0;0.606;0.594
transcript9_ENSXMAG00000026005;1.0;0.606;0.75;0.182;0.273;0.424;0.424;0.424;0.939;1.0;0.182;0.606;1.0;0.939
transcript10_ENSXMAG00000026005;0.939;0.594;0.794;0.194;0.29;0.452;0.452;0.452;1.0;0.939;0.194;0.594;0.939;1.0
