;ENSCAFT00000025578_90_90;ENSCAFT00000025580_90_90;ENST00000263846_90_90;ENST00000535826_90_90;ENST00000539008_90_90;ENST00000539246_90_90;ENST00000539468_90_90;ENST00000540677_90_90;ENST00000542670_90_90;ENST00000542836_90_90;ENST00000545053_90_90;ENSMUST00000073899_90_90;ENSMUST00000076968_90_90;ENSMUST00000169121_90_90;ENSMUST00000223586_90_90;ENSMUST00000224135_90_90;ENSMUST00000225452_90_90
ENSCAFT00000025578_90_90;1.0;0.353;0.143;0.224;0.306;0.15;0.15;0.204;0.245;0.163;0.158;0.143;0.245;0.224;0.163;0.204;0.35
ENSCAFT00000025580_90_90;0.353;1.0;0.375;0.458;0.542;0.1;0.1;0.438;0.479;0.396;0.103;0.375;0.479;0.458;0.396;0.438;0.233
ENST00000263846_90_90;0.143;0.375;1.0;0.905;0.826;0.075;0.075;0.927;0.884;0.974;0.105;1.0;0.884;0.905;0.974;0.927;0.068
ENST00000535826_90_90;0.224;0.458;0.905;1.0;0.913;0.093;0.093;0.976;0.848;0.929;0.095;0.905;0.848;0.826;0.929;0.844;0.159
ENST00000539008_90_90;0.306;0.542;0.826;0.913;1.0;0.085;0.085;0.891;0.935;0.848;0.087;0.826;0.935;0.913;0.848;0.891;0.17
ENST00000539246_90_90;0.15;0.1;0.075;0.093;0.085;1.0;1.0;0.07;0.091;0.1;0.5;0.075;0.091;0.068;0.1;0.07;0.4
ENST00000539468_90_90;0.15;0.1;0.075;0.093;0.085;1.0;1.0;0.07;0.091;0.1;0.5;0.075;0.091;0.068;0.1;0.07;0.4
ENST00000540677_90_90;0.204;0.438;0.927;0.976;0.891;0.07;0.07;1.0;0.826;0.905;0.098;0.927;0.826;0.844;0.905;0.864;0.136
ENST00000542670_90_90;0.245;0.479;0.884;0.848;0.935;0.091;0.091;0.826;1.0;0.907;0.093;0.884;1.0;0.977;0.907;0.953;0.106
ENST00000542836_90_90;0.163;0.396;0.974;0.929;0.848;0.1;0.1;0.905;0.907;1.0;0.103;0.974;0.907;0.884;1.0;0.905;0.091
ENST00000545053_90_90;0.158;0.103;0.105;0.095;0.087;0.5;0.5;0.098;0.093;0.103;1.0;0.105;0.093;0.095;0.103;0.098;0.3
ENSMUST00000073899_90_90;0.143;0.375;1.0;0.905;0.826;0.075;0.075;0.927;0.884;0.974;0.105;1.0;0.884;0.905;0.974;0.927;0.068
ENSMUST00000076968_90_90;0.245;0.479;0.884;0.848;0.935;0.091;0.091;0.826;1.0;0.907;0.093;0.884;1.0;0.977;0.907;0.953;0.106
ENSMUST00000169121_90_90;0.224;0.458;0.905;0.826;0.913;0.068;0.068;0.844;0.977;0.884;0.095;0.905;0.977;1.0;0.884;0.976;0.085
ENSMUST00000223586_90_90;0.163;0.396;0.974;0.929;0.848;0.1;0.1;0.905;0.907;1.0;0.103;0.974;0.907;0.884;1.0;0.905;0.091
ENSMUST00000224135_90_90;0.204;0.438;0.927;0.844;0.891;0.07;0.07;0.864;0.953;0.905;0.098;0.927;0.953;0.976;0.905;1.0;0.087
ENSMUST00000225452_90_90;0.35;0.233;0.068;0.159;0.17;0.4;0.4;0.136;0.106;0.091;0.3;0.068;0.106;0.085;0.091;0.087;1.0
