;ENSCAFT00000031843_90_90;ENST00000372554_90_90;ENST00000372559_90_90;ENST00000372564_90_90;ENST00000416230_90_90;ENST00000416629_90_90;ENST00000417224_90_90;ENST00000425236_90_90;ENST00000455407_90_90;ENSMUST00000028214_90_90;ENSMUST00000100215_90_90;ENSMUST00000113620_90_90;ENSMUST00000113621_90_90;ENSMUST00000163668_90_90
ENSCAFT00000031843_90_90;1.0;0.066;0.073;0.073;0.0;0.078;0.069;0.0;0.0;0.066;0.062;0.069;0.059;0.066
ENST00000372554_90_90;0.066;1.0;0.926;0.926;0.204;0.869;0.964;0.072;0.092;0.711;0.74;0.662;0.769;0.692
ENST00000372559_90_90;0.073;0.926;1.0;1.0;0.215;0.938;0.961;0.075;0.102;0.748;0.728;0.697;0.711;0.678
ENST00000372564_90_90;0.073;0.926;1.0;1.0;0.215;0.938;0.961;0.075;0.102;0.748;0.728;0.697;0.711;0.678
ENST00000416230_90_90;0.0;0.204;0.215;0.215;1.0;0.226;0.209;0.486;0.137;0.313;0.303;0.331;0.293;0.319
ENST00000416629_90_90;0.078;0.869;0.938;0.938;0.226;1.0;0.901;0.08;0.109;0.697;0.678;0.735;0.662;0.714
ENST00000417224_90_90;0.069;0.964;0.961;0.961;0.209;0.901;1.0;0.073;0.097;0.728;0.759;0.678;0.74;0.709
ENST00000425236_90_90;0.0;0.072;0.075;0.075;0.486;0.08;0.073;1.0;0.0;0.136;0.131;0.143;0.127;0.138
ENST00000455407_90_90;0.0;0.092;0.102;0.102;0.137;0.109;0.097;0.0;1.0;0.056;0.054;0.059;0.052;0.057
ENSMUST00000028214_90_90;0.066;0.711;0.748;0.748;0.313;0.697;0.728;0.136;0.056;1.0;0.964;0.942;0.933;0.909
ENSMUST00000100215_90_90;0.062;0.74;0.728;0.728;0.303;0.678;0.759;0.131;0.054;0.964;1.0;0.909;0.967;0.944
ENSMUST00000113620_90_90;0.069;0.662;0.697;0.697;0.331;0.735;0.678;0.143;0.059;0.942;0.909;1.0;0.879;0.962
ENSMUST00000113621_90_90;0.059;0.769;0.711;0.711;0.293;0.662;0.74;0.127;0.052;0.933;0.967;0.879;1.0;0.913
ENSMUST00000163668_90_90;0.066;0.692;0.678;0.678;0.319;0.714;0.709;0.138;0.057;0.909;0.944;0.962;0.913;1.0
