;transcript9_ENSHGLG00100003156;transcript14_ENSHGLG00100003156;transcript20_ENSHGLG00100003156;transcript27_ENSHGLG00100003156;transcript32_ENSHGLG00100003156;transcript20_ENSHGLG00000019563;transcript26_ENSHGLG00000019563;transcript28_ENSHGLG00000019563;transcript40_ENSHGLG00000019563;transcript43_ENSHGLG00000019563;transcript8_ENSHGLG00100006079;transcript9_ENSHGLG00100006079;transcript22_ENSHGLG00100006079;transcript33_ENSHGLG00100006079
transcript9_ENSHGLG00100003156;1.0;0.878;1.0;0.909;0.834;1.0;0.979;1.0;0.979;0.992;0.963;1.0;1.0;1.0
transcript14_ENSHGLG00100003156;0.878;1.0;0.878;0.966;0.767;0.878;0.856;0.878;0.856;0.87;0.841;0.878;0.878;0.878
transcript20_ENSHGLG00100003156;1.0;0.878;1.0;0.909;0.834;1.0;0.979;1.0;0.979;0.992;0.963;1.0;1.0;1.0
transcript27_ENSHGLG00100003156;0.909;0.966;0.909;1.0;0.743;0.909;0.888;0.909;0.888;0.901;0.872;0.909;0.909;0.909
transcript32_ENSHGLG00100003156;0.834;0.767;0.834;0.743;1.0;0.834;0.812;0.834;0.812;0.826;0.797;0.834;0.834;0.834
transcript20_ENSHGLG00000019563;1.0;0.878;1.0;0.909;0.834;1.0;0.979;1.0;0.979;0.992;0.963;1.0;1.0;1.0
transcript26_ENSHGLG00000019563;0.979;0.856;0.979;0.888;0.812;0.979;1.0;0.979;1.0;0.971;0.941;0.979;0.979;0.979
transcript28_ENSHGLG00000019563;1.0;0.878;1.0;0.909;0.834;1.0;0.979;1.0;0.979;0.992;0.963;1.0;1.0;1.0
transcript40_ENSHGLG00000019563;0.979;0.856;0.979;0.888;0.812;0.979;1.0;0.979;1.0;0.971;0.941;0.979;0.979;0.979
transcript43_ENSHGLG00000019563;0.992;0.87;0.992;0.901;0.826;0.992;0.971;0.992;0.971;1.0;0.955;0.992;0.992;0.992
transcript8_ENSHGLG00100006079;0.963;0.841;0.963;0.872;0.797;0.963;0.941;0.963;0.941;0.955;1.0;0.963;0.963;0.963
transcript9_ENSHGLG00100006079;1.0;0.878;1.0;0.909;0.834;1.0;0.979;1.0;0.979;0.992;0.963;1.0;1.0;1.0
transcript22_ENSHGLG00100006079;1.0;0.878;1.0;0.909;0.834;1.0;0.979;1.0;0.979;0.992;0.963;1.0;1.0;1.0
transcript33_ENSHGLG00100006079;1.0;0.878;1.0;0.909;0.834;1.0;0.979;1.0;0.979;0.992;0.963;1.0;1.0;1.0
