;ENSCAFT00000011068_90_90;ENST00000361272_90_90;ENST00000518021_90_90;ENST00000518541_90_90;ENST00000519918_90_90;ENST00000519954_90_90;ENST00000520178_90_90;ENST00000523917_90_90;ENST00000524358_90_90;ENST00000628418_90_90;ENSMUST00000034012_90_90;ENSMUST00000132032_90_90;ENSMUST00000135269_90_90;ENSMUST00000149992_90_90
ENSCAFT00000011068_90_90;1.0;1.0;0.137;0.317;0.651;0.137;0.143;0.853;0.518;0.137;1.0;1.0;0.87;1.0
ENST00000361272_90_90;1.0;1.0;0.127;0.317;0.605;0.131;0.143;0.85;0.518;0.131;1.0;1.0;0.87;1.0
ENST00000518021_90_90;0.137;0.127;1.0;0.0;0.074;0.527;0.613;0.146;0.229;0.527;0.137;0.137;0.157;0.137
ENST00000518541_90_90;0.317;0.317;0.0;1.0;0.194;0.0;0.0;0.169;0.0;0.0;0.317;0.317;0.364;0.317
ENST00000519918_90_90;0.651;0.605;0.074;0.194;1.0;0.078;0.089;0.698;0.558;0.078;0.651;0.651;0.749;0.651
ENST00000519954_90_90;0.137;0.131;0.527;0.0;0.078;1.0;0.741;0.152;0.244;1.0;0.137;0.137;0.157;0.137
ENST00000520178_90_90;0.143;0.143;0.613;0.0;0.089;0.741;1.0;0.167;0.275;0.741;0.143;0.143;0.164;0.143
ENST00000523917_90_90;0.853;0.85;0.146;0.169;0.698;0.152;0.167;1.0;0.605;0.152;0.853;0.853;0.723;0.853
ENST00000524358_90_90;0.518;0.518;0.229;0.0;0.558;0.244;0.275;0.605;1.0;0.244;0.518;0.518;0.595;0.518
ENST00000628418_90_90;0.137;0.131;0.527;0.0;0.078;1.0;0.741;0.152;0.244;1.0;0.137;0.137;0.157;0.137
ENSMUST00000034012_90_90;1.0;1.0;0.137;0.317;0.651;0.137;0.143;0.853;0.518;0.137;1.0;1.0;0.87;1.0
ENSMUST00000132032_90_90;1.0;1.0;0.137;0.317;0.651;0.137;0.143;0.853;0.518;0.137;1.0;1.0;0.87;1.0
ENSMUST00000135269_90_90;0.87;0.87;0.157;0.364;0.749;0.157;0.164;0.723;0.595;0.157;0.87;0.87;1.0;0.87
ENSMUST00000149992_90_90;1.0;1.0;0.137;0.317;0.651;0.137;0.143;0.853;0.518;0.137;1.0;1.0;0.87;1.0
