;transcript2_ENSSTOG00000019743;transcript15_ENSSTOG00000019743;transcript8_ENSNGAG00000018584;transcript9_ENSNGAG00000018584;transcript2_ENSMLUG00000027828;transcript8_ENSPEMG00000024651;transcript18_ENSNGAG00000018584;transcript7_ENSNGAG00000018584;transcript19_ENSNGAG00000018584;transcript10_ENSNGAG00000018584;transcript17_ENSMUGG00000013649;transcript29_ENSMUGG00000013592;transcript17_ENSMUGG00000013592
transcript2_ENSSTOG00000019743;1.0;1.0;0.7;0.96;1.0;1.0;0.908;0.405;0.92;0.947;1.0;1.0;0.892
transcript15_ENSSTOG00000019743;1.0;1.0;0.7;0.96;1.0;1.0;0.908;0.405;0.92;0.947;1.0;1.0;0.892
transcript8_ENSNGAG00000018584;0.7;0.7;1.0;0.729;0.717;0.993;0.674;0.315;0.665;0.647;0.928;0.934;0.836
transcript9_ENSNGAG00000018584;0.96;0.96;0.729;1.0;0.962;0.997;0.868;0.366;0.88;0.908;0.941;0.948;0.845
transcript2_ENSMLUG00000027828;1.0;1.0;0.717;0.962;1.0;1.0;0.912;0.415;0.926;0.951;1.0;1.0;0.886
transcript8_ENSPEMG00000024651;1.0;1.0;0.993;0.997;1.0;1.0;0.932;0.39;0.932;0.932;1.0;1.0;0.89
transcript18_ENSNGAG00000018584;0.908;0.908;0.674;0.868;0.912;0.932;1.0;0.401;0.933;0.958;0.922;0.931;0.828
transcript7_ENSNGAG00000018584;0.405;0.405;0.315;0.366;0.415;0.39;0.401;1.0;0.441;0.428;0.461;0.418;0.457
transcript19_ENSNGAG00000018584;0.92;0.92;0.665;0.88;0.926;0.932;0.933;0.441;1.0;0.971;0.922;0.931;0.828
transcript10_ENSNGAG00000018584;0.947;0.947;0.647;0.908;0.951;0.932;0.958;0.428;0.971;1.0;0.922;0.931;0.828
transcript17_ENSMUGG00000013649;1.0;1.0;0.928;0.941;1.0;1.0;0.922;0.461;0.922;0.922;1.0;1.0;1.0
transcript29_ENSMUGG00000013592;1.0;1.0;0.934;0.948;1.0;1.0;0.931;0.418;0.931;0.931;1.0;1.0;0.892
transcript17_ENSMUGG00000013592;0.892;0.892;0.836;0.845;0.886;0.89;0.828;0.457;0.828;0.828;1.0;0.892;1.0
