;ENSCAFT00000002501_90_90;ENST00000307972_90_90;ENST00000373057_90_90;ENST00000373060_90_90;ENST00000373063_90_90;ENST00000409208_90_90;ENST00000451305_90_90;ENSMUST00000097311_90_90;ENSMUST00000113262_90_90;ENSMUST00000113263_90_90;ENSMUST00000113265_90_90
ENSCAFT00000002501_90_90;1.0;0.928;0.895;0.928;0.932;0.966;0.066;0.855;0.885;0.828;0.856
ENST00000307972_90_90;0.928;1.0;0.965;1.0;0.924;0.958;0.065;0.863;0.828;0.836;0.801
ENST00000373057_90_90;0.895;0.965;1.0;0.965;0.889;0.923;0.068;0.836;0.8;0.856;0.773
ENST00000373060_90_90;0.928;1.0;0.965;1.0;0.924;0.958;0.065;0.863;0.828;0.836;0.801
ENST00000373063_90_90;0.932;0.924;0.889;0.924;1.0;0.964;0.07;0.801;0.828;0.773;0.848
ENST00000409208_90_90;0.966;0.958;0.923;0.958;0.964;1.0;0.068;0.828;0.856;0.8;0.828
ENST00000451305_90_90;0.066;0.065;0.068;0.065;0.07;0.068;1.0;0.06;0.062;0.061;0.064
ENSMUST00000097311_90_90;0.855;0.863;0.836;0.863;0.801;0.828;0.06;1.0;0.963;0.97;0.935
ENSMUST00000113262_90_90;0.885;0.828;0.8;0.828;0.828;0.856;0.062;0.963;1.0;0.934;0.97
ENSMUST00000113263_90_90;0.828;0.836;0.856;0.836;0.773;0.8;0.061;0.97;0.934;1.0;0.905
ENSMUST00000113265_90_90;0.856;0.801;0.773;0.801;0.848;0.828;0.064;0.935;0.97;0.905;1.0
