;ENSCAFT00000000625_90_90;ENST00000367378_90_90;ENST00000367380_90_90;ENST00000367384_90_90;ENST00000460828_90_90;ENST00000464889_90_90;ENST00000484601_90_90;ENST00000486585_90_90;ENST00000494411_90_90;ENST00000495487_90_90;ENST00000544496_90_90;ENSMUST00000159917_90_90;ENSMUST00000159977_90_90;ENSMUST00000161123_90_90;ENSMUST00000161428_90_90;ENSMUST00000162606_90_90;ENSMUST00000162682_90_90;ENSMUST00000163085_90_90
ENSCAFT00000000625_90_90;1.0;0.684;0.611;0.684;0.316;0.684;0.3;0.056;0.316;0.294;0.579;0.778;0.056;0.316;0.389;0.778;0.176;0.667
ENST00000367378_90_90;0.684;1.0;0.812;0.778;0.471;1.0;0.444;0.118;0.471;0.375;0.875;0.778;0.056;0.25;0.389;0.6;0.176;0.667
ENST00000367380_90_90;0.611;0.812;1.0;0.611;0.294;0.812;0.278;0.143;0.294;0.267;0.688;0.706;0.0;0.158;0.294;0.526;0.133;0.588
ENST00000367384_90_90;0.684;0.778;0.611;1.0;0.471;0.778;0.444;0.118;0.471;0.375;0.667;0.6;0.056;0.25;0.389;0.684;0.176;0.5
ENST00000460828_90_90;0.316;0.471;0.294;0.471;1.0;0.471;0.727;0.2;0.8;0.154;0.533;0.316;0.091;0.385;0.125;0.316;0.083;0.211
ENST00000464889_90_90;0.684;1.0;0.812;0.778;0.471;1.0;0.444;0.118;0.471;0.375;0.875;0.778;0.056;0.25;0.389;0.6;0.176;0.667
ENST00000484601_90_90;0.3;0.444;0.278;0.444;0.727;0.444;1.0;0.182;0.727;0.143;0.5;0.3;0.182;0.583;0.118;0.3;0.077;0.2
ENST00000486585_90_90;0.056;0.118;0.143;0.118;0.2;0.118;0.182;1.0;0.2;0.0;0.133;0.056;0.0;0.091;0.0;0.056;0.0;0.062
ENST00000494411_90_90;0.316;0.471;0.294;0.471;0.8;0.471;0.727;0.2;1.0;0.154;0.533;0.316;0.091;0.385;0.125;0.316;0.083;0.211
ENST00000495487_90_90;0.294;0.375;0.267;0.375;0.154;0.375;0.143;0.0;0.154;1.0;0.25;0.294;0.125;0.071;0.5;0.294;0.429;0.333
ENST00000544496_90_90;0.579;0.875;0.688;0.667;0.533;0.875;0.5;0.133;0.533;0.25;1.0;0.667;0.062;0.278;0.278;0.5;0.125;0.556
ENSMUST00000159917_90_90;0.778;0.778;0.706;0.6;0.316;0.778;0.3;0.056;0.316;0.294;0.667;1.0;0.118;0.389;0.471;0.778;0.25;0.875
ENSMUST00000159977_90_90;0.056;0.056;0.0;0.056;0.091;0.056;0.182;0.0;0.091;0.125;0.062;0.118;1.0;0.333;0.2;0.118;0.4;0.133
ENSMUST00000161123_90_90;0.316;0.25;0.158;0.25;0.385;0.25;0.583;0.091;0.385;0.071;0.278;0.389;0.333;1.0;0.2;0.389;0.182;0.353
ENSMUST00000161428_90_90;0.389;0.389;0.294;0.389;0.125;0.389;0.118;0.0;0.125;0.5;0.278;0.471;0.2;0.2;1.0;0.471;0.444;0.533
ENSMUST00000162606_90_90;0.778;0.6;0.526;0.684;0.316;0.6;0.3;0.056;0.316;0.294;0.5;0.778;0.118;0.389;0.471;1.0;0.25;0.667
ENSMUST00000162682_90_90;0.176;0.176;0.133;0.176;0.083;0.176;0.077;0.0;0.083;0.429;0.125;0.25;0.4;0.182;0.444;0.25;1.0;0.286
ENSMUST00000163085_90_90;0.667;0.667;0.588;0.5;0.211;0.667;0.2;0.062;0.211;0.333;0.556;0.875;0.133;0.353;0.533;0.667;0.286;1.0
