;transcript52_ENSMUSG00000054036;transcript52_MGP-CAROLIEiJ-G0020234;transcript57_ENSMUSG00000054036;transcript64_ENSMUSG00000054036;transcript67_ENSMUSG00000054036;transcript9_MGP-CAROLIEiJ-G0020234;transcript9_MGP-PahariEiJ-G0020237;transcript62_MGP-CAROLIEiJ-G0020234;transcript63_MGP-CAROLIEiJ-G0020234;transcript7_MGP-PahariEiJ-G0020237;transcript48_MGP-PahariEiJ-G0020237;transcript8_ENSRNOG00000031503;transcript40_ENSRNOG00000031503;transcript49_ENSRNOG00000031503;transcript53_ENSRNOG00000031503;transcript54_ENSRNOG00000031503;transcript55_ENSRNOG00000031503;transcript41_ENSMUGG00000013649
transcript52_ENSMUSG00000054036;1.0;1.0;0.593;0.656;0.619;0.717;0.717;0.853;0.683;0.579;0.613;0.591;0.57;0.586;0.696;0.611;0.611;0.549
transcript52_MGP-CAROLIEiJ-G0020234;1.0;1.0;0.704;0.741;0.72;0.717;0.717;0.853;0.683;0.671;0.722;0.676;0.663;0.662;0.727;0.704;0.704;0.661
transcript57_ENSMUSG00000054036;0.593;0.704;1.0;0.863;0.933;0.986;0.786;0.608;0.952;0.924;0.98;0.945;0.952;0.785;0.765;0.992;0.992;0.957
transcript64_ENSMUSG00000054036;0.656;0.741;0.863;1.0;0.92;0.926;0.83;0.637;0.893;0.792;0.851;0.852;0.857;0.923;0.76;0.904;0.904;0.814
transcript67_ENSMUSG00000054036;0.619;0.72;0.933;0.92;1.0;0.958;0.791;0.621;0.924;0.87;0.926;0.913;0.919;0.825;0.768;0.962;0.962;0.889
transcript9_MGP-CAROLIEiJ-G0020234;0.717;0.717;0.986;0.926;0.958;1.0;1.0;0.619;0.966;0.909;0.958;0.954;0.94;0.841;0.907;0.986;0.986;0.937
transcript9_MGP-PahariEiJ-G0020237;0.717;0.717;0.786;0.83;0.791;1.0;1.0;0.619;0.966;0.74;0.768;0.797;0.77;0.751;0.846;0.812;0.812;0.741
transcript62_MGP-CAROLIEiJ-G0020234;0.853;0.853;0.608;0.637;0.621;0.619;0.619;1.0;0.586;0.657;0.623;0.582;0.57;0.563;0.623;0.608;0.608;0.569
transcript63_MGP-CAROLIEiJ-G0020234;0.683;0.683;0.952;0.893;0.924;0.966;0.966;0.586;1.0;0.875;0.925;0.92;0.906;0.808;0.874;0.952;0.952;0.904
transcript7_MGP-PahariEiJ-G0020237;0.579;0.671;0.924;0.792;0.87;0.909;0.74;0.657;0.875;1.0;0.943;0.869;0.877;0.705;0.77;0.916;0.916;0.883
transcript48_MGP-PahariEiJ-G0020237;0.613;0.722;0.98;0.851;0.926;0.958;0.768;0.623;0.925;0.943;1.0;0.927;0.934;0.763;0.796;0.975;0.975;0.936
transcript8_ENSRNOG00000031503;0.591;0.676;0.945;0.852;0.913;0.954;0.797;0.582;0.92;0.869;0.927;1.0;0.957;0.802;0.749;0.935;0.935;0.948
transcript40_ENSRNOG00000031503;0.57;0.663;0.952;0.857;0.919;0.94;0.77;0.57;0.906;0.877;0.934;0.957;1.0;0.847;0.72;0.927;0.927;0.991
transcript49_ENSRNOG00000031503;0.586;0.662;0.785;0.923;0.825;0.841;0.751;0.563;0.808;0.705;0.763;0.802;0.847;1.0;0.659;0.77;0.77;0.838
transcript53_ENSRNOG00000031503;0.696;0.727;0.765;0.76;0.768;0.907;0.846;0.623;0.874;0.77;0.796;0.749;0.72;0.659;1.0;0.773;0.773;0.712
transcript54_ENSRNOG00000031503;0.611;0.704;0.992;0.904;0.962;0.986;0.812;0.608;0.952;0.916;0.975;0.935;0.927;0.77;0.773;1.0;1.0;0.919
transcript55_ENSRNOG00000031503;0.611;0.704;0.992;0.904;0.962;0.986;0.812;0.608;0.952;0.916;0.975;0.935;0.927;0.77;0.773;1.0;1.0;0.919
transcript41_ENSMUGG00000013649;0.549;0.661;0.957;0.814;0.889;0.937;0.741;0.569;0.904;0.883;0.936;0.948;0.991;0.838;0.712;0.919;0.919;1.0
