;ENSCAFT00000048684_90_90;ENST00000335135_90_90;ENST00000526716_90_90;ENST00000526974_90_90;ENST00000528027_90_90;ENST00000528712_90_90;ENST00000532059_90_90;ENST00000532977_90_90;ENST00000622443_90_90;ENSMUST00000067417_90_90;ENSMUST00000118022_90_90;ENSMUST00000121312_90_90;ENSMUST00000132122_90_90;ENSMUST00000137244_90_90;ENSMUST00000156782_90_90
ENSCAFT00000048684_90_90;1.0;0.958;0.208;0.25;0.458;0.333;1.0;0.208;0.833;1.0;0.952;0.286;0.19;0.143;0.143
ENST00000335135_90_90;0.958;1.0;0.208;0.25;0.458;0.333;0.923;0.208;0.875;0.909;1.0;0.3;0.2;0.15;0.15
ENST00000526716_90_90;0.208;0.208;1.0;0.0;0.0;0.625;0.192;0.0;0.238;0.182;0.2;0.667;0.0;0.0;0.0
ENST00000526974_90_90;0.25;0.25;0.0;1.0;0.545;0.0;0.231;0.833;0.227;0.273;0.3;0.0;0.667;0.5;0.5
ENST00000528027_90_90;0.458;0.458;0.0;0.545;1.0;0.0;0.423;0.455;0.333;0.5;0.55;0.0;0.364;0.273;0.273
ENST00000528712_90_90;0.333;0.333;0.625;0.0;0.0;1.0;0.308;0.0;0.381;0.273;0.3;1.0;0.0;0.0;0.0
ENST00000532059_90_90;1.0;0.923;0.192;0.231;0.423;0.308;1.0;0.192;0.808;1.0;0.909;0.273;0.182;0.136;0.136
ENST00000532977_90_90;0.208;0.208;0.0;0.833;0.455;0.0;0.192;1.0;0.182;0.227;0.25;0.0;0.8;0.6;0.6
ENST00000622443_90_90;0.833;0.875;0.238;0.227;0.333;0.381;0.808;0.182;1.0;0.773;0.85;0.353;0.167;0.111;0.111
ENSMUST00000067417_90_90;1.0;0.909;0.182;0.273;0.5;0.273;1.0;0.227;0.773;1.0;0.92;0.32;0.16;0.12;0.12
ENSMUST00000118022_90_90;0.952;1.0;0.2;0.3;0.55;0.3;0.909;0.25;0.85;0.92;1.0;0.348;0.174;0.13;0.13
ENSMUST00000121312_90_90;0.286;0.3;0.667;0.0;0.0;1.0;0.273;0.0;0.353;0.32;0.348;1.0;0.0;0.0;0.0
ENSMUST00000132122_90_90;0.19;0.2;0.0;0.667;0.364;0.0;0.182;0.8;0.167;0.16;0.174;0.0;1.0;0.75;0.75
ENSMUST00000137244_90_90;0.143;0.15;0.0;0.5;0.273;0.0;0.136;0.6;0.111;0.12;0.13;0.0;0.75;1.0;1.0
ENSMUST00000156782_90_90;0.143;0.15;0.0;0.5;0.273;0.0;0.136;0.6;0.111;0.12;0.13;0.0;0.75;1.0;1.0
