;ENSCAFT00000019569_90_90;ENSCAFT00000036114_90_90;ENST00000334961_90_90;ENST00000338641_90_90;ENST00000353887_90_90;ENST00000361166_90_90;ENST00000361452_90_90;ENST00000361676_90_90;ENST00000397789_90_90;ENST00000403435_90_90;ENST00000403999_90_90;ENST00000413209_90_90;ENST00000432151_90_90;ENSMUST00000053079_90_90;ENSMUST00000056290_90_90;ENSMUST00000093374_90_90;ENSMUST00000109910_90_90;ENSMUST00000124878_90_90;ENSMUST00000137926_90_90;ENSMUST00000152656_90_90;ENSMUST00000164190_90_90;ENSMUST00000172305_90_90
ENSCAFT00000019569_90_90;1.0;0.857;0.737;0.81;0.737;0.947;0.842;0.842;0.947;0.842;0.947;0.286;0.368;1.0;1.0;0.895;0.857;0.2;0.211;0.263;0.421;0.05
ENSCAFT00000036114_90_90;0.857;1.0;0.619;0.857;0.619;0.81;0.714;0.714;0.81;0.714;0.81;0.333;0.35;0.857;0.857;0.762;0.905;0.19;0.2;0.25;0.4;0.048
ENST00000334961_90_90;0.737;0.619;1.0;0.65;1.0;0.778;0.875;0.875;0.778;0.667;0.778;0.1;0.5;0.737;0.737;0.722;0.619;0.056;0.2;0.357;0.375;0.067
ENST00000338641_90_90;0.81;0.857;0.65;1.0;0.65;0.85;0.75;0.75;0.85;0.75;0.85;0.421;0.368;0.81;0.81;0.714;0.857;0.2;0.211;0.263;0.421;0.05
ENST00000353887_90_90;0.737;0.619;1.0;0.65;1.0;0.778;0.875;0.875;0.778;0.667;0.778;0.1;0.5;0.737;0.737;0.722;0.619;0.056;0.2;0.357;0.375;0.067
ENST00000361166_90_90;0.947;0.81;0.778;0.85;0.778;1.0;0.889;0.889;1.0;0.889;1.0;0.3;0.389;0.947;0.947;0.842;0.81;0.211;0.222;0.278;0.444;0.053
ENST00000361452_90_90;0.842;0.714;0.875;0.75;0.875;0.889;1.0;0.778;0.889;0.778;0.889;0.2;0.438;0.842;0.842;0.737;0.714;0.105;0.176;0.312;0.5;0.059
ENST00000361676_90_90;0.842;0.714;0.875;0.75;0.875;0.889;0.778;1.0;0.889;0.778;0.889;0.2;0.438;0.842;0.842;0.833;0.714;0.167;0.25;0.312;0.333;0.059
ENST00000397789_90_90;0.947;0.81;0.778;0.85;0.778;1.0;0.889;0.889;1.0;0.889;1.0;0.3;0.389;0.947;0.947;0.842;0.81;0.211;0.222;0.278;0.444;0.053
ENST00000403435_90_90;0.842;0.714;0.667;0.75;0.667;0.889;0.778;0.778;0.889;1.0;0.889;0.333;0.438;0.842;0.842;0.737;0.714;0.235;0.25;0.312;0.412;0.059
ENST00000403999_90_90;0.947;0.81;0.778;0.85;0.778;1.0;0.889;0.889;1.0;0.889;1.0;0.3;0.389;0.947;0.947;0.842;0.81;0.211;0.222;0.278;0.444;0.053
ENST00000413209_90_90;0.286;0.333;0.1;0.421;0.1;0.3;0.2;0.2;0.3;0.333;0.3;1.0;0.154;0.286;0.286;0.19;0.333;0.444;0.2;0.083;0.333;0.111
ENST00000432151_90_90;0.368;0.35;0.5;0.368;0.5;0.389;0.438;0.438;0.389;0.438;0.389;0.154;1.0;0.368;0.368;0.333;0.35;0.091;0.222;0.714;0.364;0.125
ENSMUST00000053079_90_90;1.0;0.857;0.737;0.81;0.737;0.947;0.842;0.842;0.947;0.842;0.947;0.286;0.368;1.0;1.0;0.895;0.857;0.2;0.211;0.263;0.421;0.05
ENSMUST00000056290_90_90;1.0;0.857;0.737;0.81;0.737;0.947;0.842;0.842;0.947;0.842;0.947;0.286;0.368;1.0;1.0;0.895;0.857;0.2;0.211;0.263;0.421;0.05
ENSMUST00000093374_90_90;0.895;0.762;0.722;0.714;0.722;0.842;0.737;0.833;0.842;0.737;0.842;0.19;0.333;0.895;0.895;1.0;0.762;0.222;0.235;0.294;0.316;0.0
ENSMUST00000109910_90_90;0.857;0.905;0.619;0.857;0.619;0.81;0.714;0.714;0.81;0.714;0.81;0.333;0.35;0.857;0.857;0.762;1.0;0.19;0.2;0.25;0.4;0.048
ENSMUST00000124878_90_90;0.2;0.19;0.056;0.2;0.056;0.211;0.105;0.167;0.211;0.235;0.211;0.444;0.091;0.2;0.2;0.222;0.19;1.0;0.286;0.111;0.182;0.0
ENSMUST00000137926_90_90;0.211;0.2;0.2;0.211;0.2;0.222;0.176;0.25;0.222;0.25;0.222;0.2;0.222;0.211;0.211;0.235;0.2;0.286;1.0;0.286;0.333;0.0
ENSMUST00000152656_90_90;0.263;0.25;0.357;0.263;0.357;0.278;0.312;0.312;0.278;0.312;0.278;0.083;0.714;0.263;0.263;0.294;0.25;0.111;0.286;1.0;0.3;0.0
ENSMUST00000164190_90_90;0.421;0.4;0.375;0.421;0.375;0.444;0.5;0.333;0.444;0.412;0.444;0.333;0.364;0.421;0.421;0.316;0.4;0.182;0.333;0.3;1.0;0.111
ENSMUST00000172305_90_90;0.05;0.048;0.067;0.05;0.067;0.053;0.059;0.059;0.053;0.059;0.053;0.111;0.125;0.05;0.05;0.0;0.048;0.0;0.0;0.0;0.111;1.0
