;ENSCAFT00000008733_90_90;ENST00000323039_90_90;ENST00000348817_90_90;ENST00000430012_90_90;ENST00000593685_90_90;ENST00000597639_90_90;ENST00000600611_90_90;ENST00000601972_90_90;ENSMUST00000085901_90_90;ENSMUST00000172467_90_90;ENSMUST00000172761_90_90
ENSCAFT00000008733_90_90;1.0;0.906;0.906;0.904;0.906;0.906;0.265;0.193;0.908;1.0;0.906
ENST00000323039_90_90;0.906;1.0;0.955;0.936;1.0;0.955;0.275;0.193;0.998;0.911;0.935
ENST00000348817_90_90;0.906;0.955;1.0;0.98;0.955;1.0;0.287;0.202;0.954;0.871;0.978
ENST00000430012_90_90;0.904;0.936;0.98;1.0;0.936;0.98;0.293;0.206;0.935;0.853;0.998
ENST00000593685_90_90;0.906;1.0;0.955;0.936;1.0;0.955;0.275;0.193;0.998;0.911;0.935
ENST00000597639_90_90;0.906;0.955;1.0;0.98;0.955;1.0;0.287;0.202;0.954;0.871;0.978
ENST00000600611_90_90;0.265;0.275;0.287;0.293;0.275;0.287;1.0;0.668;0.273;0.249;0.291
ENST00000601972_90_90;0.193;0.193;0.202;0.206;0.193;0.202;0.668;1.0;0.199;0.181;0.212
ENSMUST00000085901_90_90;0.908;0.998;0.954;0.935;0.998;0.954;0.273;0.199;1.0;0.913;0.936
ENSMUST00000172467_90_90;1.0;0.911;0.871;0.853;0.911;0.871;0.249;0.181;0.913;1.0;0.855
ENSMUST00000172761_90_90;0.906;0.935;0.978;0.998;0.935;0.978;0.291;0.212;0.936;0.855;1.0
