;ENSCAFT00000022237_90_90;ENST00000423692_90_90;ENST00000431645_90_90;ENST00000448764_90_90;ENST00000449389_90_90;ENST00000611405_90_90;ENST00000614370_90_90;ENST00000614484_90_90;ENST00000618262_90_90;ENST00000618411_90_90;ENST00000641476_90_90;ENSMUST00000040873_90_90;ENSMUST00000196109_90_90;ENSMUST00000197466_90_90;ENSMUST00000197484_90_90;ENSMUST00000198526_90_90;ENSMUST00000199243_90_90;ENSMUST00000199365_90_90;ENSMUST00000199605_90_90;ENSMUST00000199756_90_90;ENSMUST00000223263_90_90
ENSCAFT00000022237_90_90;1.0;0.067;0.133;0.467;0.1;0.933;0.067;0.9;0.9;0.867;0.033;0.935;0.516;0.871;0.065;0.71;0.903;0.097;0.387;0.161;0.032
ENST00000423692_90_90;0.067;1.0;0.0;0.0;0.0;0.061;0.0;0.062;0.062;0.065;0.5;0.067;0.0;0.071;0.0;0.091;0.069;0.0;0.0;0.0;0.5
ENST00000431645_90_90;0.133;0.0;1.0;0.0;0.0;0.147;0.125;0.152;0.152;0.156;0.0;0.097;0.0;0.103;0.5;0.13;0.1;0.0;0.0;0.0;0.0
ENST00000448764_90_90;0.467;0.0;0.0;1.0;0.118;0.485;0.0;0.455;0.455;0.424;0.0;0.5;0.778;0.483;0.0;0.233;0.517;0.059;0.286;0.312;0.0
ENST00000449389_90_90;0.1;0.0;0.0;0.118;1.0;0.059;0.0;0.061;0.061;0.062;0.0;0.1;0.111;0.107;0.0;0.136;0.103;0.0;0.25;0.0;0.0
ENST00000611405_90_90;0.933;0.061;0.147;0.485;0.059;1.0;0.029;0.97;0.97;0.939;0.03;0.875;0.516;0.812;0.067;0.625;0.844;0.1;0.355;0.2;0.033
ENST00000614370_90_90;0.067;0.0;0.125;0.0;0.0;0.029;1.0;0.029;0.029;0.03;0.0;0.067;0.0;0.071;0.333;0.091;0.069;0.0;0.0;0.0;0.0
ENST00000614484_90_90;0.9;0.062;0.152;0.455;0.061;0.97;0.029;1.0;0.939;0.969;0.031;0.844;0.484;0.781;0.069;0.594;0.812;0.103;0.367;0.207;0.034
ENST00000618262_90_90;0.9;0.062;0.152;0.455;0.061;0.97;0.029;0.939;1.0;0.969;0.031;0.844;0.484;0.839;0.069;0.645;0.812;0.103;0.367;0.207;0.034
ENST00000618411_90_90;0.867;0.065;0.156;0.424;0.062;0.939;0.03;0.969;0.969;1.0;0.032;0.812;0.452;0.806;0.071;0.613;0.781;0.107;0.379;0.214;0.036
ENST00000641476_90_90;0.033;0.5;0.0;0.0;0.0;0.03;0.0;0.031;0.031;0.032;1.0;0.033;0.0;0.036;0.0;0.045;0.034;0.0;0.0;0.0;1.0
ENSMUST00000040873_90_90;0.935;0.067;0.097;0.5;0.1;0.875;0.067;0.844;0.844;0.812;0.033;1.0;0.515;0.938;0.029;0.676;0.969;0.059;0.324;0.188;0.031
ENSMUST00000196109_90_90;0.516;0.0;0.0;0.778;0.111;0.516;0.0;0.484;0.484;0.452;0.0;0.515;1.0;0.455;0.0;0.229;0.485;0.048;0.292;0.333;0.0
ENSMUST00000197466_90_90;0.871;0.071;0.103;0.483;0.107;0.812;0.071;0.781;0.839;0.806;0.036;0.938;0.455;1.0;0.031;0.719;0.968;0.062;0.344;0.161;0.033
ENSMUST00000197484_90_90;0.065;0.0;0.5;0.0;0.0;0.067;0.333;0.069;0.069;0.071;0.0;0.029;0.0;0.031;1.0;0.037;0.03;0.0;0.0;0.0;0.0
ENSMUST00000198526_90_90;0.71;0.091;0.13;0.233;0.136;0.625;0.091;0.594;0.645;0.613;0.045;0.676;0.229;0.719;0.037;1.0;0.697;0.16;0.52;0.0;0.04
ENSMUST00000199243_90_90;0.903;0.069;0.1;0.517;0.103;0.844;0.069;0.812;0.812;0.781;0.034;0.969;0.485;0.968;0.03;0.697;1.0;0.061;0.333;0.156;0.032
ENSMUST00000199365_90_90;0.097;0.0;0.0;0.059;0.0;0.1;0.0;0.103;0.103;0.107;0.0;0.059;0.048;0.062;0.0;0.16;0.061;1.0;0.308;0.0;0.0
ENSMUST00000199605_90_90;0.387;0.0;0.0;0.286;0.25;0.355;0.0;0.367;0.367;0.379;0.0;0.324;0.292;0.344;0.0;0.52;0.333;0.308;1.0;0.0;0.0
ENSMUST00000199756_90_90;0.161;0.0;0.0;0.312;0.0;0.2;0.0;0.207;0.207;0.214;0.0;0.188;0.333;0.161;0.0;0.0;0.156;0.0;0.0;1.0;0.0
ENSMUST00000223263_90_90;0.032;0.5;0.0;0.0;0.0;0.033;0.0;0.034;0.034;0.036;1.0;0.031;0.0;0.033;0.0;0.04;0.032;0.0;0.0;0.0;1.0
