;transcript40_ENSRNOG00000031503;transcript47_ENSRNOG00000031503;transcript47_ENSMUGG00000013649;transcript47_ENSPEMG00000024651;transcript20_ENSMUGG00000013649;transcript20_ENSMUGG00000013592;transcript19_ENSPEMG00000024651;transcript38_ENSPEMG00000024651;transcript27_ENSNGAG00000018584;transcript7_ENSSTOG00000019743;transcript24_ENSSTOG00000019743;transcript25_ENSSTOG00000019743;transcript32_ENSSTOG00000019743
transcript40_ENSRNOG00000031503;1.0;0.817;0.944;0.907;0.98;0.983;0.983;0.983;0.978;0.982;0.871;0.982;0.982
transcript47_ENSRNOG00000031503;0.817;1.0;0.972;0.973;0.864;0.865;0.8;0.8;0.847;0.799;0.874;0.799;0.799
transcript47_ENSMUGG00000013649;0.944;0.972;1.0;0.96;0.976;0.976;0.931;0.931;0.977;0.976;0.984;0.976;0.976
transcript47_ENSPEMG00000024651;0.907;0.973;0.96;1.0;0.93;0.932;0.938;0.938;0.913;0.898;0.93;0.898;0.898
transcript20_ENSMUGG00000013649;0.98;0.864;0.976;0.93;1.0;1.0;0.972;0.972;1.0;1.0;0.97;1.0;1.0
transcript20_ENSMUGG00000013592;0.983;0.865;0.976;0.932;1.0;1.0;0.974;0.974;1.0;1.0;0.97;1.0;1.0
transcript19_ENSPEMG00000024651;0.983;0.8;0.931;0.938;0.972;0.974;1.0;1.0;0.97;0.974;0.873;0.974;0.974
transcript38_ENSPEMG00000024651;0.983;0.8;0.931;0.938;0.972;0.974;1.0;1.0;0.97;0.974;0.873;0.974;0.974
transcript27_ENSNGAG00000018584;0.978;0.847;0.977;0.913;1.0;1.0;0.97;0.97;1.0;1.0;1.0;1.0;1.0
transcript7_ENSSTOG00000019743;0.982;0.799;0.976;0.898;1.0;1.0;0.974;0.974;1.0;1.0;0.887;1.0;1.0
transcript24_ENSSTOG00000019743;0.871;0.874;0.984;0.93;0.97;0.97;0.873;0.873;1.0;0.887;1.0;0.887;0.887
transcript25_ENSSTOG00000019743;0.982;0.799;0.976;0.898;1.0;1.0;0.974;0.974;1.0;1.0;0.887;1.0;1.0
transcript32_ENSSTOG00000019743;0.982;0.799;0.976;0.898;1.0;1.0;0.974;0.974;1.0;1.0;0.887;1.0;1.0
