;ENSCAFT00000016446_90_90;ENST00000290246_90_90;ENST00000352077_90_90;ENST00000372176_90_90;ENST00000396391_90_90;ENST00000425546_90_90;ENST00000450812_90_90;ENST00000452857_90_90;ENST00000467800_90_90;ENSMUST00000071699_90_90;ENSMUST00000074046_90_90;ENSMUST00000094329_90_90;ENSMUST00000103088_90_90;ENSMUST00000103091_90_90;ENSMUST00000126318_90_90;ENSMUST00000128690_90_90;ENSMUST00000133205_90_90;ENSMUST00000137188_90_90;ENSMUST00000148643_90_90
ENSCAFT00000016446_90_90;;0.587;0.579;0.499;0.587;0.304;0.418;0.205;0.332;0.753;0.682;0.682;0.753;0.682;0.068;0.053;0.171;0.205;0.226
ENST00000290246_90_90;0.587;;;;;;;;;0.708;0.388;0.385;0.708;0.385;0.06;0.045;0.146;0.184;0.05
ENST00000352077_90_90;0.579;;;;;;;;;0.7;0.38;0.376;0.7;0.376;0.061;0.046;0.147;0.185;0.05
ENST00000372176_90_90;0.499;;;;;;;;;0.623;0.305;0.3;0.623;0.3;0.0;0.0;0.041;0.207;0.054
ENST00000396391_90_90;0.587;;;;;;;;;0.708;0.388;0.385;0.708;0.385;0.06;0.045;0.146;0.184;0.05
ENST00000425546_90_90;0.304;;;;;;;;;0.233;0.36;0.351;0.233;0.351;0.0;0.0;0.0;0.207;0.185
ENST00000450812_90_90;0.418;;;;;;;;;0.317;0.509;0.503;0.317;0.503;0.16;0.128;0.415;0.471;0.0
ENST00000452857_90_90;0.205;;;;;;;;;0.343;0.037;0.038;0.343;0.038;0.0;0.0;0.0;0.0;0.062
ENST00000467800_90_90;0.332;;;;;;;;;0.476;0.148;0.151;0.476;0.151;0.0;0.0;0.0;0.025;0.067
ENSMUST00000071699_90_90;0.753;0.708;0.7;0.623;0.708;0.233;0.317;0.343;0.476;;;;;;;;;;
ENSMUST00000074046_90_90;0.682;0.388;0.38;0.305;0.388;0.36;0.509;0.037;0.148;;;;;;;;;;
ENSMUST00000094329_90_90;0.682;0.385;0.376;0.3;0.385;0.351;0.503;0.038;0.151;;;;;;;;;;
ENSMUST00000103088_90_90;0.753;0.708;0.7;0.623;0.708;0.233;0.317;0.343;0.476;;;;;;;;;;
ENSMUST00000103091_90_90;0.682;0.385;0.376;0.3;0.385;0.351;0.503;0.038;0.151;;;;;;;;;;
ENSMUST00000126318_90_90;0.068;0.06;0.061;0.0;0.06;0.0;0.16;0.0;0.0;;;;;;;;;;
ENSMUST00000128690_90_90;0.053;0.045;0.046;0.0;0.045;0.0;0.128;0.0;0.0;;;;;;;;;;
ENSMUST00000133205_90_90;0.171;0.146;0.147;0.041;0.146;0.0;0.415;0.0;0.0;;;;;;;;;;
ENSMUST00000137188_90_90;0.205;0.184;0.185;0.207;0.184;0.207;0.471;0.0;0.025;;;;;;;;;;
ENSMUST00000148643_90_90;0.226;0.05;0.05;0.054;0.05;0.185;0.0;0.062;0.067;;;;;;;;;;
