;transcript7_ENSMSIG00000000513;transcript26_ENSMSIG00000000513;transcript41_ENSMSIG00000000513;transcript43_ENSMSIG00000000513;transcript46_ENSMSIG00000000513;transcript47_ENSMSIG00000000513;transcript48_ENSMSIG00000000513;transcript49_ENSMSIG00000000513;transcript22_MGP-SPRETEiJ-G0021131;transcript41_MGP-SPRETEiJ-G0021131;transcript7_ENSMUSG00000054036;transcript36_ENSMUSG00000054036;transcript8_MGP-CAROLIEiJ-G0020234;transcript22_MGP-CAROLIEiJ-G0020234;transcript32_MGP-CAROLIEiJ-G0020234;transcript33_MGP-CAROLIEiJ-G0020234;transcript42_MGP-CAROLIEiJ-G0020234;transcript43_MGP-CAROLIEiJ-G0020234;transcript26_MGP-PahariEiJ-G0020237;transcript9_ENSRNOG00000031503;transcript18_ENSRNOG00000031503;transcript19_ENSRNOG00000031503;transcript21_ENSRNOG00000031503;transcript23_ENSRNOG00000031503;transcript32_ENSRNOG00000031503;transcript33_ENSRNOG00000031503;transcript18_ENSMUGG00000013592;transcript32_ENSMUGG00000013592;transcript33_ENSMUGG00000013592;transcript34_ENSMUGG00000013592;transcript35_ENSMUGG00000013592
transcript7_ENSMSIG00000000513;1.0;0.983;0.586;0.586;0.638;0.983;0.638;0.966;0.972;0.917;0.891;0.783;0.939;0.97;0.97;0.909;0.909;0.909;0.982;0.561;0.976;0.69;0.667;0.667;0.667;0.619;0.983;0.948;0.948;0.983;0.983
transcript26_ENSMSIG00000000513;0.983;1.0;0.603;0.603;0.655;1.0;0.655;0.983;1.0;0.944;0.913;0.804;0.97;1.0;1.0;0.939;0.939;0.939;1.0;0.548;1.0;0.714;0.69;0.69;0.69;0.643;1.0;0.966;0.966;1.0;1.0
transcript41_ENSMSIG00000000513;0.586;0.603;1.0;1.0;0.921;0.603;0.921;0.614;0.944;1.0;0.75;0.946;0.909;0.939;0.939;1.0;0.879;1.0;0.6;0.724;0.643;0.9;0.931;0.931;0.931;0.862;0.603;0.569;0.569;0.603;0.603
transcript43_ENSMSIG00000000513;0.586;0.603;1.0;1.0;0.921;0.603;0.921;0.614;0.944;1.0;0.75;0.946;0.909;0.939;0.939;1.0;0.879;1.0;0.6;0.724;0.643;0.9;0.931;0.931;0.931;0.862;0.603;0.569;0.569;0.603;0.603
transcript46_ENSMSIG00000000513;0.638;0.655;0.921;0.921;1.0;0.655;1.0;0.638;1.0;0.944;0.717;1.0;0.97;1.0;1.0;0.939;0.939;0.939;0.655;0.767;0.714;1.0;0.967;0.967;0.967;0.9;0.655;0.621;0.621;0.655;0.655
transcript47_ENSMSIG00000000513;0.983;1.0;0.603;0.603;0.655;1.0;0.655;0.983;1.0;0.944;0.913;0.804;0.97;1.0;1.0;0.939;0.939;0.939;1.0;0.548;1.0;0.714;0.69;0.69;0.69;0.643;1.0;0.966;0.966;1.0;1.0
transcript48_ENSMSIG00000000513;0.638;0.655;0.921;0.921;1.0;0.655;1.0;0.638;1.0;0.944;0.717;1.0;0.97;1.0;1.0;0.939;0.939;0.939;0.655;0.767;0.714;1.0;0.967;0.967;0.967;0.9;0.655;0.621;0.621;0.655;0.655
transcript49_ENSMSIG00000000513;0.966;0.983;0.614;0.614;0.638;0.983;0.638;1.0;0.972;0.971;0.933;0.783;0.939;0.97;0.97;0.969;0.909;0.969;0.982;0.524;0.976;0.69;0.667;0.667;0.667;0.619;0.983;0.948;0.948;0.983;0.983
transcript22_MGP-SPRETEiJ-G0021131;0.972;1.0;0.944;0.944;1.0;1.0;1.0;0.972;1.0;0.935;0.956;0.967;0.988;1.0;1.0;0.976;0.976;0.976;1.0;0.818;1.0;1.0;1.0;1.0;0.955;0.97;1.0;0.978;0.978;1.0;1.0
transcript41_MGP-SPRETEiJ-G0021131;0.917;0.944;1.0;1.0;0.944;0.944;0.944;0.971;0.935;1.0;0.943;0.977;0.94;0.952;0.952;0.976;0.929;0.976;0.975;0.825;0.924;0.924;0.924;0.924;0.968;0.894;0.935;0.913;0.913;0.935;0.935
transcript7_ENSMUSG00000054036;0.891;0.913;0.75;0.75;0.717;0.913;0.717;0.933;0.956;0.943;1.0;0.843;0.964;0.953;0.953;0.976;0.976;0.976;0.956;0.722;0.944;0.875;0.875;0.875;0.847;0.9;0.961;0.98;0.98;0.961;0.961
transcript36_ENSMUSG00000054036;0.783;0.804;0.946;0.946;1.0;0.804;1.0;0.783;0.967;0.977;0.843;1.0;0.976;0.988;0.988;0.965;0.965;0.965;0.901;0.862;0.903;0.97;0.97;0.97;1.0;0.94;0.882;0.863;0.863;0.882;0.882
transcript8_MGP-CAROLIEiJ-G0020234;0.939;0.97;0.909;0.909;0.97;0.97;0.97;0.939;0.988;0.94;0.964;0.976;1.0;0.989;0.989;0.966;0.988;0.966;0.987;0.839;0.984;0.984;0.984;0.984;0.952;0.984;0.989;0.988;0.988;0.989;0.989
transcript22_MGP-CAROLIEiJ-G0020234;0.97;1.0;0.939;0.939;1.0;1.0;1.0;0.97;1.0;0.952;0.953;0.988;0.989;1.0;1.0;0.977;0.977;0.977;1.0;0.855;1.0;1.0;1.0;1.0;0.968;0.968;1.0;0.977;0.977;1.0;1.0
transcript32_MGP-CAROLIEiJ-G0020234;0.97;1.0;0.939;0.939;1.0;1.0;1.0;0.97;1.0;0.952;0.953;0.988;0.989;1.0;1.0;0.977;0.977;0.977;1.0;0.855;1.0;1.0;1.0;1.0;0.968;0.968;1.0;0.977;0.977;1.0;1.0
transcript33_MGP-CAROLIEiJ-G0020234;0.909;0.939;1.0;1.0;0.939;0.939;0.939;0.969;0.976;0.976;0.976;0.965;0.966;0.977;0.977;1.0;0.954;1.0;0.974;0.823;0.968;0.968;0.968;0.968;0.935;0.935;0.977;0.954;0.954;0.977;0.977
transcript42_MGP-CAROLIEiJ-G0020234;0.909;0.939;0.879;0.879;0.939;0.939;0.939;0.909;0.976;0.929;0.976;0.965;0.988;0.977;0.977;0.954;1.0;0.954;0.974;0.823;0.968;0.968;0.968;0.968;0.935;1.0;0.977;1.0;1.0;0.977;0.977
transcript43_MGP-CAROLIEiJ-G0020234;0.909;0.939;1.0;1.0;0.939;0.939;0.939;0.969;0.976;0.976;0.976;0.965;0.966;0.977;0.977;1.0;0.954;1.0;0.974;0.823;0.968;0.968;0.968;0.968;0.935;0.935;0.977;0.954;0.954;0.977;0.977
transcript26_MGP-PahariEiJ-G0020237;0.982;1.0;0.6;0.6;0.655;1.0;0.655;0.982;1.0;0.975;0.956;0.901;0.987;1.0;1.0;0.974;0.974;0.974;1.0;0.704;1.0;0.845;0.831;0.831;0.831;0.803;1.0;0.981;0.981;1.0;1.0
transcript9_ENSRNOG00000031503;0.561;0.548;0.724;0.724;0.767;0.548;0.767;0.524;0.818;0.825;0.722;0.862;0.839;0.855;0.855;0.823;0.823;0.823;0.704;1.0;0.695;0.814;0.826;0.826;0.864;0.797;0.695;0.671;0.671;0.695;0.695
transcript18_ENSRNOG00000031503;0.976;1.0;0.643;0.643;0.714;1.0;0.714;0.976;1.0;0.924;0.944;0.903;0.984;1.0;1.0;0.968;0.968;0.968;1.0;0.695;1.0;0.854;0.841;0.841;0.805;0.817;1.0;0.976;0.976;1.0;1.0
