;ENSCAFT00000018209_90_90;ENSCAFT00000043863_90_90;ENST00000264183_90_90;ENST00000349213_90_90;ENST00000366603_90_90;ENST00000418304_90_90;ENST00000421364_90_90;ENST00000444620_90_90;ENST00000474953_90_90;ENSMUST00000039538_90_90;ENSMUST00000110533_90_90;ENSMUST00000110534_90_90;ENSMUST00000110536_90_90;ENSMUST00000129488_90_90;ENSMUST00000151151_90_90;ENSMUST00000222928_90_90
ENSCAFT00000018209_90_90;1.0;0.708;0.88;0.667;0.88;0.333;0.769;0.24;0.2;0.708;0.24;0.885;0.708;0.375;0.04;0.125
ENSCAFT00000043863_90_90;0.708;1.0;0.6;0.833;0.6;0.389;0.5;0.263;0.278;0.889;0.263;0.615;0.889;0.368;0.056;0.111
ENST00000264183_90_90;0.88;0.6;1.0;0.696;1.0;0.348;0.875;0.25;0.208;0.6;0.25;0.846;0.6;0.391;0.042;0.13
ENST00000349213_90_90;0.667;0.833;0.696;1.0;0.696;0.5;0.583;0.278;0.294;0.833;0.353;0.577;0.833;0.471;0.059;0.188
ENST00000366603_90_90;0.88;0.6;1.0;0.696;1.0;0.348;0.875;0.25;0.208;0.6;0.25;0.846;0.6;0.391;0.042;0.13
ENST00000418304_90_90;0.333;0.389;0.348;0.5;0.348;1.0;0.364;0.0;0.0;0.389;0.667;0.269;0.389;0.7;0.0;0.375
ENST00000421364_90_90;0.769;0.5;0.875;0.583;0.875;0.364;1.0;0.261;0.167;0.5;0.261;0.741;0.5;0.409;0.091;0.136
ENST00000444620_90_90;0.24;0.263;0.25;0.278;0.25;0.0;0.261;1.0;0.444;0.263;0.0;0.231;0.263;0.0;0.125;0.0
ENST00000474953_90_90;0.2;0.278;0.208;0.294;0.208;0.0;0.167;0.444;1.0;0.278;0.0;0.192;0.278;0.0;0.143;0.0
ENSMUST00000039538_90_90;0.708;0.889;0.6;0.833;0.6;0.389;0.5;0.263;0.278;1.0;0.333;0.68;1.0;0.444;0.056;0.176
ENSMUST00000110533_90_90;0.24;0.263;0.25;0.353;0.25;0.667;0.261;0.0;0.0;0.333;1.0;0.231;0.333;0.6;0.0;0.429
ENSMUST00000110534_90_90;0.885;0.615;0.846;0.577;0.846;0.269;0.741;0.231;0.192;0.68;0.231;1.0;0.68;0.36;0.038;0.12
ENSMUST00000110536_90_90;0.708;0.889;0.6;0.833;0.6;0.389;0.5;0.263;0.278;1.0;0.333;0.68;1.0;0.444;0.056;0.176
ENSMUST00000129488_90_90;0.375;0.368;0.391;0.471;0.391;0.7;0.409;0.0;0.0;0.444;0.6;0.36;0.444;1.0;0.0;0.333
ENSMUST00000151151_90_90;0.04;0.056;0.042;0.059;0.042;0.0;0.091;0.125;0.143;0.056;0.0;0.038;0.056;0.0;1.0;0.0
ENSMUST00000222928_90_90;0.125;0.111;0.13;0.188;0.13;0.375;0.136;0.0;0.0;0.176;0.429;0.12;0.176;0.333;0.0;1.0
