;ENSCAFT00000031985_90_90;ENST00000370197_90_90;ENST00000370198_90_90;ENST00000426398_90_90;ENST00000609116_90_90;ENSMUST00000029780_90_90;ENSMUST00000195902_90_90;ENSMUST00000197387_90_90;ENSMUST00000197464_90_90;ENSMUST00000197833_90_90;ENSMUST00000198403_90_90;ENSMUST00000200097_90_90
ENSCAFT00000031985_90_90;1.0;0.991;0.989;0.997;0.999;0.996;0.279;0.062;0.438;0.666;0.072;0.994
ENST00000370197_90_90;0.991;1.0;0.998;0.989;0.991;0.988;0.289;0.061;0.434;0.661;0.071;0.986
ENST00000370198_90_90;0.989;0.998;1.0;0.991;0.989;0.986;0.289;0.062;0.434;0.662;0.071;0.988
ENST00000426398_90_90;0.997;0.989;0.991;1.0;0.998;0.996;0.28;0.062;0.439;0.668;0.072;0.997
ENST00000609116_90_90;0.999;0.991;0.989;0.998;1.0;0.997;0.279;0.062;0.438;0.667;0.072;0.996
ENSMUST00000029780_90_90;0.996;0.988;0.986;0.996;0.997;1.0;0.279;0.062;0.439;0.669;0.071;0.998
ENSMUST00000195902_90_90;0.279;0.289;0.289;0.28;0.279;0.279;1.0;0.213;0.0;0.307;0.0;0.28
ENSMUST00000197387_90_90;0.062;0.061;0.062;0.062;0.062;0.062;0.213;1.0;0.0;0.093;0.0;0.062
ENSMUST00000197464_90_90;0.438;0.434;0.434;0.439;0.438;0.439;0.0;0.0;1.0;0.654;0.152;0.44
ENSMUST00000197833_90_90;0.666;0.661;0.662;0.668;0.667;0.669;0.307;0.093;0.654;1.0;0.105;0.67
ENSMUST00000198403_90_90;0.072;0.071;0.071;0.072;0.072;0.071;0.0;0.0;0.152;0.105;1.0;0.071
ENSMUST00000200097_90_90;0.994;0.986;0.988;0.997;0.996;0.998;0.28;0.062;0.44;0.67;0.071;1.0
