;ENSCAFT00000023420_90_90;ENST00000319770_90_90;ENST00000355772_90_90;ENST00000361959_90_90;ENST00000396801_90_90;ENST00000417772_90_90;ENST00000436774_90_90;ENST00000535485_90_90;ENST00000538829_90_90;ENST00000540915_90_90;ENST00000542351_90_90;ENST00000544482_90_90;ENST00000545946_90_90;ENSMUST00000046064_90_90;ENSMUST00000054553_90_90;ENSMUST00000084275_90_90;ENSMUST00000088308_90_90;ENSMUST00000112424_90_90;ENSMUST00000112425_90_90;ENSMUST00000112427_90_90;ENSMUST00000112428_90_90;ENSMUST00000152752_90_90
ENSCAFT00000023420_90_90;;0.782;0.663;0.867;0.867;0.553;0.424;0.261;0.187;0.369;0.179;0.142;0.239;0.777;0.649;0.877;0.877;0.832;0.793;0.877;0.777;0.169
ENST00000319770_90_90;0.782;;;;;;;;;;;;;0.827;0.756;0.803;0.803;0.76;0.878;0.803;0.827;0.177
ENST00000355772_90_90;0.663;;;;;;;;;;;;;0.712;0.887;0.69;0.69;0.721;0.756;0.69;0.712;0.172
ENST00000361959_90_90;0.867;;;;;;;;;;;;;0.76;0.69;0.885;0.885;0.841;0.803;0.885;0.76;0.16
ENST00000396801_90_90;0.867;;;;;;;;;;;;;0.76;0.69;0.885;0.885;0.841;0.803;0.885;0.76;0.16
ENST00000417772_90_90;0.553;;;;;;;;;;;;;0.53;0.353;0.509;0.509;0.466;0.473;0.509;0.53;0.249
ENST00000436774_90_90;0.424;;;;;;;;;;;;;0.427;0.388;0.414;0.414;0.433;0.454;0.414;0.427;0.351
ENST00000535485_90_90;0.261;;;;;;;;;;;;;0.248;0.184;0.24;0.24;0.251;0.264;0.24;0.248;0.588
ENST00000538829_90_90;0.187;;;;;;;;;;;;;0.179;0.121;0.173;0.173;0.127;0.19;0.173;0.179;0.407
ENST00000540915_90_90;0.369;;;;;;;;;;;;;0.345;0.232;0.336;0.336;0.289;0.367;0.336;0.345;0.444
ENST00000542351_90_90;0.179;;;;;;;;;;;;;0.17;0.123;0.165;0.165;0.119;0.181;0.165;0.17;0.428
ENST00000544482_90_90;0.142;;;;;;;;;;;;;0.139;0.127;0.134;0.134;0.104;0.147;0.134;0.139;0.485
ENST00000545946_90_90;0.239;;;;;;;;;;;;;0.266;0.334;0.26;0.26;0.272;0.283;0.26;0.266;0.0
ENSMUST00000046064_90_90;0.777;0.827;0.712;0.76;0.76;0.53;0.427;0.248;0.179;0.345;0.17;0.139;0.266;;;;;;;;;
ENSMUST00000054553_90_90;0.649;0.756;0.887;0.69;0.69;0.353;0.388;0.184;0.121;0.232;0.123;0.127;0.334;;;;;;;;;
ENSMUST00000084275_90_90;0.877;0.803;0.69;0.885;0.885;0.509;0.414;0.24;0.173;0.336;0.165;0.134;0.26;;;;;;;;;
ENSMUST00000088308_90_90;0.877;0.803;0.69;0.885;0.885;0.509;0.414;0.24;0.173;0.336;0.165;0.134;0.26;;;;;;;;;
ENSMUST00000112424_90_90;0.832;0.76;0.721;0.841;0.841;0.466;0.433;0.251;0.127;0.289;0.119;0.104;0.272;;;;;;;;;
ENSMUST00000112425_90_90;0.793;0.878;0.756;0.803;0.803;0.473;0.454;0.264;0.19;0.367;0.181;0.147;0.283;;;;;;;;;
ENSMUST00000112427_90_90;0.877;0.803;0.69;0.885;0.885;0.509;0.414;0.24;0.173;0.336;0.165;0.134;0.26;;;;;;;;;
ENSMUST00000112428_90_90;0.777;0.827;0.712;0.76;0.76;0.53;0.427;0.248;0.179;0.345;0.17;0.139;0.266;;;;;;;;;
ENSMUST00000152752_90_90;0.169;0.177;0.172;0.16;0.16;0.249;0.351;0.588;0.407;0.444;0.428;0.485;0.0;;;;;;;;;
