;ENSCAFT00000001061_90_90;ENST00000297447_90_90;ENST00000312046_90_90;ENST00000435082_90_90;ENST00000438229_90_90;ENST00000442977_90_90;ENST00000449762_90_90;ENST00000497705_90_90;ENST00000517566_90_90;ENST00000517686_90_90;ENST00000519415_90_90;ENST00000521592_90_90;ENST00000531443_90_90;ENSMUST00000022918_90_90;ENSMUST00000090095_90_90;ENSMUST00000090096_90_90;ENSMUST00000110297_90_90;ENSMUST00000166917_90_90;ENSMUST00000170127_90_90;ENSMUST00000179393_90_90
ENSCAFT00000001061_90_90;1.0;0.217;0.783;0.043;0.043;0.87;0.174;0.565;0.957;0.13;0.522;0.043;0.913;0.708;0.667;0.667;0.958;0.167;0.792;0.667
ENST00000297447_90_90;0.217;1.0;0.143;0.111;0.0;0.179;0.833;0.0;0.172;0.0;0.1;0.167;0.138;0.294;0.235;0.235;0.227;0.833;0.19;0.235
ENST00000312046_90_90;0.783;0.143;1.0;0.154;0.154;0.767;0.148;0.607;0.742;0.148;0.556;0.038;0.767;0.7;0.737;0.737;0.696;0.211;0.947;0.737
ENST00000435082_90_90;0.043;0.111;0.154;1.0;0.333;0.033;0.125;0.0;0.032;0.0;0.0;0.0;0.033;0.056;0.059;0.059;0.043;0.143;0.158;0.059
ENST00000438229_90_90;0.043;0.0;0.154;0.333;1.0;0.069;0.0;0.095;0.067;0.286;0.0;0.0;0.069;0.0;0.0;0.0;0.045;0.0;0.105;0.0
ENST00000442977_90_90;0.87;0.179;0.767;0.033;0.069;1.0;0.143;0.586;0.897;0.143;0.536;0.037;0.862;0.789;0.737;0.737;0.857;0.211;0.762;0.737
ENST00000449762_90_90;0.174;0.833;0.148;0.125;0.0;0.143;1.0;0.0;0.138;0.0;0.105;0.2;0.143;0.235;0.25;0.25;0.182;1.0;0.2;0.25
ENST00000497705_90_90;0.565;0.0;0.607;0.0;0.095;0.586;0.0;1.0;0.567;0.2;0.458;0.0;0.586;0.5;0.529;0.529;0.524;0.0;0.579;0.529
ENST00000517566_90_90;0.957;0.172;0.742;0.032;0.067;0.897;0.138;0.567;1.0;0.138;0.517;0.036;0.964;0.714;0.667;0.667;0.952;0.19;0.696;0.667
ENST00000517686_90_90;0.13;0.0;0.148;0.0;0.286;0.143;0.0;0.2;0.138;1.0;0.0;0.0;0.143;0.056;0.059;0.059;0.143;0.0;0.158;0.059
ENST00000519415_90_90;0.522;0.1;0.556;0.0;0.0;0.536;0.105;0.458;0.517;0.0;1.0;0.062;0.536;0.625;0.667;0.667;0.476;0.154;0.526;0.667
ENST00000521592_90_90;0.043;0.167;0.038;0.0;0.0;0.037;0.2;0.0;0.036;0.0;0.062;1.0;0.037;0.062;0.067;0.067;0.048;0.2;0.053;0.067
ENST00000531443_90_90;0.913;0.138;0.767;0.033;0.069;0.862;0.143;0.586;0.964;0.143;0.536;0.037;1.0;0.667;0.7;0.7;0.905;0.2;0.727;0.7
ENSMUST00000022918_90_90;0.708;0.294;0.7;0.056;0.0;0.789;0.235;0.5;0.714;0.056;0.625;0.062;0.667;1.0;0.947;0.947;0.731;0.2;0.692;0.947
ENSMUST00000090095_90_90;0.667;0.235;0.737;0.059;0.0;0.737;0.25;0.529;0.667;0.059;0.667;0.067;0.7;0.947;1.0;1.0;0.692;0.211;0.72;1.0
ENSMUST00000090096_90_90;0.667;0.235;0.737;0.059;0.0;0.737;0.25;0.529;0.667;0.059;0.667;0.067;0.7;0.947;1.0;1.0;0.692;0.211;0.72;1.0
ENSMUST00000110297_90_90;0.958;0.227;0.696;0.043;0.045;0.857;0.182;0.524;0.952;0.143;0.476;0.048;0.905;0.731;0.692;0.692;1.0;0.148;0.7;0.692
ENSMUST00000166917_90_90;0.167;0.833;0.211;0.143;0.0;0.211;1.0;0.0;0.19;0.0;0.154;0.2;0.2;0.2;0.211;0.211;0.148;1.0;0.154;0.211
ENSMUST00000170127_90_90;0.792;0.19;0.947;0.158;0.105;0.762;0.2;0.579;0.696;0.158;0.526;0.053;0.727;0.692;0.72;0.72;0.7;0.154;1.0;0.72
ENSMUST00000179393_90_90;0.667;0.235;0.737;0.059;0.0;0.737;0.25;0.529;0.667;0.059;0.667;0.067;0.7;0.947;1.0;1.0;0.692;0.211;0.72;1.0
