;transcript16_ggor;transcript17_ggor;transcript11_ggor;transcript18_ggor;transcript12_ppan;transcript19_ppan;transcript20_ppan;transcript12_ptro;transcript12_hsap;transcript19_hsap;transcript20_hsap;transcript12_ggor;transcript19_ggor;transcript8_pabe;transcript18_hsap;transcript21_hsap
transcript16_ggor;1.0;1.0;0.618;0.529;0.526;0.5;0.541;0.5;0.475;0.45;0.462;0.647;0.6;0.705;0.31;0.622
transcript17_ggor;1.0;1.0;0.618;0.529;0.526;0.5;0.541;0.5;0.475;0.45;0.462;0.647;0.6;0.705;0.31;0.622
transcript11_ggor;0.618;0.618;1.0;0.864;0.424;0.394;0.394;0.438;0.371;0.343;0.314;0.552;0.5;0.455;0.467;0.409
transcript18_ggor;0.529;0.529;0.864;1.0;0.333;0.303;0.303;0.344;0.286;0.257;0.229;0.448;0.4;0.386;0.519;0.341
transcript12_ppan;0.526;0.526;0.424;0.333;1.0;0.96;0.96;0.96;0.889;0.852;0.815;0.778;0.778;0.595;0.343;0.585
transcript19_ppan;0.5;0.5;0.394;0.303;0.96;1.0;0.92;0.92;0.852;0.885;0.778;0.741;0.808;0.571;0.314;0.561
transcript20_ppan;0.541;0.541;0.394;0.303;0.96;0.92;1.0;0.92;0.852;0.815;0.846;0.741;0.741;0.571;0.314;0.561
transcript12_ptro;0.5;0.5;0.438;0.344;0.96;0.92;0.92;1.0;0.852;0.815;0.778;0.741;0.741;0.571;0.353;0.561
transcript12_hsap;0.475;0.475;0.371;0.286;0.889;0.852;0.852;0.852;1.0;0.962;0.923;0.69;0.69;0.545;0.412;0.65
transcript19_hsap;0.45;0.45;0.343;0.257;0.852;0.885;0.815;0.815;0.962;1.0;0.885;0.655;0.714;0.523;0.382;0.625
transcript20_hsap;0.462;0.462;0.314;0.229;0.815;0.778;0.846;0.778;0.923;0.885;1.0;0.621;0.621;0.5;0.394;0.6
transcript12_ggor;0.647;0.647;0.552;0.448;0.778;0.741;0.741;0.741;0.69;0.655;0.621;1.0;0.917;0.477;0.25;0.465
transcript19_ggor;0.6;0.6;0.5;0.4;0.778;0.808;0.741;0.741;0.69;0.714;0.621;0.917;1.0;0.477;0.216;0.465
transcript8_pabe;0.705;0.705;0.455;0.386;0.595;0.571;0.571;0.571;0.545;0.523;0.5;0.477;0.477;1.0;0.455;0.864
transcript18_hsap;0.31;0.31;0.467;0.519;0.343;0.314;0.314;0.353;0.412;0.382;0.394;0.25;0.216;0.455;1.0;0.55
transcript21_hsap;0.622;0.622;0.409;0.341;0.585;0.561;0.561;0.561;0.65;0.625;0.6;0.465;0.465;0.864;0.55;1.0
