;ENSCAFT00000014422_90_90;ENSCAFT00000021670_90_90;ENST00000265969_90_90;ENST00000379472_90_90;ENST00000638366_90_90;ENST00000638825_90_90;ENST00000639325_90_90;ENST00000639495_90_90;ENST00000640318_90_90;ENST00000640461_90_90;ENST00000640909_90_90;ENST00000302127_90_90;ENST00000315987_90_90;ENST00000369697_90_90;ENSMUST00000079169_90_90;ENSMUST00000098761_90_90;ENSMUST00000118360_90_90;ENSMUST00000025202_90_90;ENSMUST00000160433_90_90
ENSCAFT00000014422_90_90;1.0;1.0;0.985;0.856;0.096;0.13;0.071;0.229;0.746;0.04;0.505;0.835;0.863;0.835;0.87;0.842;0.87;0.856;0.999
ENSCAFT00000021670_90_90;1.0;1.0;0.71;0.725;0.087;0.022;0.069;0.208;0.522;0.039;0.337;0.971;1.0;0.971;1.0;0.971;1.0;0.725;0.71
ENST00000265969_90_90;0.985;0.71;1.0;0.843;0.093;0.131;0.066;0.216;0.686;0.038;0.52;0.625;0.644;0.625;0.648;0.629;0.648;0.855;0.986
ENST00000379472_90_90;0.856;0.725;0.843;1.0;0.1;0.024;0.074;0.244;0.599;0.043;0.371;0.698;0.725;0.698;0.725;0.698;0.725;1.0;0.843
ENST00000638366_90_90;0.096;0.087;0.093;0.1;1.0;0.12;0.308;0.26;0.107;0.196;0.174;0.062;0.084;0.062;0.084;0.062;0.084;0.1;0.093
ENST00000638825_90_90;0.13;0.022;0.131;0.024;0.12;1.0;0.082;0.056;0.152;0.102;0.251;0.0;0.021;0.0;0.021;0.0;0.021;0.024;0.13
ENST00000639325_90_90;0.071;0.069;0.066;0.074;0.308;0.082;1.0;0.446;0.205;0.671;0.116;0.046;0.069;0.046;0.069;0.046;0.069;0.083;0.072
ENST00000639495_90_90;0.229;0.208;0.216;0.244;0.26;0.056;0.446;1.0;0.36;0.382;0.389;0.184;0.207;0.184;0.207;0.184;0.207;0.266;0.232
ENST00000640318_90_90;0.746;0.522;0.686;0.599;0.107;0.152;0.205;0.36;1.0;0.138;0.54;0.459;0.479;0.459;0.482;0.462;0.482;0.662;0.757
ENST00000640461_90_90;0.04;0.039;0.038;0.043;0.196;0.102;0.671;0.382;0.138;1.0;0.069;0.016;0.039;0.016;0.039;0.016;0.039;0.047;0.041
ENST00000640909_90_90;0.505;0.337;0.52;0.371;0.174;0.251;0.116;0.389;0.54;0.069;1.0;0.286;0.306;0.286;0.308;0.288;0.308;0.376;0.505
ENST00000302127_90_90;0.835;0.971;0.625;0.698;0.062;0.0;0.046;0.184;0.459;0.016;0.286;1.0;0.971;1.0;0.971;1.0;0.971;0.698;0.619
ENST00000315987_90_90;0.863;1.0;0.644;0.725;0.084;0.021;0.069;0.207;0.479;0.039;0.306;0.971;1.0;0.971;1.0;0.971;1.0;0.725;0.638
ENST00000369697_90_90;0.835;0.971;0.625;0.698;0.062;0.0;0.046;0.184;0.459;0.016;0.286;1.0;0.971;1.0;0.971;1.0;0.971;0.698;0.619
ENSMUST00000079169_90_90;0.87;1.0;0.648;0.725;0.084;0.021;0.069;0.207;0.482;0.039;0.308;0.971;1.0;0.971;1.0;0.971;1.0;0.725;0.642
ENSMUST00000098761_90_90;0.842;0.971;0.629;0.698;0.062;0.0;0.046;0.184;0.462;0.016;0.288;1.0;0.971;1.0;0.971;1.0;0.971;0.698;0.623
ENSMUST00000118360_90_90;0.87;1.0;0.648;0.725;0.084;0.021;0.069;0.207;0.482;0.039;0.308;0.971;1.0;0.971;1.0;0.971;1.0;0.725;0.642
ENSMUST00000025202_90_90;0.856;0.725;0.855;1.0;0.1;0.024;0.083;0.266;0.662;0.047;0.376;0.698;0.725;0.698;0.725;0.698;0.725;1.0;0.843
ENSMUST00000160433_90_90;0.999;0.71;0.986;0.843;0.093;0.13;0.072;0.232;0.757;0.041;0.505;0.619;0.638;0.619;0.642;0.623;0.642;0.843;1.0
