;ENSCAFT00000007234_90_90;ENSCAFT00000044406_90_90;ENST00000356360_90_90;ENST00000393346_90_90;ENST00000525162_90_90;ENST00000526033_90_90;ENST00000526961_90_90;ENST00000528256_90_90;ENST00000528398_90_90;ENST00000529016_90_90;ENST00000529760_90_90;ENST00000530542_90_90;ENST00000530692_90_90;ENST00000531558_90_90;ENST00000531930_90_90;ENST00000532041_90_90;ENST00000532317_90_90;ENST00000532603_90_90;ENST00000534412_90_90;ENST00000630913_90_90;ENSMUST00000049537_90_90;ENSMUST00000207084_90_90;ENSMUST00000207225_90_90;ENSMUST00000207484_90_90;ENSMUST00000208089_90_90;ENSMUST00000208684_90_90;ENSMUST00000208730_90_90;ENSMUST00000208742_90_90;ENSMUST00000209068_90_90
ENSCAFT00000007234_90_90;1.0;0.787;0.847;0.874;0.205;0.881;0.341;0.205;0.752;0.329;0.401;0.404;0.232;0.066;0.257;0.145;0.813;0.178;0.066;0.145;0.857;0.709;0.814;0.864;0.495;0.117;0.805;0.874;0.812
ENSCAFT00000044406_90_90;0.787;1.0;0.837;0.866;0.232;0.873;0.315;0.232;0.852;0.373;0.472;0.367;0.331;0.075;0.291;0.165;0.944;0.202;0.075;0.165;0.869;0.69;0.923;0.876;0.632;0.133;0.935;0.865;0.943
ENST00000356360_90_90;0.847;0.837;1.0;0.969;0.234;0.959;0.357;0.234;0.814;0.386;0.423;0.451;0.227;0.076;0.293;0.166;0.882;0.211;0.076;0.166;0.949;0.783;0.884;0.957;0.518;0.134;0.873;0.968;0.881
ENST00000393346_90_90;0.874;0.866;0.969;1.0;0.226;0.989;0.387;0.227;0.845;0.374;0.454;0.463;0.256;0.074;0.284;0.161;0.912;0.204;0.074;0.161;0.979;0.813;0.915;0.987;0.547;0.13;0.904;0.999;0.911
ENST00000525162_90_90;0.205;0.232;0.234;0.226;1.0;0.229;0.0;0.796;0.268;0.0;0.0;0.0;0.0;0.024;0.797;0.272;0.242;0.0;0.024;0.272;0.225;0.138;0.247;0.223;0.0;0.572;0.243;0.226;0.241
ENST00000526033_90_90;0.881;0.873;0.959;0.989;0.229;1.0;0.391;0.229;0.854;0.378;0.458;0.452;0.259;0.074;0.287;0.163;0.922;0.207;0.074;0.163;0.969;0.803;0.925;0.976;0.553;0.131;0.913;0.988;0.921
ENST00000526961_90_90;0.341;0.315;0.357;0.387;0.0;0.391;1.0;0.0;0.353;0.45;0.629;0.581;0.63;0.0;0.0;0.0;0.337;0.506;0.0;0.0;0.402;0.474;0.328;0.399;0.455;0.0;0.34;0.387;0.337
ENST00000528256_90_90;0.205;0.232;0.234;0.227;0.796;0.229;0.0;1.0;0.231;0.0;0.0;0.0;0.0;0.077;0.799;0.39;0.243;0.0;0.077;0.39;0.225;0.107;0.247;0.224;0.0;0.571;0.244;0.226;0.242
ENST00000528398_90_90;0.752;0.852;0.814;0.845;0.268;0.854;0.353;0.231;1.0;0.442;0.535;0.419;0.293;0.008;0.296;0.09;0.903;0.242;0.008;0.09;0.826;0.799;0.906;0.834;0.643;0.154;0.894;0.844;0.902
ENST00000529016_90_90;0.329;0.373;0.386;0.374;0.0;0.378;0.45;0.0;0.442;1.0;0.764;0.755;0.349;0.0;0.0;0.0;0.399;0.353;0.0;0.0;0.362;0.445;0.396;0.369;0.588;0.0;0.391;0.374;0.399
ENST00000529760_90_90;0.401;0.472;0.423;0.454;0.0;0.458;0.629;0.0;0.535;0.764;1.0;0.704;0.534;0.0;0.0;0.0;0.504;0.434;0.0;0.0;0.469;0.555;0.495;0.466;0.711;0.0;0.508;0.454;0.504
ENST00000530542_90_90;0.404;0.367;0.451;0.463;0.0;0.452;0.581;0.0;0.419;0.755;0.704;1.0;0.347;0.0;0.0;0.0;0.381;0.277;0.0;0.0;0.461;0.568;0.389;0.457;0.555;0.0;0.384;0.463;0.381
ENST00000530692_90_90;0.232;0.331;0.227;0.256;0.0;0.259;0.63;0.0;0.293;0.349;0.534;0.347;1.0;0.0;0.0;0.0;0.283;0.591;0.0;0.0;0.27;0.31;0.272;0.268;0.492;0.0;0.285;0.256;0.283
ENST00000531558_90_90;0.066;0.075;0.076;0.074;0.024;0.074;0.0;0.077;0.008;0.0;0.0;0.0;0.0;1.0;0.064;0.395;0.079;0.0;1.0;0.395;0.073;0.008;0.08;0.073;0.0;0.0;0.079;0.074;0.079
ENST00000531930_90_90;0.257;0.291;0.293;0.284;0.797;0.287;0.0;0.799;0.296;0.0;0.0;0.0;0.0;0.064;1.0;0.324;0.304;0.0;0.064;0.324;0.282;0.168;0.31;0.28;0.0;0.456;0.306;0.284;0.303
ENST00000532041_90_90;0.145;0.165;0.166;0.161;0.272;0.163;0.0;0.39;0.09;0.0;0.0;0.0;0.0;0.395;0.324;1.0;0.172;0.0;0.395;1.0;0.16;0.023;0.175;0.159;0.0;0.394;0.173;0.16;0.171
ENST00000532317_90_90;0.813;0.944;0.882;0.912;0.242;0.922;0.337;0.243;0.903;0.399;0.504;0.381;0.283;0.079;0.304;0.172;1.0;0.219;0.079;0.172;0.916;0.728;0.978;0.923;0.583;0.139;0.991;0.911;0.999
ENST00000532603_90_90;0.178;0.202;0.211;0.204;0.0;0.207;0.506;0.0;0.242;0.353;0.434;0.277;0.591;0.0;0.0;0.0;0.219;1.0;0.0;0.0;0.204;0.251;0.223;0.202;0.318;0.0;0.22;0.204;0.219
ENST00000534412_90_90;0.066;0.075;0.076;0.074;0.024;0.074;0.0;0.077;0.008;0.0;0.0;0.0;0.0;1.0;0.064;0.395;0.079;0.0;1.0;0.395;0.073;0.008;0.08;0.073;0.0;0.0;0.079;0.074;0.079
ENST00000630913_90_90;0.145;0.165;0.166;0.161;0.272;0.163;0.0;0.39;0.09;0.0;0.0;0.0;0.0;0.395;0.324;1.0;0.172;0.0;0.395;1.0;0.16;0.023;0.175;0.159;0.0;0.394;0.173;0.16;0.171
ENSMUST00000049537_90_90;0.857;0.869;0.949;0.979;0.225;0.969;0.402;0.225;0.826;0.362;0.469;0.461;0.27;0.073;0.282;0.16;0.916;0.204;0.073;0.16;1.0;0.81;0.911;0.992;0.534;0.13;0.924;0.98;0.917
ENSMUST00000207084_90_90;0.709;0.69;0.783;0.813;0.138;0.803;0.474;0.107;0.799;0.445;0.555;0.568;0.31;0.008;0.168;0.023;0.728;0.251;0.008;0.023;0.81;1.0;0.743;0.804;0.651;0.033;0.733;0.813;0.728
ENSMUST00000207225_90_90;0.814;0.923;0.884;0.915;0.247;0.925;0.328;0.247;0.906;0.396;0.495;0.389;0.272;0.08;0.31;0.175;0.978;0.223;0.08;0.175;0.911;0.743;1.0;0.905;0.583;0.142;0.987;0.916;0.979
ENSMUST00000207484_90_90;0.864;0.876;0.957;0.987;0.223;0.976;0.399;0.224;0.834;0.369;0.466;0.457;0.268;0.073;0.28;0.159;0.923;0.202;0.073;0.159;0.992;0.804;0.905;1.0;0.541;0.129;0.917;0.988;0.924
