;ENSCAFT00000032187_90_90;ENST00000299980_90_90;ENST00000393512_90_90;ENST00000450149_90_90;ENST00000563104_90_90;ENST00000563259_90_90;ENST00000564155_90_90;ENST00000565009_90_90;ENST00000565412_90_90;ENST00000566179_90_90;ENST00000567583_90_90;ENST00000568327_90_90;ENST00000569185_90_90;ENST00000569748_90_90;ENST00000569975_90_90;ENST00000570017_90_90;ENSMUST00000034171_90_90;ENSMUST00000093157_90_90;ENSMUST00000179104_90_90
ENSCAFT00000032187_90_90;1.0;0.688;0.667;0.25;0.222;0.37;0.074;0.414;0.111;0.074;0.148;0.448;0.185;0.688;0.074;0.037;1.0;0.964;0.0
ENST00000299980_90_90;0.688;1.0;0.964;0.25;0.222;0.37;0.074;0.367;0.111;0.074;0.148;0.5;0.185;1.0;0.074;0.037;0.688;0.667;0.0
ENST00000393512_90_90;0.667;0.964;1.0;0.241;0.214;0.357;0.071;0.355;0.107;0.071;0.143;0.483;0.179;0.964;0.071;0.036;0.667;0.697;0.0
ENST00000450149_90_90;0.25;0.25;0.241;1.0;0.75;0.636;0.0;0.467;0.375;0.0;0.5;0.438;0.625;0.25;0.25;0.125;0.25;0.241;0.0
ENST00000563104_90_90;0.222;0.222;0.214;0.75;1.0;0.6;0.0;0.429;0.5;0.0;0.667;0.4;0.833;0.222;0.333;0.167;0.222;0.214;0.0
ENST00000563259_90_90;0.37;0.37;0.357;0.636;0.6;1.0;0.091;0.714;0.3;0.0;0.4;0.667;0.5;0.37;0.2;0.1;0.37;0.357;0.0
ENST00000564155_90_90;0.074;0.074;0.071;0.0;0.0;0.091;1.0;0.067;0.0;0.0;0.0;0.062;0.0;0.074;0.0;0.0;0.074;0.071;0.0
ENST00000565009_90_90;0.414;0.367;0.355;0.467;0.429;0.714;0.067;1.0;0.214;0.0;0.286;0.611;0.357;0.367;0.143;0.071;0.414;0.4;0.0
ENST00000565412_90_90;0.111;0.111;0.107;0.375;0.5;0.3;0.0;0.214;1.0;0.0;0.75;0.2;0.6;0.111;0.667;0.333;0.111;0.107;0.0
ENST00000566179_90_90;0.074;0.074;0.071;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.074;0.0;0.0;0.074;0.071;0.0
ENST00000567583_90_90;0.148;0.148;0.143;0.5;0.667;0.4;0.0;0.286;0.75;0.0;1.0;0.267;0.8;0.148;0.5;0.25;0.148;0.143;0.0
ENST00000568327_90_90;0.448;0.5;0.483;0.438;0.4;0.667;0.062;0.611;0.2;0.0;0.267;1.0;0.333;0.5;0.133;0.067;0.448;0.433;0.0
ENST00000569185_90_90;0.185;0.185;0.179;0.625;0.833;0.5;0.0;0.357;0.6;0.0;0.8;0.333;1.0;0.185;0.4;0.2;0.185;0.179;0.0
ENST00000569748_90_90;0.688;1.0;0.964;0.25;0.222;0.37;0.074;0.367;0.111;0.074;0.148;0.5;0.185;1.0;0.074;0.037;0.688;0.667;0.0
ENST00000569975_90_90;0.074;0.074;0.071;0.25;0.333;0.2;0.0;0.143;0.667;0.0;0.5;0.133;0.4;0.074;1.0;0.5;0.074;0.071;0.0
ENST00000570017_90_90;0.037;0.037;0.036;0.125;0.167;0.1;0.0;0.071;0.333;0.0;0.25;0.067;0.2;0.037;0.5;1.0;0.037;0.036;0.0
ENSMUST00000034171_90_90;1.0;0.688;0.667;0.25;0.222;0.37;0.074;0.414;0.111;0.074;0.148;0.448;0.185;0.688;0.074;0.037;1.0;0.964;0.0
ENSMUST00000093157_90_90;0.964;0.667;0.697;0.241;0.214;0.357;0.071;0.4;0.107;0.071;0.143;0.433;0.179;0.667;0.071;0.036;0.964;1.0;0.0
ENSMUST00000179104_90_90;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
