;transcript16_ggor;transcript17_ggor;transcript11_ggor;transcript18_ggor;transcript12_ppan;transcript19_ppan;transcript20_ppan;transcript12_ptro;transcript12_hsap;transcript19_hsap;transcript20_hsap;transcript12_ggor;transcript19_ggor;transcript8_pabe;transcript18_hsap;transcript21_hsap
transcript16_ggor;1.0;1.0;0.618;0.529;0.909;0.864;0.952;0.905;0.633;0.6;0.621;0.647;0.6;0.939;0.448;0.933
transcript17_ggor;1.0;1.0;0.618;0.529;0.909;0.864;0.952;0.905;0.633;0.6;0.621;0.647;0.6;0.939;0.448;0.933
transcript11_ggor;0.618;0.618;1.0;0.864;0.636;0.591;0.591;0.667;0.5;0.462;0.423;0.552;0.5;0.606;0.778;0.6
transcript18_ggor;0.529;0.529;0.864;1.0;0.5;0.455;0.455;0.524;0.385;0.346;0.308;0.448;0.4;0.515;0.933;0.5
transcript12_ppan;0.909;0.909;0.636;0.5;1.0;0.96;0.96;1.0;1.0;0.958;0.917;0.955;0.955;1.0;0.5;1.0
transcript19_ppan;0.864;0.864;0.591;0.455;0.96;1.0;0.92;0.958;0.958;1.0;0.875;0.909;1.0;0.96;0.458;0.958
transcript20_ppan;0.952;0.952;0.591;0.455;0.96;0.92;1.0;0.958;0.958;0.917;0.957;0.909;0.909;0.96;0.458;0.958
transcript12_ptro;0.905;0.905;0.667;0.524;1.0;0.958;0.958;1.0;1.0;0.957;0.913;0.952;0.952;1.0;0.522;1.0
transcript12_hsap;0.633;0.633;0.5;0.385;1.0;0.958;0.958;1.0;1.0;0.962;0.923;0.952;0.952;0.632;0.412;0.65
transcript19_hsap;0.6;0.6;0.462;0.346;0.958;1.0;0.917;0.957;0.962;1.0;0.885;0.905;1.0;0.605;0.382;0.625
transcript20_hsap;0.621;0.621;0.423;0.308;0.917;0.875;0.957;0.913;0.923;0.885;1.0;0.857;0.857;0.579;0.394;0.6
transcript12_ggor;0.647;0.647;0.552;0.448;0.955;0.909;0.909;0.952;0.952;0.905;0.857;1.0;0.917;0.636;0.36;0.667
transcript19_ggor;0.6;0.6;0.5;0.4;0.955;1.0;0.909;0.952;0.952;1.0;0.857;0.917;1.0;0.636;0.308;0.667
transcript8_pabe;0.939;0.939;0.606;0.515;1.0;0.96;0.96;1.0;0.632;0.605;0.579;0.636;0.636;1.0;0.526;1.0
transcript18_hsap;0.448;0.448;0.778;0.933;0.5;0.458;0.458;0.522;0.412;0.382;0.394;0.36;0.308;0.526;1.0;0.55
transcript21_hsap;0.933;0.933;0.6;0.5;1.0;0.958;0.958;1.0;0.65;0.625;0.6;0.667;0.667;1.0;0.55;1.0
