;transcript7_ENSMPUG00000020072;transcript25_ENSMPUG00000020072;transcript28_ENSMPUG00000020072;transcript12_ENSECAG00000007947;transcript23_ENSECAG00000007947;transcript31_ENSECAG00000007947;transcript32_ENSECAG00000007947;transcript33_ENSECAG00000007947;transcript7_ENSMLUG00000027828;transcript12_ENSMLUG00000027828;transcript15_ENSMLUG00000027828;transcript16_ENSMLUG00000027828;transcript25_ENSMLUG00000027828;transcript26_ENSMLUG00000027828;transcript27_ENSMLUG00000027828;transcript7_ENSSTOG00000019743;transcript7_ENSCCNG00000000226
transcript7_ENSMPUG00000020072;1.0;0.943;0.911;1.0;1.0;1.0;0.934;0.987;0.052;1.0;0.981;0.806;0.825;0.749;0.692;1.0;1.0
transcript25_ENSMPUG00000020072;0.943;1.0;0.966;0.934;0.934;0.934;1.0;0.947;0.055;0.943;0.924;0.749;0.768;0.794;0.635;0.833;0.943
transcript28_ENSMPUG00000020072;0.911;0.966;1.0;0.9;0.9;0.9;0.963;0.912;0.057;0.91;0.891;0.716;0.735;0.759;0.602;0.833;0.911
transcript12_ENSECAG00000007947;1.0;0.934;0.9;1.0;1.0;1.0;0.944;0.986;0.064;1.0;0.982;0.807;0.826;0.752;0.702;1.0;1.0
transcript23_ENSECAG00000007947;1.0;0.934;0.9;1.0;1.0;1.0;0.944;0.986;0.064;1.0;0.982;0.807;0.826;0.752;0.702;1.0;1.0
transcript31_ENSECAG00000007947;1.0;0.934;0.9;1.0;1.0;1.0;0.944;0.986;0.064;1.0;0.982;0.807;0.826;0.752;0.702;1.0;1.0
transcript32_ENSECAG00000007947;0.934;1.0;0.963;0.944;0.944;0.944;1.0;0.957;0.068;0.945;0.927;0.752;0.771;0.796;0.647;0.842;0.944
transcript33_ENSECAG00000007947;0.987;0.947;0.912;0.986;0.986;0.986;0.957;1.0;0.065;0.986;0.968;0.794;0.812;0.763;0.688;0.947;0.986
transcript7_ENSMLUG00000027828;0.052;0.055;0.057;0.064;0.064;0.064;0.068;0.065;1.0;0.052;0.053;0.065;0.064;0.069;0.075;0.157;0.052
transcript12_ENSMLUG00000027828;1.0;0.943;0.91;1.0;1.0;1.0;0.945;0.986;0.052;1.0;0.981;0.805;0.824;0.757;0.7;1.0;1.0
transcript15_ENSMLUG00000027828;0.981;0.924;0.891;0.982;0.982;0.982;0.927;0.968;0.053;0.981;1.0;0.821;0.805;0.771;0.714;0.929;0.981
transcript16_ENSMLUG00000027828;0.806;0.749;0.716;0.807;0.807;0.807;0.752;0.794;0.065;0.805;0.821;1.0;0.977;0.94;0.87;0.929;0.805
transcript25_ENSMLUG00000027828;0.825;0.768;0.735;0.826;0.826;0.826;0.771;0.812;0.064;0.824;0.805;0.977;1.0;0.918;0.85;1.0;0.824
transcript26_ENSMLUG00000027828;0.749;0.794;0.759;0.752;0.752;0.752;0.796;0.763;0.069;0.757;0.771;0.94;0.918;1.0;0.809;0.8;0.757
transcript27_ENSMLUG00000027828;0.692;0.635;0.602;0.702;0.702;0.702;0.647;0.688;0.075;0.7;0.714;0.87;0.85;0.809;1.0;0.614;0.7
transcript7_ENSSTOG00000019743;1.0;0.833;0.833;1.0;1.0;1.0;0.842;0.947;0.157;1.0;0.929;0.929;1.0;0.8;0.614;1.0;1.0
transcript7_ENSCCNG00000000226;1.0;0.943;0.911;1.0;1.0;1.0;0.944;0.986;0.052;1.0;0.981;0.805;0.824;0.757;0.7;1.0;1.0
