;transcript59_ENSMUGG00000013649;transcript39_ENSPEMG00000024651;transcript37_ENSPEMG00000024651;transcript65_ENSCGRG00000018457;transcript37_ENSCGRG00001010245;transcript54_ENSCGRG00015005362;transcript59_ENSPEMG00000024651;transcript57_ENSPEMG00000024651;transcript57_ENSMUGG00000013649;transcript37_ENSMUGG00000013592;transcript51_ENSMUGG00000013592;transcript26_ENSSTOG00000019743;transcript37_ENSSTOG00000019743;transcript38_ENSCGRG00015005362;transcript8_ENSCGRG00000018457;transcript38_ENSCGRG00000018457;transcript8_ENSCGRG00015005362;transcript37_ENSMUGG00000013649;transcript38_ENSSTOG00000019743;transcript8_ENSSTOG00000019743;transcript38_ENSRNOG00000031503;transcript56_ENSCGRG00000018457;transcript9_ENSCGRG00015005362;transcript52_ENSCGRG00000018457;transcript52_ENSCGRG00001010245;transcript58_ENSPEMG00000024651;transcript9_ENSPEMG00000024651;transcript33_ENSPEMG00000024651;transcript56_ENSPEMG00000024651;transcript8_ENSPEMG00000024651;transcript58_ENSMUGG00000013649;transcript40_ENSSTOG00000019743;transcript29_ENSSTOG00000019743;transcript39_ENSSTOG00000019743;transcript8_ENSNGAG00000018584;transcript33_ENSNGAG00000018584
transcript59_ENSMUGG00000013649;1.0;0.875;0.843;0.744;0.853;0.877;0.916;0.689;0.719;0.851;0.761;0.799;0.853;0.77;0.588;0.778;0.578;0.852;0.775;0.597;0.818;0.738;0.815;0.758;0.758;0.829;0.806;0.806;0.72;0.581;0.829;0.799;0.799;0.888;0.557;0.789
transcript39_ENSPEMG00000024651;0.875;1.0;0.853;0.792;0.881;0.847;0.947;0.672;0.668;0.876;0.75;0.869;0.841;0.839;0.653;0.845;0.645;0.842;0.847;0.668;0.893;0.788;0.853;0.804;0.806;0.799;0.863;0.863;0.778;0.651;0.788;0.869;0.869;0.984;0.627;0.835
transcript37_ENSPEMG00000024651;0.843;0.853;1.0;0.804;0.984;0.961;0.804;0.796;0.79;0.981;0.851;0.881;0.982;0.85;0.664;0.857;0.658;0.982;0.857;0.676;0.898;0.813;0.864;0.816;0.817;0.927;0.873;0.873;0.802;0.661;0.911;0.881;0.881;0.85;0.623;0.831
transcript65_ENSCGRG00000018457;0.744;0.792;0.804;1.0;0.842;0.834;0.796;0.647;0.679;0.851;0.758;0.853;0.805;0.882;0.707;0.885;0.702;0.819;0.889;0.724;0.915;0.848;0.925;0.986;0.986;0.865;0.913;0.913;0.827;0.698;0.889;0.853;0.853;0.796;0.661;0.885
transcript37_ENSCGRG00001010245;0.853;0.881;0.984;0.842;1.0;0.976;0.83;0.782;0.819;0.994;0.872;0.935;0.998;0.895;0.694;0.899;0.689;0.998;0.903;0.712;0.957;0.852;0.913;0.855;0.86;0.913;0.9;0.9;0.827;0.683;0.921;0.935;0.935;0.901;0.646;0.876
transcript54_ENSCGRG00015005362;0.877;0.847;0.961;0.834;0.976;1.0;0.824;0.806;0.844;0.977;0.884;0.921;0.976;0.859;0.668;0.867;0.661;0.976;0.865;0.679;0.924;0.829;0.902;0.847;0.85;0.936;0.889;0.889;0.805;0.656;0.945;0.921;0.921;0.865;0.627;0.869
transcript59_ENSPEMG00000024651;0.916;0.947;0.804;0.796;0.83;0.824;1.0;0.648;0.644;0.826;0.724;0.847;0.793;0.821;0.653;0.829;0.639;0.794;0.826;0.664;0.872;0.793;0.857;0.807;0.808;0.791;0.872;0.872;0.786;0.65;0.777;0.847;0.847;0.932;0.624;0.833
transcript57_ENSPEMG00000024651;0.689;0.672;0.796;0.647;0.782;0.806;0.648;1.0;0.978;0.789;0.879;0.73;0.782;0.671;0.481;0.679;0.475;0.782;0.676;0.489;0.725;0.639;0.71;0.659;0.661;0.769;0.718;0.718;0.63;0.476;0.753;0.73;0.73;0.671;0.467;0.701
transcript57_ENSMUGG00000013649;0.719;0.668;0.79;0.679;0.819;0.844;0.644;0.978;1.0;0.823;0.929;0.761;0.818;0.706;0.508;0.713;0.502;0.818;0.711;0.518;0.767;0.671;0.751;0.693;0.696;0.762;0.72;0.72;0.632;0.479;0.785;0.761;0.761;0.699;0.487;0.741
transcript37_ENSMUGG00000013592;0.851;0.876;0.981;0.851;0.994;0.977;0.826;0.789;0.823;1.0;0.877;0.922;0.996;0.903;0.703;0.909;0.697;0.996;0.912;0.72;0.965;0.857;0.922;0.864;0.867;0.915;0.906;0.906;0.831;0.689;0.921;0.922;0.922;0.894;0.655;0.885
transcript51_ENSMUGG00000013592;0.761;0.75;0.851;0.758;0.872;0.884;0.724;0.879;0.929;0.877;1.0;0.834;0.873;0.787;0.588;0.794;0.581;0.873;0.793;0.599;0.853;0.762;0.83;0.772;0.775;0.811;0.804;0.804;0.728;0.564;0.827;0.834;0.834;0.776;0.558;0.811
transcript26_ENSSTOG00000019743;0.799;0.869;0.881;0.853;0.935;0.921;0.847;0.73;0.761;0.922;0.834;1.0;0.891;0.878;0.696;0.885;0.687;0.892;0.883;0.706;0.98;0.849;0.918;0.865;0.877;0.853;0.91;0.91;0.83;0.687;0.859;1.0;1.0;0.882;0.672;0.907
transcript37_ENSSTOG00000019743;0.853;0.841;0.982;0.805;0.998;0.976;0.793;0.782;0.818;0.996;0.873;0.891;1.0;0.855;0.661;0.86;0.656;1.0;0.862;0.675;0.906;0.812;0.873;0.818;0.821;0.912;0.861;0.861;0.791;0.652;0.92;0.891;0.891;0.859;0.619;0.841
transcript38_ENSCGRG00015005362;0.77;0.839;0.85;0.882;0.895;0.859;0.821;0.671;0.706;0.903;0.787;0.878;0.855;1.0;0.793;1.0;0.79;0.869;1.0;0.811;1.0;0.943;0.957;0.895;0.903;0.797;0.944;0.944;0.907;0.775;0.807;0.878;0.878;0.847;0.742;0.901
transcript8_ENSCGRG00000018457;0.588;0.653;0.664;0.707;0.694;0.668;0.653;0.481;0.508;0.703;0.588;0.696;0.661;0.793;1.0;0.793;0.996;0.672;0.793;1.0;0.803;0.736;0.76;0.7;0.707;0.628;0.754;0.754;0.712;0.982;0.626;0.696;0.696;0.651;0.94;0.712
transcript38_ENSCGRG00000018457;0.778;0.845;0.857;0.885;0.899;0.867;0.829;0.679;0.713;0.909;0.794;0.885;0.86;1.0;0.793;1.0;0.79;0.875;1.0;0.811;1.0;0.946;0.96;0.897;0.905;0.805;0.946;0.946;0.909;0.775;0.815;0.885;0.885;0.852;0.742;0.903
transcript8_ENSCGRG00015005362;0.578;0.645;0.658;0.702;0.689;0.661;0.639;0.475;0.502;0.697;0.581;0.687;0.656;0.79;0.996;0.79;1.0;0.666;0.79;0.996;0.799;0.731;0.755;0.695;0.702;0.617;0.749;0.749;0.706;0.978;0.615;0.687;0.687;0.644;0.934;0.706
transcript37_ENSMUGG00000013649;0.852;0.842;0.982;0.819;0.998;0.976;0.794;0.782;0.818;0.996;0.873;0.892;1.0;0.869;0.672;0.875;0.666;1.0;0.877;0.686;0.923;0.826;0.887;0.832;0.834;0.912;0.871;0.871;0.8;0.659;0.92;0.892;0.892;0.86;0.627;0.853
transcript38_ENSSTOG00000019743;0.775;0.847;0.857;0.889;0.903;0.865;0.826;0.676;0.711;0.912;0.793;0.883;0.862;1.0;0.793;1.0;0.79;0.877;1.0;0.811;1.0;0.94;0.964;0.901;0.909;0.801;0.95;0.95;0.905;0.775;0.812;0.883;0.883;0.855;0.742;0.907
transcript8_ENSSTOG00000019743;0.597;0.668;0.676;0.724;0.712;0.679;0.664;0.489;0.518;0.72;0.599;0.706;0.675;0.811;1.0;0.811;0.996;0.686;0.811;1.0;0.82;0.748;0.78;0.718;0.725;0.636;0.772;0.772;0.722;0.982;0.636;0.706;0.706;0.669;0.94;0.729
transcript38_ENSRNOG00000031503;0.818;0.893;0.898;0.915;0.957;0.924;0.872;0.725;0.767;0.965;0.853;0.98;0.906;1.0;0.803;1.0;0.799;0.923;1.0;0.82;1.0;0.95;1.0;0.929;0.939;0.849;0.98;0.98;0.912;0.783;0.864;0.98;0.98;0.905;0.752;0.945
transcript56_ENSCGRG00000018457;0.738;0.788;0.813;0.848;0.852;0.829;0.793;0.639;0.671;0.857;0.762;0.849;0.812;0.943;0.736;0.946;0.731;0.826;0.94;0.748;0.95;1.0;0.924;0.861;0.869;0.768;0.913;0.913;0.981;0.717;0.775;0.849;0.849;0.792;0.698;0.877
transcript9_ENSCGRG00015005362;0.815;0.853;0.864;0.925;0.913;0.902;0.857;0.71;0.751;0.922;0.83;0.918;0.873;0.957;0.76;0.96;0.755;0.887;0.964;0.78;1.0;0.924;1.0;0.938;0.947;0.834;0.98;0.98;0.895;0.744;0.851;0.918;0.918;0.865;0.709;0.949
transcript52_ENSCGRG00000018457;0.758;0.804;0.816;0.986;0.855;0.847;0.807;0.659;0.693;0.864;0.772;0.865;0.818;0.895;0.7;0.897;0.695;0.832;0.901;0.718;0.929;0.861;0.938;1.0;1.0;0.876;0.923;0.923;0.839;0.69;0.903;0.865;0.865;0.809;0.657;0.897
transcript52_ENSCGRG00001010245;0.758;0.806;0.817;0.986;0.86;0.85;0.808;0.661;0.696;0.867;0.775;0.877;0.821;0.903;0.707;0.905;0.702;0.834;0.909;0.725;0.939;0.869;0.947;1.0;1.0;0.869;0.931;0.931;0.847;0.696;0.898;0.877;0.877;0.814;0.663;0.904
