;transcript52_ENSMUGG00000013592;transcript55_ENSCGRG00015005362;transcript52_ENSCGRG00015005362;transcript7_MGP-CAROLIEiJ-G0020234;transcript58_MGP-CAROLIEiJ-G0020234;transcript57_MGP-CAROLIEiJ-G0020234;transcript59_MGP-CAROLIEiJ-G0020234;transcript7_ENSMUGG00000013649;transcript28_ENSMUGG00000013649;transcript42_ENSMUGG00000013649;transcript7_ENSMUGG00000013592;transcript42_ENSMUGG00000013592;transcript7_ENSPEMG00000024651;transcript7_ENSCGRG00015005362;transcript7_ENSCGRG00000018457;transcript54_ENSCGRG00015005362;transcript53_ENSCGRG00015005362
transcript52_ENSMUGG00000013592;1.0;0.913;0.993;0.202;0.218;0.164;0.164;0.189;0.927;0.949;0.133;0.955;0.709;0.103;0.709;0.938;0.892
transcript55_ENSCGRG00015005362;0.913;1.0;0.925;0.348;0.356;0.314;0.314;0.317;0.961;0.96;0.22;0.933;1.0;0.177;1.0;0.976;0.931
transcript52_ENSCGRG00015005362;0.993;0.925;1.0;0.208;0.224;0.169;0.169;0.194;0.935;0.959;0.134;0.954;0.784;0.104;0.784;0.95;0.903
transcript7_MGP-CAROLIEiJ-G0020234;0.202;0.348;0.208;1.0;1.0;1.0;1.0;0.996;0.325;0.337;0.987;0.335;0.996;0.996;0.996;0.325;0.364
transcript58_MGP-CAROLIEiJ-G0020234;0.218;0.356;0.224;1.0;1.0;1.0;1.0;0.9;0.362;0.375;0.906;0.371;0.996;0.889;0.996;0.333;0.371
transcript57_MGP-CAROLIEiJ-G0020234;0.164;0.314;0.169;1.0;1.0;1.0;1.0;0.881;0.324;0.336;0.895;0.332;0.995;0.877;0.995;0.292;0.328
transcript59_MGP-CAROLIEiJ-G0020234;0.164;0.314;0.169;1.0;1.0;1.0;1.0;0.881;0.324;0.336;0.895;0.332;0.995;0.877;0.995;0.292;0.328
transcript7_ENSMUGG00000013649;0.189;0.317;0.194;0.996;0.9;0.881;0.881;1.0;0.3;0.3;0.991;0.298;1.0;1.0;1.0;0.317;0.353
transcript28_ENSMUGG00000013649;0.927;0.961;0.935;0.325;0.362;0.324;0.324;0.3;1.0;1.0;0.21;0.971;1.0;0.168;1.0;0.985;0.941
transcript42_ENSMUGG00000013649;0.949;0.96;0.959;0.337;0.375;0.336;0.336;0.3;1.0;1.0;0.218;0.992;1.0;0.173;1.0;0.984;0.94
transcript7_ENSMUGG00000013592;0.133;0.22;0.134;0.987;0.906;0.895;0.895;0.991;0.21;0.218;1.0;0.22;0.991;0.991;0.991;0.214;0.228
transcript42_ENSMUGG00000013592;0.955;0.933;0.954;0.335;0.371;0.332;0.332;0.298;0.971;0.992;0.22;1.0;0.991;0.173;0.991;0.957;0.914
transcript7_ENSPEMG00000024651;0.709;1.0;0.784;0.996;0.996;0.995;0.995;1.0;1.0;1.0;0.991;0.991;1.0;1.0;1.0;1.0;1.0
transcript7_ENSCGRG00015005362;0.103;0.177;0.104;0.996;0.889;0.877;0.877;1.0;0.168;0.173;0.991;0.173;1.0;1.0;1.0;0.171;0.181
transcript7_ENSCGRG00000018457;0.709;1.0;0.784;0.996;0.996;0.995;0.995;1.0;1.0;1.0;0.991;0.991;1.0;1.0;1.0;1.0;1.0
transcript54_ENSCGRG00015005362;0.938;0.976;0.95;0.325;0.333;0.292;0.292;0.317;0.985;0.984;0.214;0.957;1.0;0.171;1.0;1.0;0.956
transcript53_ENSCGRG00015005362;0.892;0.931;0.903;0.364;0.371;0.328;0.328;0.353;0.941;0.94;0.228;0.914;1.0;0.181;1.0;0.956;1.0
