;ENSCAFT00000023990_90_90;ENST00000220429_90_90;ENST00000359031_90_90;ENST00000380877_90_90;ENST00000396464_90_90;ENST00000429662_90_90;ENST00000543881_90_90;ENST00000558335_90_90;ENST00000558970_90_90;ENST00000560825_90_90;ENST00000561010_90_90;ENSMUST00000039978_90_90;ENSMUST00000089745_90_90;ENSMUST00000103226_90_90;ENSMUST00000103227_90_90;ENSMUST00000110424_90_90;ENSMUST00000110425_90_90;ENSMUST00000124972_90_90;ENSMUST00000137335_90_90
ENSCAFT00000023990_90_90;1.0;0.997;0.865;0.996;0.865;0.867;0.8;0.233;0.232;0.862;0.412;0.444;0.551;0.443;0.425;0.425;0.424;0.187;0.12
ENST00000220429_90_90;0.997;1.0;0.812;0.97;0.812;0.841;0.808;0.227;0.226;0.81;0.399;0.456;0.565;0.455;0.436;0.436;0.435;0.182;0.117
ENST00000359031_90_90;0.865;0.812;1.0;0.837;1.0;0.967;0.627;0.258;0.257;0.997;0.404;0.465;0.587;0.464;0.443;0.443;0.442;0.207;0.133
ENST00000380877_90_90;0.996;0.97;0.837;1.0;0.837;0.812;0.777;0.234;0.233;0.834;0.371;0.431;0.535;0.431;0.412;0.412;0.411;0.188;0.121
ENST00000396464_90_90;0.865;0.812;1.0;0.837;1.0;0.967;0.627;0.258;0.257;0.997;0.404;0.465;0.587;0.464;0.443;0.443;0.442;0.207;0.133
ENST00000429662_90_90;0.867;0.841;0.967;0.812;0.967;1.0;0.656;0.249;0.248;0.964;0.435;0.491;0.62;0.49;0.468;0.468;0.467;0.2;0.129
ENST00000543881_90_90;0.8;0.808;0.627;0.777;0.627;0.656;1.0;0.035;0.034;0.624;0.485;0.3;0.373;0.3;0.287;0.287;0.286;0.0;0.0
ENST00000558335_90_90;0.233;0.227;0.258;0.234;0.258;0.249;0.035;1.0;0.996;0.258;0.0;0.284;0.401;0.283;0.265;0.265;0.264;0.803;0.517
ENST00000558970_90_90;0.232;0.226;0.257;0.233;0.257;0.248;0.034;0.996;1.0;0.257;0.0;0.283;0.4;0.282;0.264;0.264;0.263;0.806;0.519
ENST00000560825_90_90;0.862;0.81;0.997;0.834;0.997;0.964;0.624;0.258;0.257;1.0;0.401;0.466;0.589;0.465;0.444;0.444;0.443;0.207;0.134
ENST00000561010_90_90;0.412;0.399;0.404;0.371;0.404;0.435;0.485;0.0;0.0;0.401;1.0;0.102;0.129;0.102;0.097;0.097;0.097;0.0;0.0
ENSMUST00000039978_90_90;0.444;0.456;0.465;0.431;0.465;0.491;0.3;0.284;0.283;0.466;0.102;1.0;0.668;0.997;0.836;0.836;0.834;0.207;0.134
ENSMUST00000089745_90_90;0.551;0.565;0.587;0.535;0.587;0.62;0.373;0.401;0.4;0.589;0.129;0.668;1.0;0.666;0.607;0.607;0.606;0.309;0.199
ENSMUST00000103226_90_90;0.443;0.455;0.464;0.431;0.464;0.49;0.3;0.283;0.282;0.465;0.102;0.997;0.666;1.0;0.834;0.834;0.837;0.207;0.133
ENSMUST00000103227_90_90;0.425;0.436;0.443;0.412;0.443;0.468;0.287;0.265;0.264;0.444;0.097;0.836;0.607;0.834;1.0;1.0;0.997;0.188;0.121
ENSMUST00000110424_90_90;0.425;0.436;0.443;0.412;0.443;0.468;0.287;0.265;0.264;0.444;0.097;0.836;0.607;0.834;1.0;1.0;0.997;0.188;0.121
ENSMUST00000110425_90_90;0.424;0.435;0.442;0.411;0.442;0.467;0.286;0.264;0.263;0.443;0.097;0.834;0.606;0.837;0.997;0.997;1.0;0.188;0.121
ENSMUST00000124972_90_90;0.187;0.182;0.207;0.188;0.207;0.2;0.0;0.803;0.806;0.207;0.0;0.207;0.309;0.207;0.188;0.188;0.188;1.0;0.644
ENSMUST00000137335_90_90;0.12;0.117;0.133;0.121;0.133;0.129;0.0;0.517;0.519;0.134;0.0;0.134;0.199;0.133;0.121;0.121;0.121;0.644;1.0
