;ENSCAFT00000031982_90_90;ENST00000373064_90_90;ENST00000373066_90_90;ENST00000373068_90_90;ENST00000373069_90_90;ENST00000432073_90_90;ENST00000466983_90_90;ENST00000472769_90_90;ENSMUST00000028160_90_90;ENSMUST00000052119_90_90;ENSMUST00000113307_90_90;ENSMUST00000113308_90_90;ENSMUST00000113310_90_90;ENSMUST00000127961_90_90;ENSMUST00000136361_90_90;ENSMUST00000153886_90_90
ENSCAFT00000031982_90_90;1.0;0.759;0.759;0.998;0.998;0.759;0.26;0.0;1.0;0.799;0.799;0.799;1.0;0.288;0.456;0.266
ENST00000373064_90_90;0.759;1.0;0.669;0.602;0.584;0.697;0.274;0.21;0.631;0.736;0.92;0.774;0.654;0.302;0.505;0.307
ENST00000373066_90_90;0.759;0.669;1.0;0.617;0.653;0.947;0.294;0.0;0.658;1.0;0.721;0.942;0.619;0.364;0.482;0.294
ENST00000373068_90_90;0.998;0.602;0.617;1.0;0.96;0.639;0.251;0.0;0.956;0.619;0.639;0.642;1.0;0.247;0.408;0.245
ENST00000373069_90_90;0.998;0.584;0.653;0.96;1.0;0.617;0.242;0.0;1.0;0.658;0.617;0.619;0.956;0.289;0.391;0.234
ENST00000432073_90_90;0.759;0.697;0.947;0.639;0.617;1.0;0.31;0.0;0.619;0.942;0.758;1.0;0.642;0.307;0.513;0.315
ENST00000466983_90_90;0.26;0.274;0.294;0.251;0.242;0.31;1.0;0.0;0.235;0.281;0.291;0.298;0.244;0.09;0.196;0.29
ENST00000472769_90_90;0.0;0.21;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.093;0.0;0.0;0.0;0.0;0.0
ENSMUST00000028160_90_90;1.0;0.631;0.658;0.956;1.0;0.619;0.235;0.0;1.0;0.67;0.617;0.633;0.959;0.272;0.362;0.226
ENSMUST00000052119_90_90;0.799;0.736;1.0;0.619;0.658;0.942;0.281;0.0;0.67;1.0;0.709;0.947;0.633;0.329;0.423;0.279
ENSMUST00000113307_90_90;0.799;0.92;0.721;0.639;0.617;0.758;0.291;0.093;0.617;0.709;1.0;0.741;0.638;0.264;0.422;0.273
ENSMUST00000113308_90_90;0.799;0.774;0.942;0.642;0.619;1.0;0.298;0.0;0.633;0.947;0.741;1.0;0.655;0.279;0.445;0.296
ENSMUST00000113310_90_90;1.0;0.654;0.619;1.0;0.956;0.642;0.244;0.0;0.959;0.633;0.638;0.655;1.0;0.233;0.375;0.236
ENSMUST00000127961_90_90;0.288;0.302;0.364;0.247;0.289;0.307;0.09;0.0;0.272;0.329;0.264;0.279;0.233;1.0;0.592;0.414
ENSMUST00000136361_90_90;0.456;0.505;0.482;0.408;0.391;0.513;0.196;0.0;0.362;0.423;0.422;0.445;0.375;0.592;1.0;0.463
ENSMUST00000153886_90_90;0.266;0.307;0.294;0.245;0.234;0.315;0.29;0.0;0.226;0.279;0.273;0.296;0.236;0.414;0.463;1.0
