;ENSCAFT00000023420_90_90;ENST00000319770_90_90;ENST00000355772_90_90;ENST00000361959_90_90;ENST00000396801_90_90;ENST00000417772_90_90;ENST00000436774_90_90;ENST00000535485_90_90;ENST00000538829_90_90;ENST00000540915_90_90;ENST00000542351_90_90;ENST00000544482_90_90;ENST00000545946_90_90;ENSMUST00000046064_90_90;ENSMUST00000054553_90_90;ENSMUST00000084275_90_90;ENSMUST00000088308_90_90;ENSMUST00000112424_90_90;ENSMUST00000112425_90_90;ENSMUST00000112427_90_90;ENSMUST00000112428_90_90;ENSMUST00000152752_90_90
ENSCAFT00000023420_90_90;1.0;0.886;0.792;0.992;0.992;0.571;0.478;0.291;0.22;0.354;0.205;0.203;0.271;0.836;0.783;0.981;0.981;0.954;0.877;0.981;0.836;0.218
ENST00000319770_90_90;0.886;1.0;0.893;0.894;0.894;0.515;0.537;0.326;0.246;0.395;0.227;0.226;0.307;0.927;0.878;0.879;0.879;0.852;0.982;0.879;0.927;0.243
ENST00000355772_90_90;0.792;0.893;1.0;0.799;0.799;0.421;0.476;0.258;0.208;0.289;0.212;0.213;0.343;0.829;0.981;0.786;0.786;0.808;0.878;0.786;0.829;0.253
ENST00000361959_90_90;0.992;0.894;0.799;1.0;1.0;0.57;0.48;0.291;0.22;0.354;0.203;0.202;0.274;0.835;0.786;0.983;0.983;0.956;0.879;0.983;0.835;0.217
ENST00000396801_90_90;0.992;0.894;0.799;1.0;1.0;0.57;0.48;0.291;0.22;0.354;0.203;0.202;0.274;0.835;0.786;0.983;0.983;0.956;0.879;0.983;0.835;0.217
ENST00000417772_90_90;0.571;0.515;0.421;0.57;0.57;1.0;0.733;0.445;0.336;0.54;0.31;0.309;0.0;0.56;0.417;0.563;0.563;0.537;0.508;0.563;0.56;0.332
ENST00000436774_90_90;0.478;0.537;0.476;0.48;0.48;0.733;1.0;0.606;0.379;0.642;0.345;0.347;0.0;0.499;0.469;0.473;0.473;0.487;0.529;0.473;0.499;0.452
ENST00000535485_90_90;0.291;0.326;0.258;0.291;0.291;0.445;0.606;1.0;0.603;0.824;0.549;0.553;0.0;0.302;0.254;0.287;0.287;0.295;0.32;0.287;0.302;0.746
ENST00000538829_90_90;0.22;0.246;0.208;0.22;0.22;0.336;0.379;0.603;1.0;0.623;0.919;0.919;0.0;0.229;0.205;0.217;0.217;0.189;0.242;0.217;0.229;0.671
ENST00000540915_90_90;0.354;0.395;0.289;0.354;0.354;0.54;0.642;0.824;0.623;1.0;0.573;0.572;0.0;0.367;0.285;0.349;0.349;0.321;0.389;0.349;0.367;0.614
ENST00000542351_90_90;0.205;0.227;0.212;0.203;0.203;0.31;0.345;0.549;0.919;0.573;1.0;0.989;0.0;0.212;0.209;0.201;0.201;0.174;0.225;0.201;0.212;0.714
ENST00000544482_90_90;0.203;0.226;0.213;0.202;0.202;0.309;0.347;0.553;0.919;0.572;0.989;1.0;0.0;0.211;0.21;0.2;0.2;0.174;0.223;0.2;0.211;0.72
ENST00000545946_90_90;0.271;0.307;0.343;0.274;0.274;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.283;0.335;0.269;0.269;0.277;0.3;0.269;0.283;0.0
ENSMUST00000046064_90_90;0.836;0.927;0.829;0.835;0.835;0.56;0.499;0.302;0.229;0.367;0.212;0.211;0.283;1.0;0.845;0.85;0.85;0.824;0.944;0.85;1.0;0.226
ENSMUST00000054553_90_90;0.783;0.878;0.981;0.786;0.786;0.417;0.469;0.254;0.205;0.285;0.209;0.21;0.335;0.845;1.0;0.801;0.801;0.824;0.895;0.801;0.845;0.249
ENSMUST00000084275_90_90;0.981;0.879;0.786;0.983;0.983;0.563;0.473;0.287;0.217;0.349;0.201;0.2;0.269;0.85;0.801;1.0;1.0;0.973;0.896;1.0;0.85;0.215
ENSMUST00000088308_90_90;0.981;0.879;0.786;0.983;0.983;0.563;0.473;0.287;0.217;0.349;0.201;0.2;0.269;0.85;0.801;1.0;1.0;0.973;0.896;1.0;0.85;0.215
ENSMUST00000112424_90_90;0.954;0.852;0.808;0.956;0.956;0.537;0.487;0.295;0.189;0.321;0.174;0.174;0.277;0.824;0.824;0.973;0.973;1.0;0.868;0.973;0.824;0.221
ENSMUST00000112425_90_90;0.877;0.982;0.878;0.879;0.879;0.508;0.529;0.32;0.242;0.389;0.225;0.223;0.3;0.944;0.895;0.896;0.896;0.868;1.0;0.896;0.944;0.24
ENSMUST00000112427_90_90;0.981;0.879;0.786;0.983;0.983;0.563;0.473;0.287;0.217;0.349;0.201;0.2;0.269;0.85;0.801;1.0;1.0;0.973;0.896;1.0;0.85;0.215
ENSMUST00000112428_90_90;0.836;0.927;0.829;0.835;0.835;0.56;0.499;0.302;0.229;0.367;0.212;0.211;0.283;1.0;0.845;0.85;0.85;0.824;0.944;0.85;1.0;0.226
ENSMUST00000152752_90_90;0.218;0.243;0.253;0.217;0.217;0.332;0.452;0.746;0.671;0.614;0.714;0.72;0.0;0.226;0.249;0.215;0.215;0.221;0.24;0.215;0.226;1.0
