id_transcript;block_sequence
ENSCAFT00000023420_90_90;0.1.2.3.6.7.8.9.10.11.13.14.17.18.19.20.21.22.23.24.25.29.31.33.35
ENST00000319770_90_90;0.1.2.5.6.7.8.9.10.11.13.14.15.18.19.22.23.24.25.26.28.29.30.31.32.33.35
ENST00000355772_90_90;0.9.10.11.13.14.15.18.19.22.23.24.25.26.28.29.30.31.32.33.35
ENST00000361959_90_90;0.1.2.5.6.7.8.9.10.11.13.14.15.18.19.20.21.22.23.24.25.26.28.29.30.31.32.33.35
ENST00000396801_90_90;0.1.2.5.6.7.8.9.10.11.13.14.15.18.19.20.21.22.23.24.25.26.28.29.30.31.32.33.35
ENST00000417772_90_90;0.1.2.5.6.7.8.9.10.11.13.14.15.16.17.18.19.20
ENST00000436774_90_90;0.5.6.7.8.9.10.11.13.14.15.18
ENST00000535485_90_90;0.5.6.7.8.9.10
ENST00000538829_90_90;0.1.2.5.6
ENST00000540915_90_90;0.1.2.5.6.7.8.9.10.11.13
ENST00000542351_90_90;0.1.2.3.4
ENST00000544482_90_90;0.1
ENST00000545946_90_90;23.25.26.28.29.30.31.32.33.35
ENSMUST00000046064_90_90;0.1.2.3.6.7.8.9.10.11.12.13.14.15.16.17.18.19.22.23.24.25.26.27.28.29.31.33.34.35
ENSMUST00000054553_90_90;0.9.10.11.12.13.14.15.18.19.22.23.24.25.26.27.28.29.31.33.34.35
ENSMUST00000084275_90_90;0.1.2.3.6.7.8.9.10.11.12.13.14.15.18.19.20.21.22.23.24.25.26.27.28.29.31.33.34.35
ENSMUST00000088308_90_90;0.1.2.3.6.7.8.9.10.11.12.13.14.15.18.19.20.21.22.23.24.25.26.27.28.29.31.33.34.35
ENSMUST00000112424_90_90;0.3.6.7.8.9.10.11.12.13.14.15.18.19.20.21.22.23.24.25.26.27.28.29.31.33.34.35
ENSMUST00000112425_90_90;0.1.2.3.6.7.8.9.10.11.12.13.14.15.18.19.22.23.24.25.26.27.28.29.31.33.34.35
ENSMUST00000112427_90_90;0.1.2.3.6.7.8.9.10.11.12.13.14.15.18.19.20.21.22.23.24.25.26.27.28.29.31.33.34.35
ENSMUST00000112428_90_90;0.1.2.3.6.7.8.9.10.11.12.13.14.15.16.17.18.19.22.23.24.25.26.27.28.29.31.33.34.35
ENSMUST00000152752_90_90;0.8.9
